split,best_dim,val_acc,test_acc,total_branches,extra_branches,class_0_branch_count,class_1_branch_count,class_2_branch_count,class_3_branch_count,class_4_branch_count
0,64,0.6296296296296297,0.6359649122807017,15,10,3,3,3,3,3
1,64,0.6296296296296297,0.6798245614035088,15,10,3,3,3,3,3
2,64,0.644718792866941,0.6052631578947368,15,10,3,3,3,3,3
3,64,0.6625514403292181,0.6271929824561403,15,10,3,3,3,3,3
4,48,0.6680384087791496,0.6162280701754386,15,10,3,3,3,3,3
5,64,0.6364883401920439,0.6096491228070176,15,10,3,3,3,3,3
6,64,0.6159122085048011,0.6293859649122807,15,10,3,3,3,3,3
7,48,0.6131687242798354,0.6337719298245614,15,10,3,3,3,3,3
8,64,0.6598079561042524,0.625,15,10,3,3,3,3,3
9,64,0.6392318244170097,0.6381578947368421,15,10,3,3,3,3,3


