split,best_dim,class_label,branch_index,kind,confuser_class,basis_dim,member_size,radius,class_scale,extra_bias_scale,gate_strength,seed_size,median_gain,pair_center_l2_distance,pair_min_principal_angle_deg,pair_coupled_confusion_score
0,64,0,0,root,,64,225,5.214869626525958,1.858396918550965,0.0,0.0,,,,,
0,64,0,1,extra,1,64,101,5.228945156545724,1.858396918550965,0.1,2.5,34,0.446241682327847,0.3909034508829833,12.468877545688738,4.556796783305637
0,64,0,2,extra,2,64,82,4.729596872692167,1.858396918550965,0.1,2.5,14,0.3272011111880585,0.5672881814527231,16.66321632403321,1.4166706649391092
0,64,1,0,root,,64,220,5.140939010251784,1.9243300110862396,0.0,0.0,,,,,
0,64,1,1,extra,0,64,95,4.128894511163212,1.9243300110862396,0.1,2.5,34,0.6414814603863359,0.3909034508829833,12.468877545688738,4.556796783305637
0,64,1,2,extra,2,61,84,4.710449144777746,1.9243300110862396,0.1,2.5,23,0.8387569714285068,0.49326280465154854,16.771205709218655,1.6977487302400478
0,64,2,0,root,,64,218,4.929011819970125,2.8359944351411706,0.0,0.0,,,,,
0,64,2,1,extra,3,64,87,4.573254796743007,2.8359944351411706,0.1,2.5,37,1.1967293275546909,0.4417666160266419,22.583311185360344,2.193521537181978
0,64,2,2,extra,0,64,83,5.046749101065394,2.8359944351411706,0.1,2.5,27,1.1618451341830376,0.5672881814527231,16.66321632403321,1.4166706649391092
0,64,3,0,root,,64,241,4.851324308210977,2.564636274798115,0.0,0.0,,,,,
0,64,3,1,extra,2,64,95,4.792148465641247,2.564636274798115,0.1,2.5,30,0.9295791117924077,0.4417666160266419,22.583311185360344,2.193521537181978
0,64,3,2,extra,1,64,88,4.71747809253395,2.564636274798115,0.1,2.5,16,1.0553729376727636,0.6601364550941627,24.132456834443744,0.6355856036590081
0,64,4,0,root,,64,188,4.874437984949505,2.7947501940586132,0.0,0.0,,,,,
0,64,4,1,extra,3,64,75,4.940229250643187,2.7947501940586132,0.1,2.5,21,1.3573924243675672,0.4198904649687054,24.606441835936504,1.1380603236261146
1,32,0,0,root,,32,220,5.140898722495948,2.0579741912210956,0.0,0.0,,,,,
1,32,0,1,extra,2,32,83,5.361198493294708,2.0579741912210956,0.1,2.5,17,0.22572446532257606,0.5364513247704614,18.06934025156689,1.393333838738612
