split,class_label,branch_index,confuser_class,seed_size,member_size,basis_dim,radius,median_gain,pair_center_l2_distance,pair_min_principal_angle_deg,pair_coupled_confusion_score,val_fixed_by_this_branch,val_broken_by_this_branch,val_wrong_redirect_by_this_branch,test_fixed_by_this_branch,test_broken_by_this_branch,test_wrong_redirect_by_this_branch,changed_when_removed_test,net_fix_test
0,0,1,1,34,101,64,5.228945156545724,0.446241682327847,0.3909034508829833,12.468877545688738,4.556796783305637,1,0,0,0,0,1,1,0
0,0,2,2,14,82,64,4.729596872692167,0.3272011111880585,0.5672881814527231,16.66321632403321,1.4166706649391092,3,1,1,0,1,0,1,-1
0,1,1,0,34,95,64,4.128894511163212,0.6414814603863359,0.3909034508829833,12.468877545688738,4.556796783305637,2,3,0,0,1,1,2,-1
0,1,2,2,23,84,61,4.710449144777746,0.8387569714285068,0.49326280465154854,16.771205709218655,1.6977487302400478,0,0,0,2,0,2,4,2
0,2,1,3,37,87,64,4.573254796743007,1.1967293275546909,0.4417666160266419,22.583311185360344,2.193521537181978,0,1,0,0,0,0,0,0
0,2,2,0,27,83,64,5.046749101065394,1.1618451341830376,0.5672881814527231,16.66321632403321,1.4166706649391092,2,1,1,0,0,0,0,0
0,3,1,2,30,95,64,4.792148465641247,0.9295791117924077,0.4417666160266419,22.583311185360344,2.193521537181978,0,0,0,0,0,0,0,0
0,3,2,1,16,88,64,4.71747809253395,1.0553729376727636,0.6601364550941627,24.132456834443744,0.6355856036590081,0,0,0,0,0,0,0,0
0,4,1,3,21,75,64,4.940229250643187,1.3573924243675672,0.4198904649687054,24.606441835936504,1.1380603236261146,0,0,0,0,0,0,0,0
1,0,1,2,17,83,32,5.361198493294708,0.22572446532257606,0.5364513247704614,18.06934025156689,1.393333838738612,3,1,1,2,0,2,4,2
1,1,1,0,34,87,32,5.196367322473396,0.5300956671320178,0.4530659305448587,15.650647246037677,2.0346011031607993,3,3,1,1,1,2,4,0
1,1,2,2,24,74,32,4.571265109727183,0.3607462306092175,0.465548830257064,18.37927424229918,1.2555949856574689,0,0,0,1,1,0,2,0
1,2,1,3,40,99,32,4.629673327612907,0.5080631002739868,0.4531996987831448,24.115073021520328,2.07839769442767,0,0,0,1,0,0,1,1
1,2,2,0,27,89,32,5.168351355192132,0.5800396790033586,0.5364513247704614,18.06934025156689,1.393333838738612,2,0,3,3,2,4,9,1
1,3,1,2,34,103,32,5.056713245644818,0.35387417536765753,0.4531996987831448,24.115073021520328,2.07839769442767,2,0,0,0,0,0,0,0
1,4,1,3,31,76,32,4.677142444145448,0.6599389855666676,0.390399272379783,23.622822301438656,1.9970346205428369,1,0,1,0,0,1,1,0
2,0,1,1,33,94,64,4.62476910941779,0.321663193628294,0.44701888294192405,12.34356061258433,6.255002271731337,2,1,2,4,0,3,7,4
2,1,1,0,39,104,64,4.707153079508373,0.5513062024605699,0.44701888294192405,12.34356061258433,6.255002271731337,3,3,0,0,1,0,1,-1
2,1,2,2,22,84,61,4.5592460588789185,1.0547374179816915,0.5234157042813242,16.394714728767312,2.4020339465345835,1,2,0,1,0,0,1,1
2,2,1,3,29,83,64,4.573661278130458,1.232877618172549,0.4474082686297373,23.936912769514603,2.9093938176899297,0,0,0,0,0,0,0,0
2,2,2,1,21,77,64,5.116141740027844,1.2074279977463354,0.5234157042813242,16.394714728767312,2.4020339465345835,7,1,1,5,0,0,5,5
2,3,1,2,36,108,64,5.011296726592735,0.8302776689711375,0.4474082686297373,23.936912769514603,2.9093938176899297,0,0,0,0,0,1,1,0
2,4,1,3,25,71,64,4.848769125084878,1.5336791062377308,0.3992154065765302,22.796686338211387,2.106891992365255,0,0,0,0,0,0,0,0
