split,class_label,branch_index,confuser_class,node_idx_sorted,original_node_id,true_label,pred_without_branch,pred_with_full_model,change_kind
0,0,1,1,1804,1804,2,1,0,redirect
0,0,2,2,1227,1227,3,3,0,broken
0,1,1,0,592,592,3,0,1,redirect
0,1,1,0,2130,2130,0,0,1,broken
0,1,2,2,174,174,2,3,1,redirect
0,1,2,2,1068,1068,1,3,1,fixed
0,1,2,2,1170,1170,1,2,1,fixed
0,1,2,2,1936,1936,2,3,1,redirect
1,0,1,2,1209,1209,0,3,0,fixed
1,0,1,2,1307,1307,0,2,0,fixed
1,0,1,2,1658,1658,1,2,0,redirect
1,0,1,2,2166,2166,1,2,0,redirect
1,1,1,0,170,170,0,0,1,broken
1,1,1,0,179,179,2,0,1,redirect
1,1,1,0,1091,1091,4,3,1,redirect
1,1,1,0,1415,1415,1,0,1,fixed
1,1,2,2,587,587,1,3,1,fixed
1,1,2,2,2118,2118,3,3,1,broken
1,2,1,3,916,916,2,3,2,fixed
1,2,2,0,62,62,1,1,2,broken
1,2,2,0,85,85,2,0,2,fixed
1,2,2,0,498,498,2,0,2,fixed
1,2,2,0,600,600,1,0,2,redirect
1,2,2,0,804,804,1,4,2,redirect
1,2,2,0,1737,1737,2,0,2,fixed
1,2,2,0,2043,2043,1,0,2,redirect
1,2,2,0,2044,2044,0,0,2,broken
1,2,2,0,2217,2217,4,3,2,redirect
1,4,1,3,475,475,2,3,4,redirect
2,0,1,1,446,446,2,3,0,redirect
2,0,1,1,1686,1686,0,1,0,fixed
2,0,1,1,1752,1752,3,1,0,redirect
2,0,1,1,1786,1786,0,1,0,fixed
2,0,1,1,1863,1863,3,1,0,redirect
2,0,1,1,1909,1909,0,1,0,fixed
2,0,1,1,2206,2206,0,1,0,fixed
2,1,1,0,1307,1307,0,0,1,broken
2,1,2,2,1068,1068,1,3,1,fixed
2,2,2,1,7,7,2,0,2,fixed
2,2,2,1,1042,1042,2,1,2,fixed
2,2,2,1,1384,1384,2,1,2,fixed
2,2,2,1,1842,1842,2,1,2,fixed
2,2,2,1,2239,2239,2,0,2,fixed
2,3,1,2,2001,2001,2,4,3,redirect
2,4,2,0,507,507,4,0,4,fixed
3,0,1,1,2021,2021,2,2,0,broken
3,0,1,1,2130,2130,0,1,0,fixed
3,0,2,2,209,209,2,4,0,redirect
3,1,1,0,32,32,2,0,1,redirect
3,1,1,0,428,428,0,0,1,broken
3,1,1,0,563,563,2,2,1,broken
3,1,1,0,693,693,1,0,1,fixed
3,1,1,0,934,934,0,0,1,broken
3,1,2,2,406,406,1,3,1,fixed
3,2,2,0,903,903,2,0,2,fixed
3,2,2,0,1521,1521,2,1,2,fixed
4,0,1,1,249,249,1,1,0,broken
4,0,1,1,267,267,0,2,0,fixed
4,1,1,0,460,460,0,0,1,broken
4,1,1,0,934,934,0,0,1,broken
4,2,1,3,1005,1005,3,3,2,broken
4,2,1,3,1027,1027,3,3,2,broken
4,2,1,3,1669,1669,4,3,2,redirect
4,2,1,3,2253,2253,0,3,2,redirect
4,2,2,0,30,30,2,0,2,fixed
4,2,2,0,1641,1641,2,3,2,fixed
4,3,1,2,534,534,3,4,3,fixed
4,3,1,2,1237,1237,1,4,3,redirect
4,3,1,2,2209,2209,4,4,3,broken
