split,kind,true_class,other_class,count,class_label,branch_debug_index,confuser,seed_size,group_size,median_gain
0,oof_confusion,0,3,12,,,,,,
0,oof_confusion,0,1,34,,,,,,
0,oof_confusion,0,4,6,,,,,,
0,oof_confusion,0,2,14,,,,,,
0,oof_confusion,1,0,34,,,,,,
0,oof_confusion,1,3,15,,,,,,
0,oof_confusion,1,2,23,,,,,,
0,oof_confusion,1,4,4,,,,,,
0,oof_confusion,2,0,27,,,,,,
0,oof_confusion,2,4,23,,,,,,
0,oof_confusion,2,3,37,,,,,,
0,oof_confusion,2,1,20,,,,,,
0,oof_confusion,3,4,15,,,,,,
0,oof_confusion,3,1,16,,,,,,
0,oof_confusion,3,2,30,,,,,,
0,oof_confusion,3,0,14,,,,,,
0,oof_confusion,4,3,21,,,,,,
0,oof_confusion,4,2,18,,,,,,
0,oof_confusion,4,0,9,,,,,,
0,oof_confusion,4,1,5,,,,,,
0,branch_debug,,,,0,0,1,34,101,0.446241682327847
0,branch_debug,,,,0,1,2,14,82,0.3272011111880585
0,branch_debug,,,,1,0,0,34,95,0.6414814603863359
0,branch_debug,,,,1,1,2,23,84,0.8387569714285068
0,branch_debug,,,,2,0,3,37,87,1.1967293275546909
0,branch_debug,,,,2,1,0,27,83,1.1618451341830376
0,branch_debug,,,,3,0,2,30,95,0.9295791117924077
0,branch_debug,,,,3,1,1,16,88,1.0553729376727636
0,branch_debug,,,,4,0,3,21,75,1.3573924243675672
1,oof_confusion,0,1,13,,,,,,
1,oof_confusion,0,2,17,,,,,,
1,oof_confusion,0,4,5,,,,,,
1,oof_confusion,0,3,6,,,,,,
1,oof_confusion,1,3,13,,,,,,
1,oof_confusion,1,0,34,,,,,,
1,oof_confusion,1,2,24,,,,,,
1,oof_confusion,1,4,5,,,,,,
1,oof_confusion,2,4,30,,,,,,
1,oof_confusion,2,3,40,,,,,,
1,oof_confusion,2,0,27,,,,,,
1,oof_confusion,2,1,11,,,,,,
1,oof_confusion,3,4,29,,,,,,
1,oof_confusion,3,2,34,,,,,,
1,oof_confusion,3,0,10,,,,,,
1,oof_confusion,3,1,8,,,,,,
1,oof_confusion,4,3,31,,,,,,
1,oof_confusion,4,0,10,,,,,,
1,oof_confusion,4,1,6,,,,,,
1,oof_confusion,4,2,23,,,,,,
1,branch_debug,,,,0,0,2,17,83,0.22572446532257606
1,branch_debug,,,,1,0,0,34,87,0.5300956671320178
1,branch_debug,,,,1,1,2,24,74,0.3607462306092175
1,branch_debug,,,,2,0,3,40,99,0.5080631002739868
1,branch_debug,,,,2,1,0,27,89,0.5800396790033586
1,branch_debug,,,,3,0,2,34,103,0.35387417536765753
1,branch_debug,,,,4,0,3,31,76,0.6599389855666676
2,oof_confusion,0,3,16,,,,,,
2,oof_confusion,0,1,33,,,,,,
2,oof_confusion,0,4,1,,,,,,
2,oof_confusion,0,2,5,,,,,,
2,oof_confusion,1,4,7,,,,,,
2,oof_confusion,1,0,39,,,,,,
2,oof_confusion,1,2,22,,,,,,
2,oof_confusion,1,3,9,,,,,,
2,oof_confusion,2,4,13,,,,,,
2,oof_confusion,2,1,21,,,,,,
2,oof_confusion,2,0,20,,,,,,
2,oof_confusion,2,3,29,,,,,,
2,oof_confusion,3,0,6,,,,,,
2,oof_confusion,3,2,36,,,,,,
2,oof_confusion,3,1,8,,,,,,
2,oof_confusion,3,4,15,,,,,,
2,oof_confusion,4,2,17,,,,,,
2,oof_confusion,4,3,25,,,,,,
2,oof_confusion,4,1,7,,,,,,
2,oof_confusion,4,0,13,,,,,,
