split,best_dim,val_acc_full,test_acc_full,val_acc_root_initial,test_acc_root_initial,val_acc_root_calibrated,test_acc_root_calibrated,total_branches,extra_branches,anchor_classes_json,val_fixed_by_calibration,val_broken_by_calibration,test_fixed_by_calibration,test_broken_by_calibration,val_fixed_by_extra,val_broken_by_extra,test_fixed_by_extra,test_broken_by_extra
0,64,0.6927297668038409,0.6995614035087719,0.6886145404663924,0.6951754385964912,0.691358024691358,0.6973684210526315,14,9,"[4, 0]",4,2,2,1,10,9,4,3
1,32,0.6735253772290809,0.7324561403508771,0.6707818930041153,0.7302631578947368,0.6666666666666666,0.7236842105263158,12,7,"[0, 3]",1,4,1,4,11,6,8,4
2,64,0.7146776406035665,0.6776315789473685,0.700960219478738,0.6469298245614035,0.7023319615912208,0.6535087719298246,13,8,"[0, 3]",4,3,4,1,14,5,12,1
3,64,0.710562414266118,0.6666666666666666,0.6941015089163237,0.6557017543859649,0.691358024691358,0.6600877192982456,14,9,"[0, 3]",2,4,2,0,17,3,7,4
4,32,0.7050754458161865,0.7017543859649122,0.7050754458161865,0.7017543859649122,0.7050754458161865,0.706140350877193,11,6,"[0, 4]",2,2,2,0,9,9,4,6
5,64,0.7050754458161865,0.7039473684210527,0.7050754458161865,0.6951754385964912,0.7037037037037037,0.6973684210526315,13,8,"[0, 3]",3,4,4,3,7,6,9,6
6,24,0.6872427983539094,0.6557017543859649,0.6803840877914952,0.6425438596491229,0.6803840877914952,0.6403508771929824,11,6,"[0, 3]",2,2,1,2,11,6,13,6
7,32,0.6515775034293553,0.6666666666666666,0.6460905349794238,0.6600877192982456,0.6460905349794238,0.6557017543859649,12,7,"[0, 3]",0,0,1,3,14,10,6,1
8,32,0.7037037037037037,0.668859649122807,0.6899862825788752,0.6710526315789473,0.6886145404663924,0.668859649122807,13,8,"[3, 0]",2,3,1,2,16,5,3,3
9,48,0.7037037037037037,0.6820175438596491,0.6886145404663924,0.668859649122807,0.6899862825788752,0.6666666666666666,14,9,"[0, 4]",4,3,2,3,14,4,8,1


