split,class_label,branch_index,confuser_class,seed_size,member_size,basis_dim,radius,median_gain,pair_center_l2_distance,pair_min_principal_angle_deg,pair_coupled_confusion_score,val_fixed_by_this_branch,val_broken_by_this_branch,val_wrong_redirect_by_this_branch,test_fixed_by_this_branch,test_broken_by_this_branch,test_wrong_redirect_by_this_branch,changed_when_removed_test,net_fix_test
0,0,1,1,34,101,64,5.228945156545724,0.4406294124210086,0.3909034508829833,12.468877545688738,4.556796783305637,1,0,0,0,0,1,1,0
0,0,2,2,14,82,64,4.729596872692167,0.32753107183449304,0.5672881814527231,16.66321632403321,1.4166706649391092,3,1,2,0,1,0,1,-1
0,1,1,0,34,95,64,4.128894511163212,0.6126500343797705,0.3909034508829833,12.468877545688738,4.556796783305637,2,3,0,0,1,1,2,-1
0,1,2,2,23,84,61,4.710449144777746,0.8042608371380091,0.49326280465154854,16.771205709218655,1.6977487302400478,0,0,0,1,0,2,3,1
0,2,1,3,37,87,64,4.573254796743007,1.1873507672290082,0.4417666160266419,22.583311185360344,2.193521537181978,0,0,0,0,0,0,0,0
0,2,2,0,27,83,64,5.046749101065394,1.1484171744912164,0.5672881814527231,16.66321632403321,1.4166706649391092,2,1,1,0,0,0,0,0
0,3,1,2,30,95,64,4.792148465641247,0.9264809420534457,0.4417666160266419,22.583311185360344,2.193521537181978,0,0,0,0,0,0,0,0
0,3,2,1,16,88,64,4.71747809253395,1.0401290405849055,0.6601364550941627,24.132456834443744,0.6355856036590081,0,0,0,0,0,0,0,0
0,4,1,3,21,75,64,4.940229250643187,1.3595377236335384,0.4198904649687054,24.606441835936504,1.1380603236261146,0,0,0,0,0,0,0,0
1,0,1,1,18,85,64,4.708026615865928,0.29603857517803833,0.4530659305448587,12.758037384730132,2.756171901532306,3,3,2,1,1,2,4,0
1,1,1,0,37,85,64,5.178821118356877,0.8773044869358673,0.4530659305448587,12.758037384730132,2.756171901532306,1,6,3,2,1,1,4,1
1,1,2,2,22,73,55,4.594508516433949,1.0654777608723887,0.465548830257064,17.319608960560082,1.1854943952687869,0,0,0,0,0,0,0,0
1,2,1,3,37,96,64,4.598199234066251,1.0672120898931379,0.4531996987831448,22.440010103013524,1.9083192418949608,0,0,0,0,0,0,0,0
