split,kind,true_class,other_class,count,class_label,branch_debug_index,confuser,seed_size,group_size,median_gain
0,oof_confusion,0,3,12,,,,,,
0,oof_confusion,0,1,34,,,,,,
0,oof_confusion,0,4,6,,,,,,
0,oof_confusion,0,2,14,,,,,,
0,oof_confusion,1,0,34,,,,,,
0,oof_confusion,1,3,15,,,,,,
0,oof_confusion,1,2,23,,,,,,
0,oof_confusion,1,4,4,,,,,,
0,oof_confusion,2,0,27,,,,,,
0,oof_confusion,2,4,23,,,,,,
0,oof_confusion,2,3,37,,,,,,
0,oof_confusion,2,1,20,,,,,,
0,oof_confusion,3,4,15,,,,,,
0,oof_confusion,3,1,16,,,,,,
0,oof_confusion,3,2,30,,,,,,
0,oof_confusion,3,0,14,,,,,,
0,oof_confusion,4,3,21,,,,,,
0,oof_confusion,4,2,18,,,,,,
0,oof_confusion,4,0,9,,,,,,
0,oof_confusion,4,1,5,,,,,,
0,branch_debug,,,,0,0,1,34,101,0.4406294124210086
0,branch_debug,,,,0,1,2,14,82,0.32753107183449304
0,branch_debug,,,,1,0,0,34,95,0.6126500343797705
0,branch_debug,,,,1,1,2,23,84,0.8042608371380091
0,branch_debug,,,,2,0,3,37,87,1.1873507672290082
0,branch_debug,,,,2,1,0,27,83,1.1484171744912164
0,branch_debug,,,,3,0,2,30,95,0.9264809420534457
0,branch_debug,,,,3,1,1,16,88,1.0401290405849055
0,branch_debug,,,,4,0,3,21,75,1.3595377236335384
1,oof_confusion,0,1,18,,,,,,
1,oof_confusion,0,2,14,,,,,,
1,oof_confusion,0,4,5,,,,,,
1,oof_confusion,0,3,8,,,,,,
1,oof_confusion,1,3,14,,,,,,
1,oof_confusion,1,0,37,,,,,,
1,oof_confusion,1,2,22,,,,,,
1,oof_confusion,1,4,3,,,,,,
1,oof_confusion,2,4,28,,,,,,
1,oof_confusion,2,3,37,,,,,,
1,oof_confusion,2,0,32,,,,,,
1,oof_confusion,2,1,11,,,,,,
1,oof_confusion,3,4,26,,,,,,
1,oof_confusion,3,2,30,,,,,,
1,oof_confusion,3,0,10,,,,,,
1,oof_confusion,3,1,8,,,,,,
1,oof_confusion,4,3,27,,,,,,
1,oof_confusion,4,0,9,,,,,,
1,oof_confusion,4,1,6,,,,,,
1,oof_confusion,4,2,21,,,,,,
1,branch_debug,,,,0,0,1,18,85,0.29603857517803833
1,branch_debug,,,,1,0,0,37,85,0.8773044869358673
1,branch_debug,,,,1,1,2,22,73,1.0654777608723887
1,branch_debug,,,,2,0,3,37,96,1.0672120898931379
1,branch_debug,,,,2,1,0,32,93,1.059150780756534
1,branch_debug,,,,3,0,2,30,98,0.9703482017305676
1,branch_debug,,,,4,0,3,27,75,1.4671267899367149
2,oof_confusion,0,3,16,,,,,,
2,oof_confusion,0,1,33,,,,,,
2,oof_confusion,0,4,1,,,,,,
2,oof_confusion,0,2,5,,,,,,
2,oof_confusion,1,4,7,,,,,,
2,oof_confusion,1,0,39,,,,,,
2,oof_confusion,1,2,22,,,,,,
2,oof_confusion,1,3,9,,,,,,
2,oof_confusion,2,4,13,,,,,,
2,oof_confusion,2,1,21,,,,,,
2,oof_confusion,2,0,20,,,,,,
2,oof_confusion,2,3,29,,,,,,
2,oof_confusion,3,0,6,,,,,,
2,oof_confusion,3,2,36,,,,,,
2,oof_confusion,3,1,8,,,,,,
2,oof_confusion,3,4,15,,,,,,
2,oof_confusion,4,2,17,,,,,,
2,oof_confusion,4,3,25,,,,,,
2,oof_confusion,4,1,7,,,,,,
2,oof_confusion,4,0,13,,,,,,
