split,best_dim,val_acc_full,test_acc_full,val_acc_root_initial,test_acc_root_initial,val_acc_root_calibrated,test_acc_root_calibrated,total_branches,extra_branches,anchor_classes_json,val_fixed_by_calibration,val_broken_by_calibration,test_fixed_by_calibration,test_broken_by_calibration,val_fixed_by_extra,val_broken_by_extra,test_fixed_by_extra,test_broken_by_extra
0,64,0.691358024691358,0.6973684210526315,0.6886145404663924,0.6951754385964912,0.6886145404663924,0.6951754385964912,14,9,"[4, 0]",0,0,0,0,10,8,4,3
1,64,0.6748971193415638,0.7412280701754386,0.6680384087791496,0.7390350877192983,0.6680384087791496,0.7390350877192983,12,7,"[0, 3]",0,0,0,0,11,6,3,2
2,64,0.7146776406035665,0.6776315789473685,0.700960219478738,0.6469298245614035,0.700960219478738,0.6535087719298246,13,8,"[0, 3]",1,1,3,0,14,4,12,1
3,64,0.7119341563786008,0.6644736842105263,0.6941015089163237,0.6557017543859649,0.6941015089163237,0.6557017543859649,14,9,"[0, 3]",0,0,0,0,16,3,7,3
4,32,0.7050754458161865,0.6951754385964912,0.7050754458161865,0.7017543859649122,0.7050754458161865,0.7017543859649122,11,6,"[0, 4]",0,0,0,0,9,9,2,5
5,64,0.710562414266118,0.7017543859649122,0.7050754458161865,0.6951754385964912,0.7078189300411523,0.6973684210526315,13,8,"[0, 3]",2,0,2,1,7,5,8,6
6,64,0.6872427983539094,0.6710526315789473,0.6831275720164609,0.6578947368421053,0.6831275720164609,0.6578947368421053,12,7,"[0, 3]",0,0,0,0,7,4,8,2
7,48,0.6529492455418381,0.6842105263157895,0.6529492455418381,0.6776315789473685,0.6529492455418381,0.6776315789473685,13,8,"[0, 3]",0,0,0,0,12,12,5,2
8,32,0.7023319615912208,0.6666666666666666,0.6899862825788752,0.6710526315789473,0.6899862825788752,0.668859649122807,13,8,"[3, 0]",1,1,1,2,14,5,2,3
9,48,0.6995884773662552,0.6798245614035088,0.6886145404663924,0.668859649122807,0.6886145404663924,0.668859649122807,14,9,"[0, 4]",0,0,0,0,11,3,6,1


