split,kind,true_class,other_class,count,class_label,debug_index,confuser,seed_size,group_size,median_gain,extra_dim
0,oof_root_confusion,0,3,11,,,,,,,
0,oof_root_confusion,0,1,24,,,,,,,
0,oof_root_confusion,0,4,6,,,,,,,
0,oof_root_confusion,0,2,16,,,,,,,
0,oof_root_confusion,1,0,37,,,,,,,
0,oof_root_confusion,1,3,11,,,,,,,
0,oof_root_confusion,1,2,26,,,,,,,
0,oof_root_confusion,1,4,4,,,,,,,
0,oof_root_confusion,2,0,28,,,,,,,
0,oof_root_confusion,2,4,25,,,,,,,
0,oof_root_confusion,2,3,24,,,,,,,
0,oof_root_confusion,2,1,14,,,,,,,
0,oof_root_confusion,3,4,17,,,,,,,
0,oof_root_confusion,3,0,18,,,,,,,
0,oof_root_confusion,3,2,32,,,,,,,
0,oof_root_confusion,3,1,10,,,,,,,
0,oof_root_confusion,4,3,19,,,,,,,
0,oof_root_confusion,4,2,19,,,,,,,
0,oof_root_confusion,4,0,12,,,,,,,
0,oof_root_confusion,4,1,3,,,,,,,
0,branch_debug,,,,0,0,1,24,94,0.42025998645333384,64
0,branch_debug,,,,0,1,2,16,84,0.32666221315941435,64
0,branch_debug,,,,1,0,0,37,97,0.5211923727238466,48
0,branch_debug,,,,1,1,2,26,86,0.5581106716940232,48
0,branch_debug,,,,2,0,0,28,84,1.129420846383089,64
0,branch_debug,,,,2,1,4,25,84,1.2817875064780913,64
0,branch_debug,,,,3,0,2,32,96,0.6601993056181985,48
0,branch_debug,,,,3,1,0,18,89,0.9994313466626785,48
0,branch_debug,,,,4,0,3,19,70,1.5431226235878328,64
0,branch_debug,,,,4,1,0,12,66,1.4254416765528506,64
1,oof_root_confusion,0,1,13,,,,,,,
1,oof_root_confusion,0,2,17,,,,,,,
1,oof_root_confusion,0,4,5,,,,,,,
1,oof_root_confusion,0,3,6,,,,,,,
1,oof_root_confusion,1,3,13,,,,,,,
1,oof_root_confusion,1,0,34,,,,,,,
1,oof_root_confusion,1,2,24,,,,,,,
1,oof_root_confusion,1,4,5,,,,,,,
1,oof_root_confusion,2,4,30,,,,,,,
1,oof_root_confusion,2,3,40,,,,,,,
1,oof_root_confusion,2,0,27,,,,,,,
1,oof_root_confusion,2,1,11,,,,,,,
1,oof_root_confusion,3,4,29,,,,,,,
1,oof_root_confusion,3,2,34,,,,,,,
1,oof_root_confusion,3,0,10,,,,,,,
1,oof_root_confusion,3,1,8,,,,,,,
1,oof_root_confusion,4,3,31,,,,,,,
1,oof_root_confusion,4,0,10,,,,,,,
1,oof_root_confusion,4,1,6,,,,,,,
1,oof_root_confusion,4,2,23,,,,,,,
1,branch_debug,,,,0,0,2,17,83,0.22805436046834715,32
1,branch_debug,,,,1,0,0,34,87,0.5139478096262828,32
1,branch_debug,,,,1,1,2,24,74,0.357452650060055,32
1,branch_debug,,,,2,0,3,40,99,0.5026304475166068,32
1,branch_debug,,,,2,1,0,27,89,0.577027423784628,32
1,branch_debug,,,,3,0,2,34,103,0.3539667087960554,32
1,branch_debug,,,,4,0,3,31,76,0.6606297287077012,32
2,oof_root_confusion,0,3,18,,,,,,,
2,oof_root_confusion,0,2,9,,,,,,,
2,oof_root_confusion,0,1,41,,,,,,,
2,oof_root_confusion,0,4,1,,,,,,,
2,oof_root_confusion,1,4,8,,,,,,,
2,oof_root_confusion,1,0,34,,,,,,,
2,oof_root_confusion,1,2,23,,,,,,,
2,oof_root_confusion,1,3,13,,,,,,,
2,oof_root_confusion,2,4,15,,,,,,,
2,oof_root_confusion,2,1,22,,,,,,,
2,oof_root_confusion,2,3,35,,,,,,,
2,oof_root_confusion,2,0,12,,,,,,,
2,oof_root_confusion,3,0,4,,,,,,,
2,oof_root_confusion,3,2,37,,,,,,,
2,oof_root_confusion,3,1,11,,,,,,,
2,oof_root_confusion,3,4,12,,,,,,,
2,oof_root_confusion,4,3,26,,,,,,,
2,oof_root_confusion,4,1,12,,,,,,,
2,oof_root_confusion,4,2,18,,,,,,,
2,oof_root_confusion,4,0,8,,,,,,,
2,branch_debug,,,,1,0,0,34,99,0.5785562378939848,48
2,branch_debug,,,,1,1,2,23,85,0.7338146472921112,48
2,branch_debug,,,,2,0,3,35,87,0.8636941659434467,48
2,branch_debug,,,,2,1,1,22,77,1.014624079537508,48
2,branch_debug,,,,3,0,2,37,110,0.38204051811682804,48
2,branch_debug,,,,4,0,3,26,70,1.3567582249532393,48
2,branch_debug,,,,4,1,1,12,63,1.3467703166868779,48
3,oof_root_confusion,0,2,18,,,,,,,
3,oof_root_confusion,0,1,35,,,,,,,
3,oof_root_confusion,0,3,8,,,,,,,
3,oof_root_confusion,0,4,5,,,,,,,
3,oof_root_confusion,1,2,18,,,,,,,
3,oof_root_confusion,1,0,29,,,,,,,
3,oof_root_confusion,1,3,14,,,,,,,
3,oof_root_confusion,1,4,4,,,,,,,
3,oof_root_confusion,2,1,19,,,,,,,
3,oof_root_confusion,2,0,26,,,,,,,
3,oof_root_confusion,2,3,37,,,,,,,
3,oof_root_confusion,2,4,14,,,,,,,
3,oof_root_confusion,3,2,38,,,,,,,
3,oof_root_confusion,3,0,10,,,,,,,
3,oof_root_confusion,3,4,18,,,,,,,
3,oof_root_confusion,3,1,4,,,,,,,
3,oof_root_confusion,4,2,16,,,,,,,
3,oof_root_confusion,4,0,6,,,,,,,
3,oof_root_confusion,4,3,23,,,,,,,
3,oof_root_confusion,4,1,8,,,,,,,
3,branch_debug,,,,0,0,1,35,102,0.31822773605773547,48
3,branch_debug,,,,0,1,2,18,85,0.42717011363587387,48
3,branch_debug,,,,1,0,0,29,93,0.7660602763394451,64
3,branch_debug,,,,1,1,2,18,78,0.9308485898804604,64
3,branch_debug,,,,2,0,3,37,87,1.1408169434892752,64
3,branch_debug,,,,2,1,0,26,84,1.1409164834399799,64
3,branch_debug,,,,3,0,2,38,111,0.7473926626747729,64
3,branch_debug,,,,4,0,3,23,68,1.5601744213719169,64
4,oof_root_confusion,0,1,21,,,,,,,
4,oof_root_confusion,0,4,3,,,,,,,
4,oof_root_confusion,0,3,7,,,,,,,
4,oof_root_confusion,0,2,10,,,,,,,
4,oof_root_confusion,1,4,15,,,,,,,
4,oof_root_confusion,1,0,48,,,,,,,
4,oof_root_confusion,1,3,13,,,,,,,
4,oof_root_confusion,1,2,20,,,,,,,
4,oof_root_confusion,2,0,26,,,,,,,
4,oof_root_confusion,2,4,18,,,,,,,
4,oof_root_confusion,2,1,15,,,,,,,
4,oof_root_confusion,2,3,25,,,,,,,
4,oof_root_confusion,3,1,9,,,,,,,
4,oof_root_confusion,3,4,27,,,,,,,
4,oof_root_confusion,3,0,15,,,,,,,
4,oof_root_confusion,3,2,39,,,,,,,
4,oof_root_confusion,4,3,20,,,,,,,
4,oof_root_confusion,4,0,8,,,,,,,
4,oof_root_confusion,4,2,17,,,,,,,
4,oof_root_confusion,4,1,6,,,,,,,
4,branch_debug,,,,0,0,1,21,81,0.24676365289637303,32
4,branch_debug,,,,1,0,0,48,114,0.39174060205813355,32
4,branch_debug,,,,1,1,4,15,87,0.2444789054248302,32
4,branch_debug,,,,2,0,0,26,79,0.592600922389698,32
