split,class_dims_json,val_acc,test_acc,root_val_acc,root_test_acc,fixed_vs_root,broken_vs_root,redirect_vs_root,total_branches,extra_branches,class_0_dim,class_0_branch_count,class_0_extra_branch_count,class_1_dim,class_1_branch_count,class_1_extra_branch_count,class_2_dim,class_2_branch_count,class_2_extra_branch_count,class_3_dim,class_3_branch_count,class_3_extra_branch_count,class_4_dim,class_4_branch_count,class_4_extra_branch_count
0,"{""0"": 64, ""1"": 48, ""2"": 64, ""3"": 48, ""4"": 64}",0.6886145404663924,0.7149122807017544,0.691358024691358,0.706140350877193,7,3,2,15,10,64,3,2,48,3,2,64,3,2,48,3,2,64,3,2
1,"{""0"": 32, ""1"": 32, ""2"": 32, ""3"": 32, ""4"": 32}",0.6790123456790124,0.7346491228070176,0.6707818930041153,0.7302631578947368,6,4,10,12,7,32,2,1,32,3,2,32,3,2,32,2,1,32,2,1
2,"{""0"": 32, ""1"": 48, ""2"": 48, ""3"": 48, ""4"": 48}",0.7174211248285323,0.6710526315789473,0.7091906721536351,0.6644736842105263,4,1,2,12,7,32,1,0,48,3,2,48,3,2,48,2,1,48,3,2
3,"{""0"": 48, ""1"": 64, ""2"": 64, ""3"": 64, ""4"": 64}",0.720164609053498,0.6666666666666666,0.700960219478738,0.6578947368421053,8,4,5,13,8,48,3,2,64,3,2,64,3,2,64,2,1,64,2,1
4,"{""0"": 32, ""1"": 32, ""2"": 32, ""3"": 24, ""4"": 32}",0.6995884773662552,0.7039473684210527,0.7050754458161865,0.6973684210526315,9,6,3,13,8,32,2,1,32,3,2,32,3,2,24,3,2,32,2,1
5,"{""0"": 64, ""1"": 48, ""2"": 48, ""3"": 48, ""4"": 64}",0.7119341563786008,0.7017543859649122,0.7174211248285323,0.6907894736842105,9,4,2,14,9,64,2,1,48,3,2,48,3,2,48,3,2,64,3,2
6,"{""0"": 48, ""1"": 64, ""2"": 48, ""3"": 64, ""4"": 64}",0.6899862825788752,0.6600877192982456,0.6858710562414266,0.6491228070175439,7,2,4,12,7,48,2,1,64,3,2,48,3,2,64,2,1,64,2,1
7,"{""0"": 48, ""1"": 32, ""2"": 48, ""3"": 48, ""4"": 48}",0.6666666666666666,0.6864035087719298,0.6556927297668038,0.6710526315789473,7,0,4,12,7,48,2,1,32,2,1,48,3,2,48,3,2,48,2,1
8,"{""0"": 48, ""1"": 48, ""2"": 64, ""3"": 64, ""4"": 64}",0.7037037037037037,0.6754385964912281,0.7091906721536351,0.6776315789473685,0,1,1,12,7,48,2,1,48,3,2,64,3,2,64,2,1,64,2,1
9,"{""0"": 48, ""1"": 64, ""2"": 64, ""3"": 48, ""4"": 64}",0.7023319615912208,0.6885964912280702,0.6954732510288066,0.6820175438596491,4,1,4,14,9,48,3,2,64,3,2,64,3,2,48,3,2,64,2,1


