split,alpha_reliability,beta_antihub,gamma_exposure,val_acc,fixed_val,broken_val,gain_val,accepted,reason
0,0.0,0.0,0.0,0.691358024691358,0,0,0.0,True,rejected
0,0.0,0.0,0.03,0.6817558299039781,8,15,-14.5,False,rejected
0,0.0,0.0,0.06,0.6790123456790124,14,23,-20.5,False,rejected
0,0.0,0.02,0.0,0.6844993141289437,3,8,-9.0,False,rejected
0,0.0,0.02,0.03,0.6776406035665294,8,18,-19.0,False,rejected
0,0.0,0.02,0.06,0.6748971193415638,15,27,-25.5,False,rejected
0,0.0,0.05,0.0,0.6748971193415638,7,19,-21.5,False,rejected
0,0.0,0.05,0.03,0.6776406035665294,13,23,-21.5,False,rejected
0,0.0,0.05,0.06,0.6652949245541838,15,34,-36.0,False,rejected
0,0.0,0.08,0.0,0.6611796982167353,14,36,-40.0,False,rejected
0,0.0,0.08,0.03,0.6735253772290809,21,34,-30.0,False,rejected
0,0.0,0.08,0.06,0.6584362139917695,18,42,-45.0,False,rejected
0,0.0,0.1,0.0,0.6556927297668038,19,45,-48.5,False,rejected
0,0.0,0.1,0.03,0.6611796982167353,22,44,-44.0,False,rejected
0,0.0,0.1,0.06,0.6460905349794238,17,50,-58.0,False,rejected
0,0.05,0.0,0.0,0.6899862825788752,10,11,-6.5,False,rejected
0,0.05,0.0,0.03,0.6748971193415638,9,21,-22.5,False,rejected
0,0.05,0.0,0.06,0.6776406035665294,17,27,-23.5,False,rejected
0,0.05,0.02,0.0,0.6803840877914952,8,16,-16.0,False,rejected
0,0.05,0.02,0.03,0.6803840877914952,11,19,-17.5,False,rejected
0,0.05,0.02,0.06,0.6735253772290809,16,29,-27.5,False,rejected
0,0.05,0.05,0.0,0.6707818930041153,13,28,-29.0,False,rejected
0,0.05,0.05,0.03,0.6762688614540466,16,27,-24.5,False,rejected
0,0.05,0.05,0.06,0.6721536351165981,18,32,-30.0,False,rejected
0,0.05,0.08,0.0,0.663923182441701,19,39,-39.5,False,rejected
0,0.05,0.08,0.03,0.6694101508916324,19,35,-33.5,False,rejected
0,0.05,0.08,0.06,0.6652949245541838,21,40,-39.0,False,rejected
0,0.05,0.1,0.0,0.654320987654321,20,47,-50.5,False,rejected
0,0.05,0.1,0.03,0.6570644718792867,21,46,-48.0,False,rejected
0,0.05,0.1,0.06,0.6529492455418381,22,50,-53.0,False,rejected
0,0.1,0.0,0.0,0.6844993141289437,19,24,-17.0,False,rejected
0,0.1,0.0,0.03,0.6803840877914952,15,23,-19.5,False,rejected
0,0.1,0.0,0.06,0.6776406035665294,21,31,-25.5,False,rejected
0,0.1,0.02,0.0,0.6790123456790124,17,26,-22.0,False,rejected
0,0.1,0.02,0.03,0.6790123456790124,17,26,-22.0,False,rejected
0,0.1,0.02,0.06,0.6748971193415638,20,32,-28.0,False,rejected
0,0.1,0.05,0.0,0.6652949245541838,16,35,-36.5,False,rejected
0,0.1,0.05,0.03,0.6762688614540466,18,29,-25.5,False,rejected
0,0.1,0.05,0.06,0.6666666666666666,19,37,-36.5,False,rejected
0,0.1,0.08,0.0,0.663923182441701,20,40,-40.0,False,rejected
0,0.1,0.08,0.03,0.6666666666666666,20,38,-37.0,False,rejected
0,0.1,0.08,0.06,0.6666666666666666,23,41,-38.5,False,rejected
0,0.1,0.1,0.0,0.6570644718792867,22,47,-48.5,False,rejected
0,0.1,0.1,0.03,0.6529492455418381,21,49,-52.5,False,rejected
0,0.1,0.1,0.06,0.6584362139917695,23,47,-47.5,False,rejected
0,0.15,0.0,0.0,0.6817558299039781,21,28,-21.0,False,rejected
0,0.15,0.0,0.03,0.6776406035665294,21,31,-25.5,False,rejected
0,0.15,0.0,0.06,0.6694101508916324,21,37,-34.5,False,rejected
0,0.15,0.02,0.0,0.6790123456790124,20,29,-23.5,False,rejected
0,0.15,0.02,0.03,0.6776406035665294,20,30,-25.0,False,rejected
0,0.15,0.02,0.06,0.6694101508916324,20,36,-34.0,False,rejected
0,0.15,0.05,0.0,0.6680384087791496,19,36,-35.0,False,rejected
0,0.15,0.05,0.03,0.6721536351165981,18,32,-30.0,False,rejected
