dataset,repeat,split_id,seed,split_policy,method,num_nodes,num_features,num_classes,train_size,val_size,test_size,lr,weight_decay,hidden_channels,dropout,train_acc,val_acc,test_acc,best_epoch,time_sec,params,selection_rule
amazon-photo,0,0,0,class_balanced_random_split_seed,gat,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.831250011920929,0.8541666865348816,0.7884138226509094,55,77.618,193560,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,0,0,0,class_balanced_random_split_seed,graphsage,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.987500011920929,0.9208333492279053,0.8580689430236816,185,80.442,96456,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,0,0,0,class_balanced_random_split_seed,appnp,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.8687499761581421,0.8458333611488342,0.8227586150169373,200,86.109,48264,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,0,0,0,class_balanced_random_split_seed,gcnii,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.4312500059604645,0.4000000059604645,0.40924137830734253,105,159.142,81032,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,0,0,0,class_balanced_random_split_seed,correct_smooth,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,1.0,0.9041666388511658,0.8824827671051025,195,44.253,48264,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,0,0,0,class_balanced_random_split_seed,linkx,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,1.0,0.75,0.657103419303894,65,10.008,550536,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,0,0,0,class_balanced_random_split_seed,mlp_prop,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.8999999761581421,0.862500011920929,0.8303448557853699,215,46.323,48264,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,0,0,0,class_balanced_random_split_seed,sign,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.987500011920929,0.8958333134651184,0.8468965291976929,200,16.955,191304,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,1,0,1,class_balanced_random_split_seed,gat,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.9312499761581421,0.862500011920929,0.8524137735366821,195,169.787,193560,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,1,0,1,class_balanced_random_split_seed,graphsage,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.987500011920929,0.9125000238418579,0.8710345029830933,125,56.961,96456,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,1,0,1,class_balanced_random_split_seed,appnp,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.84375,0.7916666865348816,0.8424827456474304,300,100.961,48264,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,1,0,1,class_balanced_random_split_seed,gcnii,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.6499999761581421,0.6166666746139526,0.4980689585208893,235,289.33,81032,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,1,0,1,class_balanced_random_split_seed,correct_smooth,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,1.0,0.8999999761581421,0.8640000224113464,200,45.865,48264,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,1,0,1,class_balanced_random_split_seed,linkx,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,1.0,0.6875,0.6593103408813477,60,10.425,550536,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,1,0,1,class_balanced_random_split_seed,mlp_prop,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.8500000238418579,0.8166666626930237,0.8491034507751465,300,59.315,48264,early_stop_by_postprocessed_val_acc_only_no_test
