dataset,method,repeat,split_id,split_seed,train_seed,split_policy,num_nodes,num_features,num_classes,train_size,val_size,test_size,feature_norm,make_undirected,lr,weight_decay,hidden_channels,dropout,train_acc,val_acc,test_acc,best_epoch,time_sec,params,selection_rule
amazon-computers,graphsage,0,0,20260419,20272764,class_balanced_random_20_train_30_val_per_class,13752,767,10,200,300,13252,row_l1,True,0.01,0.0005,64,0.5,0.9800000190734864,0.846666693687439,0.7558104395866394,160,204.718,99530,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
amazon-computers,graphsage,1,0,20260420,20272765,class_balanced_random_20_train_30_val_per_class,13752,767,10,200,300,13252,row_l1,True,0.01,0.0005,64,0.5,0.9549999833106996,0.8666666746139526,0.7624509334564209,120,180.798,99530,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
amazon-computers,graphsage,2,0,20260421,20272766,class_balanced_random_20_train_30_val_per_class,13752,767,10,200,300,13252,row_l1,True,0.01,0.0005,64,0.5,0.9100000262260436,0.8266666531562805,0.7734681367874146,65,123.395,99530,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
amazon-computers,graphsage,3,0,20260422,20272767,class_balanced_random_20_train_30_val_per_class,13752,767,10,200,300,13252,row_l1,True,0.01,0.0005,64,0.5,0.9399999976158142,0.8899999856948853,0.7857682108879089,165,226.786,99530,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
amazon-computers,graphsage,4,0,20260423,20272768,class_balanced_random_20_train_30_val_per_class,13752,767,10,200,300,13252,row_l1,True,0.01,0.0005,64,0.5,0.9800000190734864,0.8700000047683716,0.7147600650787354,170,242.592,99530,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
amazon-computers,graphsage,5,0,20260424,20272769,class_balanced_random_20_train_30_val_per_class,13752,767,10,200,300,13252,row_l1,True,0.01,0.0005,64,0.5,0.9800000190734864,0.8666666746139526,0.794823408126831,130,189.583,99530,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
amazon-computers,graphsage,6,0,20260425,20272770,class_balanced_random_20_train_30_val_per_class,13752,767,10,200,300,13252,row_l1,True,0.01,0.0005,64,0.5,0.975000023841858,0.8833333253860474,0.7723362445831299,155,214.598,99530,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
amazon-computers,graphsage,7,0,20260426,20272771,class_balanced_random_20_train_30_val_per_class,13752,767,10,200,300,13252,row_l1,True,0.01,0.0005,64,0.5,0.9800000190734864,0.8833333253860474,0.7595834732055664,195,257.14,99530,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
amazon-computers,graphsage,8,0,20260427,20272772,class_balanced_random_20_train_30_val_per_class,13752,767,10,200,300,13252,row_l1,True,0.01,0.0005,64,0.5,0.975000023841858,0.8500000238418579,0.7764865756034851,165,225.722,99530,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
amazon-computers,graphsage,9,0,20260428,20272773,class_balanced_random_20_train_30_val_per_class,13752,767,10,200,300,13252,row_l1,True,0.01,0.0005,64,0.5,0.9350000023841858,0.9200000166893004,0.7884847521781921,160,220.124,99530,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
amazon-photo,graphsage,0,0,20260419,20272764,class_balanced_random_20_train_30_val_per_class,7650,745,8,160,240,7250,row_l1,True,0.01,0.0005,64,0.5,1.0,0.912500023841858,0.8939310312271118,140,84.61,96456,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
amazon-photo,graphsage,1,0,20260420,20272765,class_balanced_random_20_train_30_val_per_class,7650,745,8,160,240,7250,row_l1,True,0.01,0.0005,64,0.5,0.993749976158142,0.9083333611488342,0.9004138112068176,135,93.621,96456,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
amazon-photo,graphsage,2,0,20260421,20272766,class_balanced_random_20_train_30_val_per_class,7650,745,8,160,240,7250,row_l1,True,0.01,0.0005,64,0.5,0.993749976158142,0.925000011920929,0.8957241177558899,110,70.593,96456,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
amazon-photo,graphsage,3,0,20260422,20272767,class_balanced_random_20_train_30_val_per_class,7650,745,8,160,240,7250,row_l1,True,0.01,0.0005,64,0.5,0.962499976158142,0.9375,0.8692413568496704,95,73.035,96456,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
amazon-photo,graphsage,4,0,20260423,20272768,class_balanced_random_20_train_30_val_per_class,7650,745,8,160,240,7250,row_l1,True,0.01,0.0005,64,0.5,0.981249988079071,0.912500023841858,0.9070344567298888,115,83.133,96456,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
amazon-photo,graphsage,5,0,20260424,20272769,class_balanced_random_20_train_30_val_per_class,7650,745,8,160,240,7250,row_l1,True,0.01,0.0005,64,0.5,0.987500011920929,0.912500023841858,0.8772413730621338,130,80.562,96456,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
amazon-photo,graphsage,6,0,20260425,20272770,class_balanced_random_20_train_30_val_per_class,7650,745,8,160,240,7250,row_l1,True,0.01,0.0005,64,0.5,0.96875,0.9166666865348816,0.8746206760406494,75,63.503,96456,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
amazon-photo,graphsage,7,0,20260426,20272771,class_balanced_random_20_train_30_val_per_class,7650,745,8,160,240,7250,row_l1,True,0.01,0.0005,64,0.5,0.981249988079071,0.8958333134651184,0.8725517392158508,115,83.651,96456,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
amazon-photo,graphsage,8,0,20260427,20272772,class_balanced_random_20_train_30_val_per_class,7650,745,8,160,240,7250,row_l1,True,0.01,0.0005,64,0.5,1.0,0.8916666507720947,0.8993103504180908,170,109.292,96456,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
amazon-photo,graphsage,9,0,20260428,20272773,class_balanced_random_20_train_30_val_per_class,7650,745,8,160,240,7250,row_l1,True,0.01,0.0005,64,0.5,0.975000023841858,0.9041666388511658,0.8468965291976929,90,71.078,96456,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
chameleon,linkx,0,0,0,12345,fixed_geom_gcn_split_id_0,2277,2325,5,1092,729,456,row_l1,True,0.01,0.0005,64,0.5,0.9981684684753418,0.7448559403419495,0.6973684430122375,140,5.366,307589,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
chameleon,linkx,1,1,1,12346,fixed_geom_gcn_split_id_1,2277,2325,5,1092,729,456,row_l1,True,0.01,0.0005,64,0.5,0.9890109896659852,0.6899862885475159,0.7280701994895935,75,3.675,307589,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
chameleon,linkx,2,2,2,12347,fixed_geom_gcn_split_id_2,2277,2325,5,1092,729,456,row_l1,True,0.01,0.0005,64,0.5,0.9844322204589844,0.7187928557395935,0.7061403393745422,35,2.521,307589,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
chameleon,linkx,3,3,3,12348,fixed_geom_gcn_split_id_3,2277,2325,5,1092,729,456,row_l1,True,0.01,0.0005,64,0.5,0.9972527623176576,0.7325102686882019,0.7105262875556946,55,2.981,307589,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
chameleon,linkx,4,4,4,12349,fixed_geom_gcn_split_id_4,2277,2325,5,1092,729,456,row_l1,True,0.01,0.0005,64,0.5,0.9954212307929992,0.7297667860984802,0.7324561476707458,100,4.212,307589,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
chameleon,linkx,5,5,5,12350,fixed_geom_gcn_split_id_5,2277,2325,5,1092,729,456,row_l1,True,0.01,0.0005,64,0.5,0.982600748538971,0.7160493731498718,0.7412280440330505,45,2.226,307589,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
chameleon,linkx,6,6,6,12351,fixed_geom_gcn_split_id_6,2277,2325,5,1092,729,456,row_l1,True,0.01,0.0005,64,0.5,0.9990842342376708,0.7201645970344543,0.7039473652839661,60,3.19,307589,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
chameleon,linkx,7,7,7,12352,fixed_geom_gcn_split_id_7,2277,2325,5,1092,729,456,row_l1,True,0.01,0.0005,64,0.5,0.9780219793319702,0.6913580298423767,0.7039473652839661,45,2.748,307589,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
chameleon,linkx,8,8,8,12353,fixed_geom_gcn_split_id_8,2277,2325,5,1092,729,456,row_l1,True,0.01,0.0005,64,0.5,1.0,0.7297667860984802,0.7258771657943726,55,2.83,307589,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
chameleon,linkx,9,9,9,12354,fixed_geom_gcn_split_id_9,2277,2325,5,1092,729,456,row_l1,True,0.01,0.0005,64,0.5,0.9981684684753418,0.7201645970344543,0.7061403393745422,150,5.805,307589,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
cornell,graphsage,0,0,20260419,20272764,random_stratified_matching_fixed_split0_class_counts,183,1703,5,87,59,37,row_l1,True,0.01,0.0005,64,0.5,0.9425287246704102,0.7796609997749329,0.6216216087341309,50,0.4,218693,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
cornell,graphsage,1,0,20260420,20272765,random_stratified_matching_fixed_split0_class_counts,183,1703,5,87,59,37,row_l1,True,0.01,0.0005,64,0.5,1.0,0.8644067645072937,0.7297297120094299,155,1.134,218693,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
cornell,graphsage,2,0,20260421,20272766,random_stratified_matching_fixed_split0_class_counts,183,1703,5,87,59,37,row_l1,True,0.01,0.0005,64,0.5,0.931034505367279,0.7627118825912476,0.7027027010917664,60,0.624,218693,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
cornell,graphsage,3,0,20260422,20272767,random_stratified_matching_fixed_split0_class_counts,183,1703,5,87,59,37,row_l1,True,0.01,0.0005,64,0.5,1.0,0.7796609997749329,0.6756756901741028,115,0.965,218693,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
cornell,graphsage,4,0,20260423,20272768,random_stratified_matching_fixed_split0_class_counts,183,1703,5,87,59,37,row_l1,True,0.01,0.0005,64,0.5,1.0,0.7796609997749329,0.837837815284729,100,0.804,218693,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
cornell,graphsage,5,0,20260424,20272769,random_stratified_matching_fixed_split0_class_counts,183,1703,5,87,59,37,row_l1,True,0.01,0.0005,64,0.5,1.0,0.8474576473236084,0.7297297120094299,200,1.538,218693,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
cornell,graphsage,6,0,20260425,20272770,random_stratified_matching_fixed_split0_class_counts,183,1703,5,87,59,37,row_l1,True,0.01,0.0005,64,0.5,1.0,0.7966101765632629,0.8108108043670654,90,0.663,218693,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
cornell,graphsage,7,0,20260426,20272771,random_stratified_matching_fixed_split0_class_counts,183,1703,5,87,59,37,row_l1,True,0.01,0.0005,64,0.5,1.0,0.7288135886192322,0.7027027010917664,145,0.765,218693,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
cornell,graphsage,8,0,20260427,20272772,random_stratified_matching_fixed_split0_class_counts,183,1703,5,87,59,37,row_l1,True,0.01,0.0005,64,0.5,0.9655172228813172,0.694915235042572,0.6756756901741028,60,0.585,218693,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
cornell,graphsage,9,0,20260428,20272773,random_stratified_matching_fixed_split0_class_counts,183,1703,5,87,59,37,row_l1,True,0.01,0.0005,64,0.5,0.9655172228813172,0.7966101765632629,0.7567567825317383,65,0.47,218693,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
