top_k,dim,energy,alphas,w,feature_variant,alphas_json,train_acc,val_acc,test_acc_shadow_not_for_selection,val_bal_acc,objective,num_selected_features,dataset,repeat,seed,split_policy
4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",0.9578754578754579,0.691358024691358,0.7368421052631579,0.696881959522409,0.691358024691358,4000,chameleon,0,20260419,random_stratified_matching_fixed_split0_class_counts
4000,64,0.95,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",0.9587912087912088,0.6927297668038409,0.7346491228070176,0.6990547866952361,0.6927297668038409,4000,chameleon,0,20260419,random_stratified_matching_fixed_split0_class_counts
4000,64,0.95,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",0.956959706959707,0.6941015089163237,0.7258771929824561,0.6999506263551207,0.6941015089163237,4000,chameleon,0,20260419,random_stratified_matching_fixed_split0_class_counts
4000,64,0.95,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",0.9120879120879121,0.6762688614540466,0.6864035087719298,0.6814148802912848,0.6762688614540466,4000,chameleon,0,20260419,random_stratified_matching_fixed_split0_class_counts
4000,64,0.95,"(0.05, 0.5, 5.0)",0.5,full,"[0.05, 0.5, 5.0]",0.9139194139194139,0.6762688614540466,0.6951754385964912,0.6816214873799143,0.6762688614540466,4000,chameleon,0,20260419,random_stratified_matching_fixed_split0_class_counts
4000,64,0.95,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",0.9139194139194139,0.6790123456790124,0.6951754385964912,0.6840491841896336,0.6790123456790124,4000,chameleon,0,20260419,random_stratified_matching_fixed_split0_class_counts
4000,64,0.99,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",0.9597069597069597,0.691358024691358,0.7390350877192983,0.696881959522409,0.691358024691358,4000,chameleon,0,20260419,random_stratified_matching_fixed_split0_class_counts
4000,64,0.99,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",0.9597069597069597,0.6927297668038409,0.7368421052631579,0.6990547866952361,0.6927297668038409,4000,chameleon,0,20260419,random_stratified_matching_fixed_split0_class_counts
4000,64,0.99,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",0.9578754578754579,0.6995884773662552,0.7258771929824561,0.7056310376535095,0.6995884773662552,4000,chameleon,0,20260419,random_stratified_matching_fixed_split0_class_counts
4000,64,0.99,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",0.9139194139194139,0.6776406035665294,0.6864035087719298,0.6827662316426362,0.6776406035665294,4000,chameleon,0,20260419,random_stratified_matching_fixed_split0_class_counts
