experiment,dataset,repeat,seed,split_policy,num_nodes,num_features,num_classes,train_size,val_size,test_size,method,top_k,dim,energy,alphas,w,feature_variant,alphas_json,train_acc,val_acc,test_acc,val_bal_acc,num_features_after_variant,selection_rule
E03,chameleon,0,20260419,random_stratified_matching_fixed_split0_class_counts,2277,2325,5,1092,729,456,src_v16c,6000,96,0.99,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",0.9771062271062271,0.720164609053498,0.7368421052631579,0.7281077182762576,20925,grid_selected_by_val_only_no_test
E03,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts,2277,2325,5,1092,729,456,src_v16c,6000,96,0.99,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",0.9826007326007326,0.7064471879286695,0.7302631578947368,0.7105135450641069,20925,grid_selected_by_val_only_no_test
E03,squirrel,0,20260419,random_stratified_matching_fixed_split0_class_counts,5201,2089,5,2496,1664,1041,src_v16c,6000,96,0.95,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",0.9855769230769231,0.5859375,0.6013448607108549,0.5865721838849887,18801,grid_selected_by_val_only_no_test
E03,squirrel,1,20260420,random_stratified_matching_fixed_split0_class_counts,5201,2089,5,2496,1664,1041,src_v16c,6000,96,0.95,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",0.9767628205128205,0.6087740384615384,0.6128722382324687,0.609642971103122,18801,grid_selected_by_val_only_no_test
E03,cornell,0,20260419,random_stratified_matching_fixed_split0_class_counts,183,1703,5,87,59,37,src_v16c,4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.7457627118644068,0.8108108108108109,0.5354733975701718,15327,grid_selected_by_val_only_no_test
E03,cornell,1,20260420,random_stratified_matching_fixed_split0_class_counts,183,1703,5,87,59,37,src_v16c,4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.7966101694915254,0.6216216216216216,0.6917260159195643,15327,grid_selected_by_val_only_no_test
E03,texas,0,20260419,random_stratified_matching_fixed_split0_class_counts,183,1703,5,87,58,38,src_v16c,4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.8620689655172413,0.868421052631579,0.7552995391705069,15327,grid_selected_by_val_only_no_test
E03,texas,1,20260420,random_stratified_matching_fixed_split0_class_counts,183,1703,5,87,58,38,src_v16c,4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.8620689655172413,0.8947368421052632,0.7514592933947774,15327,grid_selected_by_val_only_no_test
E03,wisconsin,0,20260419,random_stratified_matching_fixed_split0_class_counts,251,1703,5,120,80,51,src_v16c,4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.8375,0.8823529411764706,0.6725087108013937,15327,grid_selected_by_val_only_no_test
E03,wisconsin,1,20260420,random_stratified_matching_fixed_split0_class_counts,251,1703,5,120,80,51,src_v16c,4000,64,0.95,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",1.0,0.8625,0.8431372549019608,0.6822648083623694,15327,grid_selected_by_val_only_no_test
E03,amazon-photo,0,20260419,class_balanced_random_20_train_30_val_per_class,7650,745,8,160,240,7250,src_v16c,4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.925,0.8873103448275862,0.925,6705,grid_selected_by_val_only_no_test
E03,amazon-photo,1,20260420,class_balanced_random_20_train_30_val_per_class,7650,745,8,160,240,7250,src_v16c,4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.9416666666666667,0.8922758620689655,0.9416666666666667,6705,grid_selected_by_val_only_no_test
E03,amazon-computers,0,20260419,class_balanced_random_20_train_30_val_per_class,13752,767,10,200,300,13252,src_v16c,4000,64,0.95,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",1.0,0.8533333333333334,0.7761847268336854,0.8533333333333333,6903,grid_selected_by_val_only_no_test
E03,amazon-computers,1,20260420,class_balanced_random_20_train_30_val_per_class,13752,767,10,200,300,13252,src_v16c,4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.8666666666666667,0.8048596438273468,0.8666666666666668,6903,grid_selected_by_val_only_no_test

