top_k,dim,energy,alphas,w,feature_variant,alphas_json,train_acc,val_acc,test_acc_shadow_not_for_selection,val_bal_acc,objective,num_selected_features,dataset,split,ablation
4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",0.9642857142857143,0.710562414266118,0.6907894736842105,0.7080423220872658,0.710562414266118,4000,chameleon,0,full
4000,64,0.95,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",0.9633699633699634,0.7119341563786008,0.6995614035087719,0.7093936734386173,0.7119341563786008,4000,chameleon,0,full
4000,64,0.95,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",0.9624542124542125,0.7146776406035665,0.7039473684210527,0.7129651020100459,0.7146776406035665,4000,chameleon,0,full
4000,64,0.95,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",0.9203296703296703,0.7078189300411523,0.6885964912280702,0.7052451192900631,0.7078189300411523,4000,chameleon,0,full
4000,64,0.95,"(0.05, 0.5, 5.0)",0.5,full,"[0.05, 0.5, 5.0]",0.9230769230769231,0.7037037037037037,0.6973684210526315,0.701096565141509,0.7037037037037037,4000,chameleon,0,full
4000,64,0.95,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",0.924908424908425,0.7119341563786008,0.6951754385964912,0.7113292378741817,0.7119341563786008,4000,chameleon,0,full
4000,64,0.99,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",0.9661172161172161,0.7064471879286695,0.6907894736842105,0.7044910297719287,0.7064471879286695,4000,chameleon,0,full
4000,64,0.99,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",0.9652014652014652,0.7091906721536351,0.6929824561403509,0.7071937324746314,0.7091906721536351,4000,chameleon,0,full
4000,64,0.99,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",0.9633699633699634,0.7078189300411523,0.6995614035087719,0.7058423811232799,0.7078189300411523,4000,chameleon,0,full
4000,64,0.99,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",0.9221611721611722,0.7091906721536351,0.6864035087719298,0.7063038578488017,0.7091906721536351,4000,chameleon,0,full
4000,64,0.99,"(0.05, 0.5, 5.0)",0.5,full,"[0.05, 0.5, 5.0]",0.923992673992674,0.7037037037037037,0.6864035087719298,0.7012855653305092,0.7037037037037037,4000,chameleon,0,full
4000,64,0.99,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",0.9267399267399268,0.7050754458161865,0.6885964912280702,0.7030712796162234,0.7050754458161865,4000,chameleon,0,full
4000,96,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",0.9642857142857143,0.710562414266118,0.6907894736842105,0.7080423220872658,0.710562414266118,4000,chameleon,0,full
4000,96,0.95,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",0.9633699633699634,0.7119341563786008,0.6995614035087719,0.7093936734386173,0.7119341563786008,4000,chameleon,0,full
4000,96,0.95,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",0.9633699633699634,0.7174211248285323,0.7039473684210527,0.7165365305814745,0.7174211248285323,4000,chameleon,0,full
4000,96,0.95,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",0.9212454212454212,0.7064471879286695,0.6907894736842105,0.7038937679387118,0.7064471879286695,4000,chameleon,0,full
4000,96,0.95,"(0.05, 0.5, 5.0)",0.5,full,"[0.05, 0.5, 5.0]",0.9230769230769231,0.7050754458161865,0.6995614035087719,0.7028822794272231,0.7050754458161865,4000,chameleon,0,full
4000,96,0.95,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",0.924908424908425,0.710562414266118,0.6951754385964912,0.7095435235884675,0.710562414266118,4000,chameleon,0,full
4000,96,0.99,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",0.9652014652014652,0.710562414266118,0.6885964912280702,0.7082700779329993,0.710562414266118,4000,chameleon,0,full
