experiment,dataset,split,split_policy,ablation,method,train_size,val_size,test_size,top_k,dim,energy,alphas,w,feature_variant,alphas_json,train_acc,val_acc,test_acc,val_bal_acc,num_features_after_variant,pca_dims_json,selection_rule
E05,chameleon,0,fixed_geom_gcn_split,full,src_v16c_ablation,1092,729,456,6000,96,0.95,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",0.9789377289377289,0.7379972565157751,0.7214912280701754,0.7373744195373408,20925,"{""0"": 61, ""1"": 55, ""2"": 74, ""3"": 75, ""4"": 72}",ablation_grid_selected_by_val_only_no_test
E05,chameleon,0,fixed_geom_gcn_split,no_p3,src_v16c_ablation,1092,729,456,6000,96,0.99,"(0.01, 0.1, 1.0)",0.4,no_p3,"[0.01, 0.1, 1.0]",0.989010989010989,0.7393689986282579,0.7192982456140351,0.7401706098335312,18600,"{""0"": 96, ""1"": 96, ""2"": 96, ""3"": 96, ""4"": 96}",ablation_grid_selected_by_val_only_no_test
E05,chameleon,0,fixed_geom_gcn_split,no_sym,src_v16c_ablation,1092,729,456,6000,96,0.99,"(0.01, 0.1, 1.0)",0.6,no_sym,"[0.01, 0.1, 1.0]",0.9926739926739927,0.7256515775034293,0.7149122807017544,0.7254224063212827,13950,"{""0"": 96, ""1"": 96, ""2"": 96, ""3"": 96, ""4"": 96}",ablation_grid_selected_by_val_only_no_test
E05,chameleon,0,fixed_geom_gcn_split,no_highpass,src_v16c_ablation,1092,729,456,6000,96,0.99,"(0.01, 0.1, 1.0)",0.6,no_highpass,"[0.01, 0.1, 1.0]",0.9771062271062271,0.7366255144032922,0.7236842105263158,0.7374241989410528,13950,"{""0"": 93, ""1"": 74, ""2"": 96, ""3"": 91, ""4"": 90}",ablation_grid_selected_by_val_only_no_test
E05,chameleon,0,fixed_geom_gcn_split,pca_only,src_v16c_ablation,1092,729,456,6000,96,0.99,"(0.01, 0.1, 1.0)",1.0,full,"[0.01, 0.1, 1.0]",0.9706959706959707,0.7270233196159122,0.6995614035087719,0.7253550200179413,20925,"{""0"": 96, ""1"": 87, ""2"": 96, ""3"": 96, ""4"": 96}",ablation_grid_selected_by_val_only_no_test
E05,chameleon,0,fixed_geom_gcn_split,ridge_only,src_v16c_ablation,1092,729,456,6000,64,0.95,"(0.01, 0.1, 1.0)",0.0,full,"[0.01, 0.1, 1.0]",0.9826007326007326,0.7270233196159122,0.7192982456140351,0.7259698887507876,20925,"{""0"": 61, ""1"": 55, ""2"": 64, ""3"": 64, ""4"": 64}",ablation_grid_selected_by_val_only_no_test
E05,chameleon,0,fixed_geom_gcn_split,single_alpha,src_v16c_ablation,1092,729,456,6000,96,0.99,"(1.0,)",0.6,full,[1.0],0.9368131868131868,0.720164609053498,0.6907894736842105,0.71962634617129,20925,"{""0"": 96, ""1"": 87, ""2"": 96, ""3"": 96, ""4"": 96}",ablation_grid_selected_by_val_only_no_test
E05,chameleon,0,fixed_geom_gcn_split,fixed_dim64_energy095,src_v16c_ablation,1092,729,456,6000,64,0.95,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",0.978021978021978,0.7338820301783264,0.7149122807017544,0.7333676155305369,20925,"{""0"": 61, ""1"": 55, ""2"": 64, ""3"": 64, ""4"": 64}",ablation_grid_selected_by_val_only_no_test
E05,chameleon,0,fixed_geom_gcn_split,raw_only,src_v16c_ablation,1092,729,456,4000,96,0.95,"(0.05, 0.5, 5.0)",0.6,raw_only,"[0.05, 0.5, 5.0]",0.9386446886446886,0.45816186556927296,0.43859649122807015,0.4552449865652112,2325,"{""0"": 96, ""1"": 96, ""2"": 96, ""3"": 96, ""4"": 96}",ablation_grid_selected_by_val_only_no_test
E05,chameleon,0,fixed_geom_gcn_split,row_lowpass_only,src_v16c_ablation,1092,729,456,4000,96,0.99,"(0.01, 0.1, 1.0)",0.6,row_lowpass_only,"[0.01, 0.1, 1.0]",0.9652014652014652,0.7283950617283951,0.6995614035087719,0.7273473413922853,9300,"{""0"": 82, ""1"": 70, ""2"": 96, ""3"": 89, ""4"": 87}",ablation_grid_selected_by_val_only_no_test
