dataset,ablation,n,train_mean,train_std,val_mean,val_std,test_mean,test_std,train_size,val_size,test_size,split_policy,selection_rule,train_mean_%,train_std_%,val_mean_%,val_std_%,test_mean_%,test_std_%
amazon-computers,fixed_dim64_energy095,10,1.0,0.0,0.8539999999999999,0.013221755360572015,0.786605795351645,0.012241867446288583,200,300,13252,class_balanced_random_20_train_30_val_per_class,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,100.0,0.0,85.39999999999999,1.3221755360572014,78.6605795351645,1.2241867446288583
amazon-computers,no_highpass,10,0.9984999999999999,0.0024152294576982483,0.865,0.008642416214502234,0.7972683368548144,0.010162560912452469,200,300,13252,class_balanced_random_20_train_30_val_per_class,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,99.85,0.24152294576982483,86.5,0.8642416214502233,79.72683368548144,1.016256091245247
amazon-computers,no_p3,10,1.0,0.0,0.8336666666666666,0.009993825254119501,0.7631904618170842,0.013397495447199108,200,300,13252,class_balanced_random_20_train_30_val_per_class,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,100.0,0.0,83.36666666666666,0.9993825254119502,76.31904618170842,1.3397495447199108
amazon-computers,no_sym,10,0.9995,0.0015811388300842042,0.8039999999999999,0.016086187618536783,0.735405976456384,0.016555822635115076,200,300,13252,class_balanced_random_20_train_30_val_per_class,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,99.95,0.15811388300842041,80.39999999999999,1.6086187618536782,73.5405976456384,1.6555822635115076
amazon-computers,pca_only,10,1.0,0.0,0.8246666666666667,0.0171557858361056,0.7682689405372775,0.017697670469185293,200,300,13252,class_balanced_random_20_train_30_val_per_class,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,100.0,0.0,82.46666666666667,1.7155785836105601,76.82689405372774,1.7697670469185294
amazon-computers,raw_only,10,0.9949999999999999,0.004082482904638632,0.727,0.016736889101327125,0.6345834591005131,0.016054681739238127,200,300,13252,class_balanced_random_20_train_30_val_per_class,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,99.49999999999999,0.40824829046386324,72.7,1.6736889101327126,63.45834591005131,1.6054681739238126
amazon-computers,ridge_only,10,0.9995,0.0015811388300842042,0.8553333333333333,0.01475729574745243,0.7857832779957742,0.012904413786255342,200,300,13252,class_balanced_random_20_train_30_val_per_class,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,99.95,0.15811388300842041,85.53333333333333,1.475729574745243,78.57832779957742,1.2904413786255342
amazon-computers,row_lowpass_only,10,0.998,0.0034960294939004864,0.8506666666666668,0.012151309435104294,0.7823573800181105,0.01062355598522335,200,300,13252,class_balanced_random_20_train_30_val_per_class,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,99.8,0.34960294939004866,85.06666666666668,1.2151309435104294,78.23573800181106,1.062355598522335
amazon-computers,single_alpha,10,0.998,0.003496029493900498,0.8496666666666666,0.010937533068733065,0.7835421068517959,0.009681769561045007,200,300,13252,class_balanced_random_20_train_30_val_per_class,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,99.8,0.3496029493900498,84.96666666666665,1.0937533068733065,78.3542106851796,0.9681769561045007
amazon-photo,fixed_dim64_energy095,10,1.0,0.0,0.9133333333333334,0.023223949962309476,0.8873793103448275,0.01696149844934832,160,240,7250,class_balanced_random_20_train_30_val_per_class,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,100.0,0.0,91.33333333333334,2.3223949962309476,88.73793103448276,1.696149844934832
amazon-photo,no_highpass,10,1.0,0.0,0.9270833333333334,0.02415628768184185,0.9027034482758621,0.011761347309179751,160,240,7250,class_balanced_random_20_train_30_val_per_class,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,100.0,0.0,92.70833333333334,2.415628768184185,90.27034482758621,1.176134730917975
amazon-photo,no_p3,10,1.0,0.0,0.9008333333333333,0.01581138830084185,0.8715586206896552,0.017158704463212257,160,240,7250,class_balanced_random_20_train_30_val_per_class,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,100.0,0.0,90.08333333333333,1.581138830084185,87.15586206896552,1.7158704463212258
amazon-photo,no_sym,10,1.0,0.0,0.8916666666666668,0.0173472166622178,0.8478068965517241,0.01877261141551453,160,240,7250,class_balanced_random_20_train_30_val_per_class,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,100.0,0.0,89.16666666666669,1.73472166622178,84.78068965517241,1.877261141551453
amazon-photo,pca_only,10,1.0,0.0,0.89375,0.022842894726942377,0.8714896551724138,0.025505106361704624,160,240,7250,class_balanced_random_20_train_30_val_per_class,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,100.0,0.0,89.375,2.2842894726942378,87.14896551724138,2.5505106361704626
amazon-photo,raw_only,10,0.9949999999999999,0.0070955776524693395,0.8158333333333333,0.02958039891549809,0.7688137931034482,0.010394760715711557,160,240,7250,class_balanced_random_20_train_30_val_per_class,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,99.49999999999999,0.7095577652469339,81.58333333333333,2.958039891549809,76.88137931034483,1.0394760715711557
amazon-photo,ridge_only,10,1.0,0.0,0.9091666666666667,0.023057228854941273,0.8911862068965517,0.014448995492278911,160,240,7250,class_balanced_random_20_train_30_val_per_class,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,100.0,0.0,90.91666666666667,2.305722885494127,89.11862068965517,1.444899549227891
amazon-photo,row_lowpass_only,10,1.0,0.0,0.91875,0.02478690041329822,0.8917655172413793,0.01272791998532597,160,240,7250,class_balanced_random_20_train_30_val_per_class,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,100.0,0.0,91.875,2.478690041329822,89.17655172413794,1.272791998532597
amazon-photo,single_alpha,10,0.99875,0.0026352313834736396,0.9087500000000001,0.02425192495859929,0.8887310344827586,0.013625192524042156,160,240,7250,class_balanced_random_20_train_30_val_per_class,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,99.875,0.26352313834736396,90.875,2.425192495859929,88.87310344827586,1.3625192524042156
chameleon,fixed_dim64_energy095,10,0.9706043956043956,0.014137077262289905,0.7200274348422496,0.02681396205876753,0.7192982456140351,0.017421601297972208,1092,729,456,fixed_geom_gcn_split_id_0;fixed_geom_gcn_split_id_1;fixed_geom_gcn_split_id_2;fixed_geom_gcn_split_id_3;fixed_geom_gcn_split_id_4;fixed_geom_gcn_split_id_5;fixed_geom_gcn_split_id_6;fixed_geom_gcn_split_id_7;fixed_geom_gcn_split_id_8;fixed_geom_gcn_split_id_9,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,97.06043956043956,1.4137077262289905,72.00274348422496,2.681396205876753,71.9298245614035,1.7421601297972207
chameleon,no_highpass,10,0.9673992673992673,0.013130731376509127,0.7207133058984911,0.023486674886133724,0.7201754385964912,0.01898334250073617,1092,729,456,fixed_geom_gcn_split_id_0;fixed_geom_gcn_split_id_1;fixed_geom_gcn_split_id_2;fixed_geom_gcn_split_id_3;fixed_geom_gcn_split_id_4;fixed_geom_gcn_split_id_5;fixed_geom_gcn_split_id_6;fixed_geom_gcn_split_id_7;fixed_geom_gcn_split_id_8;fixed_geom_gcn_split_id_9,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,96.73992673992673,1.3130731376509128,72.07133058984911,2.3486674886133723,72.01754385964912,1.8983342500736171
chameleon,no_p3,10,0.9785714285714286,0.014364289299001447,0.7237311385459534,0.02251403591911918,0.7166666666666666,0.018048303347381254,1092,729,456,fixed_geom_gcn_split_id_0;fixed_geom_gcn_split_id_1;fixed_geom_gcn_split_id_2;fixed_geom_gcn_split_id_3;fixed_geom_gcn_split_id_4;fixed_geom_gcn_split_id_5;fixed_geom_gcn_split_id_6;fixed_geom_gcn_split_id_7;fixed_geom_gcn_split_id_8;fixed_geom_gcn_split_id_9,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,97.85714285714286,1.4364289299001447,72.37311385459535,2.251403591911918,71.66666666666666,1.8048303347381254
chameleon,no_sym,10,0.9822344322344323,0.00981748763258868,0.7203017832647463,0.02142192952506463,0.7234649122807018,0.020453472403498943,1092,729,456,fixed_geom_gcn_split_id_0;fixed_geom_gcn_split_id_1;fixed_geom_gcn_split_id_2;fixed_geom_gcn_split_id_3;fixed_geom_gcn_split_id_4;fixed_geom_gcn_split_id_5;fixed_geom_gcn_split_id_6;fixed_geom_gcn_split_id_7;fixed_geom_gcn_split_id_8;fixed_geom_gcn_split_id_9,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,98.22344322344323,0.9817487632588681,72.03017832647463,2.142192952506463,72.34649122807018,2.0453472403498942
