dataset,repeat,split_id,split_seed,split_policy,split_part,node_idx
amazon-computers,2,,20260421,class_balanced_random_20_train_30_val_per_class,train,11775
amazon-computers,2,,20260421,class_balanced_random_20_train_30_val_per_class,train,5675
amazon-computers,2,,20260421,class_balanced_random_20_train_30_val_per_class,train,13569
amazon-computers,2,,20260421,class_balanced_random_20_train_30_val_per_class,train,6430
amazon-computers,2,,20260421,class_balanced_random_20_train_30_val_per_class,train,8154
amazon-computers,2,,20260421,class_balanced_random_20_train_30_val_per_class,train,3401
amazon-computers,2,,20260421,class_balanced_random_20_train_30_val_per_class,train,3031
amazon-computers,2,,20260421,class_balanced_random_20_train_30_val_per_class,train,9102
amazon-computers,2,,20260421,class_balanced_random_20_train_30_val_per_class,train,1061
amazon-computers,2,,20260421,class_balanced_random_20_train_30_val_per_class,train,7739
amazon-computers,2,,20260421,class_balanced_random_20_train_30_val_per_class,train,13298
amazon-computers,2,,20260421,class_balanced_random_20_train_30_val_per_class,train,8197
amazon-computers,2,,20260421,class_balanced_random_20_train_30_val_per_class,train,9894
amazon-computers,2,,20260421,class_balanced_random_20_train_30_val_per_class,train,8985
amazon-computers,2,,20260421,class_balanced_random_20_train_30_val_per_class,train,8540
amazon-computers,2,,20260421,class_balanced_random_20_train_30_val_per_class,train,2514
amazon-computers,2,,20260421,class_balanced_random_20_train_30_val_per_class,train,5907
amazon-computers,2,,20260421,class_balanced_random_20_train_30_val_per_class,train,13751
amazon-computers,2,,20260421,class_balanced_random_20_train_30_val_per_class,train,8927
amazon-computers,2,,20260421,class_balanced_random_20_train_30_val_per_class,train,13585
amazon-computers,2,,20260421,class_balanced_random_20_train_30_val_per_class,train,1081
amazon-computers,2,,20260421,class_balanced_random_20_train_30_val_per_class,train,4508
amazon-computers,2,,20260421,class_balanced_random_20_train_30_val_per_class,train,4730
amazon-computers,2,,20260421,class_balanced_random_20_train_30_val_per_class,train,13305
amazon-computers,2,,20260421,class_balanced_random_20_train_30_val_per_class,train,3157
amazon-computers,2,,20260421,class_balanced_random_20_train_30_val_per_class,train,10292
amazon-computers,2,,20260421,class_balanced_random_20_train_30_val_per_class,train,13419
amazon-computers,2,,20260421,class_balanced_random_20_train_30_val_per_class,train,12435
amazon-computers,2,,20260421,class_balanced_random_20_train_30_val_per_class,train,2784
amazon-computers,2,,20260421,class_balanced_random_20_train_30_val_per_class,train,3182
amazon-computers,2,,20260421,class_balanced_random_20_train_30_val_per_class,train,6696
amazon-computers,2,,20260421,class_balanced_random_20_train_30_val_per_class,train,13451
amazon-computers,2,,20260421,class_balanced_random_20_train_30_val_per_class,train,9695
