experiment,dataset,repeat,split,split_id,split_seed,split_policy,ablation,method,train_size,val_size,test_size,top_k,dim,energy,alphas,w,feature_variant,alphas_json,train_acc,val_acc,val_bal_acc,num_features_after_variant,test_acc,pca_dims_json,retained_variance_json,time_sec,selection_rule
E05,amazon-computers,4,4,,20260423,class_balanced_random_20_train_30_val_per_class,no_p3,src_v16c_ablation,200,300,13252,4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,no_p3,"[0.01, 0.1, 1.0]",1.0,0.8466666666666667,0.8466666666666667,6136,0.7743736794446121,"{""0"": 18, ""1"": 17, ""2"": 17, ""3"": 17, ""4"": 17, ""5"": 16, ""6"": 16, ""7"": 15, ""8"": 18, ""9"": 17}","{""0"": 0.9738477419935012, ""1"": 0.9680427114043774, ""2"": 0.9524046047807188, ""3"": 0.9567228885862678, ""4"": 0.9518984633858274, ""5"": 0.9512855183730557, ""6"": 0.9596695881804084, ""7"": 0.950378394876004, ""8"": 0.9749793203757796, ""9"": 0.9569383489610543}",692.744160263006,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,amazon-computers,4,4,,20260423,class_balanced_random_20_train_30_val_per_class,no_sym,src_v16c_ablation,200,300,13252,4000,64,0.95,"(0.05, 0.5, 5.0)",0.4,no_sym,"[0.05, 0.5, 5.0]",0.995,0.82,0.82,4602,0.7575460307878056,"{""0"": 18, ""1"": 17, ""2"": 17, ""3"": 17, ""4"": 17, ""5"": 16, ""6"": 16, ""7"": 16, ""8"": 18, ""9"": 17}","{""0"": 0.97501232886302, ""1"": 0.9673595021184122, ""2"": 0.954018244204013, ""3"": 0.9545005760986517, ""4"": 0.9539416306648986, ""5"": 0.9549477734617754, ""6"": 0.9623898881871409, ""7"": 0.9628441561082179, ""8"": 0.9758540181216271, ""9"": 0.9549291540785128}",588.782612817995,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,amazon-computers,4,4,,20260423,class_balanced_random_20_train_30_val_per_class,no_highpass,src_v16c_ablation,200,300,13252,4000,64,0.95,"(0.05, 0.5, 5.0)",0.4,no_highpass,"[0.05, 0.5, 5.0]",0.995,0.8666666666666667,0.8666666666666666,4602,0.7950498038031996,"{""0"": 17, ""1"": 15, ""2"": 17, ""3"": 16, ""4"": 17, ""5"": 15, ""6"": 14, ""7"": 15, ""8"": 17, ""9"": 16}","{""0"": 0.9544873987576157, ""1"": 0.9597731361529788, ""2"": 0.9649649843270396, ""3"": 0.958370885509825, ""4"": 0.9612596083464815, ""5"": 0.9529162875484217, ""6"": 0.9549738159970736, ""7"": 0.9536146593260808, ""8"": 0.9691686217006891, ""9"": 0.9542355120216065}",645.0429180540013,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,amazon-computers,4,4,,20260423,class_balanced_random_20_train_30_val_per_class,pca_only,src_v16c_ablation,200,300,13252,4000,64,0.95,"(0.01, 0.1, 1.0)",1.0,full,"[0.01, 0.1, 1.0]",1.0,0.8133333333333334,0.8133333333333332,6903,0.7810141865378811,"{""0"": 17, ""1"": 16, ""2"": 17, ""3"": 17, ""4"": 17, ""5"": 16, ""6"": 15, ""7"": 16, ""8"": 17, ""9"": 17}","{""0"": 0.950038749874106, ""1"": 0.9599619566231379, ""2"": 0.95447382334236, ""3"": 0.9632640066444934, ""4"": 0.9569829793112785, ""5"": 0.9612485291822725, ""6"": 0.9527612833886266, ""7"": 0.963293907964336, ""8"": 0.9600263136783067, ""9"": 0.9635339911163098}",234.68244532099925,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,amazon-computers,4,4,,20260423,class_balanced_random_20_train_30_val_per_class,ridge_only,src_v16c_ablation,200,300,13252,4000,64,0.95,"(0.05, 0.5, 5.0)",0.0,full,"[0.05, 0.5, 5.0]",0.995,0.8633333333333333,0.8633333333333335,6903,0.7898430425596137,"{""0"": 17, ""1"": 16, ""2"": 17, ""3"": 17, ""4"": 17, ""5"": 16, ""6"": 15, ""7"": 16, ""8"": 17, ""9"": 17}","{""0"": 0.950038749874106, ""1"": 0.9599619566231379, ""2"": 0.95447382334236, ""3"": 0.9632640066444934, ""4"": 0.9569829793112785, ""5"": 0.9612485291822725, ""6"": 0.9527612833886266, ""7"": 0.963293907964336, ""8"": 0.9600263136783067, ""9"": 0.9635339911163098}",240.58557343699795,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,amazon-computers,4,4,,20260423,class_balanced_random_20_train_30_val_per_class,single_alpha,src_v16c_ablation,200,300,13252,4000,64,0.99,"(1.0,)",0.5,full,[1.0],0.995,0.8633333333333333,0.8633333333333333,6903,0.783655297313613,"{""0"": 19, ""1"": 18, ""2"": 19, ""3"": 19, ""4"": 19, ""5"": 18, ""6"": 18, ""7"": 18, ""8"": 19, ""9"": 19}","{""0"": 1.0, ""1"": 0.9925286299584413, ""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 0.9907182786805956, ""6"": 0.9916180494015733, ""7"": 0.9910322313650485, ""8"": 1.0, ""9"": 1.0}",379.56716390300426,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,amazon-computers,4,4,,20260423,class_balanced_random_20_train_30_val_per_class,fixed_dim64_energy095,src_v16c_ablation,200,300,13252,4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.86,0.8600000000000001,6903,0.7902203440990039,"{""0"": 17, ""1"": 16, ""2"": 17, ""3"": 17, ""4"": 17, ""5"": 16, ""6"": 15, ""7"": 16, ""8"": 17, ""9"": 17}","{""0"": 0.950038749874106, ""1"": 0.9599619566231379, ""2"": 0.95447382334236, ""3"": 0.9632640066444934, ""4"": 0.9569829793112785, ""5"": 0.9612485291822725, ""6"": 0.9527612833886266, ""7"": 0.963293907964336, ""8"": 0.9600263136783067, ""9"": 0.9635339911163098}",227.3338425719994,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,amazon-computers,4,4,,20260423,class_balanced_random_20_train_30_val_per_class,raw_only,src_v16c_ablation,200,300,13252,4000,64,0.95,"(0.01, 0.1, 1.0)",0.6,raw_only,"[0.01, 0.1, 1.0]",0.99,0.7433333333333333,0.7433333333333333,767,0.6403561726531845,"{""0"": 17, ""1"": 16, ""2"": 17, ""3"": 15, ""4"": 17, ""5"": 16, ""6"": 13, ""7"": 13, ""8"": 17, ""9"": 17}","{""0"": 0.9596757892275258, ""1"": 0.967417679086449, ""2"": 0.9667258352314075, ""3"": 0.9514788646033429, ""4"": 0.9644970411749862, ""5"": 0.9592476176898121, ""6"": 0.9592060844790917, ""7"": 0.9608096848638259, ""8"": 0.9707316373635675, ""9"": 0.9668500146250879}",153.69455826299964,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,amazon-computers,4,4,,20260423,class_balanced_random_20_train_30_val_per_class,row_lowpass_only,src_v16c_ablation,200,300,13252,4000,64,0.95,"(0.01, 0.1, 1.0)",0.6,row_lowpass_only,"[0.01, 0.1, 1.0]",0.995,0.8533333333333334,0.8533333333333333,3068,0.7775430123754905,"{""0"": 17, ""1"": 16, ""2"": 17, ""3"": 16, ""4"": 17, ""5"": 16, ""6"": 13, ""7"": 14, ""8"": 17, ""9"": 17}","{""0"": 0.9542846046037761, ""1"": 0.9712329643964989, ""2"": 0.9655484138370569, ""3"": 0.9648120827963771, ""4"": 0.9620470667602321, ""5"": 0.9637511440707093, ""6"": 0.9538695614580157, ""7"": 0.9629213939199701, ""8"": 0.9678296168219983, ""9"": 0.9680541465566902}",520.3499485889988,ablation_grid_selected_by_val_only_test_once_after_selection_no_full

