experiment,dataset,repeat,split,split_id,split_seed,split_policy,ablation,method,train_size,val_size,test_size,top_k,dim,energy,alphas,w,feature_variant,alphas_json,train_acc,val_acc,val_bal_acc,num_features_after_variant,test_acc,pca_dims_json,retained_variance_json,time_sec,selection_rule
E05,amazon-computers,9,9,,20260428,class_balanced_random_20_train_30_val_per_class,no_p3,src_v16c_ablation,200,300,13252,4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,no_p3,"[0.01, 0.1, 1.0]",1.0,0.82,0.8200000000000001,6136,0.7559613643223664,"{""0"": 18, ""1"": 17, ""2"": 17, ""3"": 17, ""4"": 17, ""5"": 16, ""6"": 17, ""7"": 17, ""8"": 17, ""9"": 16}","{""0"": 0.9734167708224756, ""1"": 0.9563877871707268, ""2"": 0.9508163263959563, ""3"": 0.959112123043375, ""4"": 0.9545481296500602, ""5"": 0.959146711539825, ""6"": 0.9702000978030992, ""7"": 0.954357989195928, ""8"": 0.956372282101496, ""9"": 0.9665641148450335}",653.1650565570017,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,amazon-computers,9,9,,20260428,class_balanced_random_20_train_30_val_per_class,no_sym,src_v16c_ablation,200,300,13252,4000,64,0.95,"(0.05, 0.5, 5.0)",0.4,no_sym,"[0.05, 0.5, 5.0]",1.0,0.7733333333333333,0.7733333333333332,4602,0.7227588288560217,"{""0"": 18, ""1"": 17, ""2"": 17, ""3"": 17, ""4"": 17, ""5"": 16, ""6"": 16, ""7"": 17, ""8"": 17, ""9"": 15}","{""0"": 0.9717836424056828, ""1"": 0.9566072358949458, ""2"": 0.9522151400974432, ""3"": 0.9568946233768716, ""4"": 0.9572713725392874, ""5"": 0.9659100469525339, ""6"": 0.9565495156746903, ""7"": 0.9610307398592204, ""8"": 0.9542226461014371, ""9"": 0.9502910324805661}",489.7653259840008,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,amazon-computers,9,9,,20260428,class_balanced_random_20_train_30_val_per_class,no_highpass,src_v16c_ablation,200,300,13252,4000,64,0.95,"(0.01, 0.1, 1.0)",0.6,no_highpass,"[0.01, 0.1, 1.0]",1.0,0.8533333333333334,0.8533333333333333,4602,0.7936160579535164,"{""0"": 17, ""1"": 16, ""2"": 17, ""3"": 16, ""4"": 17, ""5"": 16, ""6"": 15, ""7"": 17, ""8"": 16, ""9"": 13}","{""0"": 0.9537118693388796, ""1"": 0.9578033498017984, ""2"": 0.9662429110732554, ""3"": 0.9606036152907307, ""4"": 0.9644615652799194, ""5"": 0.959944970728275, ""6"": 0.961124644173042, ""7"": 0.9641437064873635, ""8"": 0.9638723822576424, ""9"": 0.9614211497359347}",540.1982614320004,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,amazon-computers,9,9,,20260428,class_balanced_random_20_train_30_val_per_class,pca_only,src_v16c_ablation,200,300,13252,4000,64,0.95,"(0.01, 0.1, 1.0)",1.0,full,"[0.01, 0.1, 1.0]",1.0,0.81,0.8099999999999999,6903,0.7641865378810746,"{""0"": 17, ""1"": 16, ""2"": 17, ""3"": 17, ""4"": 17, ""5"": 16, ""6"": 16, ""7"": 17, ""8"": 16, ""9"": 14}","{""0"": 0.9526716750835076, ""1"": 0.9501252727525826, ""2"": 0.9580208628952661, ""3"": 0.9667176977652315, ""4"": 0.9615159610509755, ""5"": 0.9597424282437681, ""6"": 0.9517215892344436, ""7"": 0.9598464290323099, ""8"": 0.9502840314454506, ""9"": 0.9527895026394756}",189.80449739200412,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,amazon-computers,9,9,,20260428,class_balanced_random_20_train_30_val_per_class,ridge_only,src_v16c_ablation,200,300,13252,4000,64,0.95,"(0.01, 0.1, 1.0)",0.0,full,"[0.01, 0.1, 1.0]",1.0,0.83,0.8299999999999998,6903,0.7736190763658316,"{""0"": 17, ""1"": 16, ""2"": 17, ""3"": 17, ""4"": 17, ""5"": 16, ""6"": 16, ""7"": 17, ""8"": 16, ""9"": 14}","{""0"": 0.9526716750835076, ""1"": 0.9501252727525826, ""2"": 0.9580208628952661, ""3"": 0.9667176977652315, ""4"": 0.9615159610509755, ""5"": 0.9597424282437681, ""6"": 0.9517215892344436, ""7"": 0.9598464290323099, ""8"": 0.9502840314454506, ""9"": 0.9527895026394756}",125.17858015499951,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,amazon-computers,9,9,,20260428,class_balanced_random_20_train_30_val_per_class,single_alpha,src_v16c_ablation,200,300,13252,4000,64,0.99,"(1.0,)",0.6,full,[1.0],1.0,0.8366666666666667,0.8366666666666667,6903,0.778297615454271,"{""0"": 19, ""1"": 19, ""2"": 19, ""3"": 19, ""4"": 19, ""5"": 18, ""6"": 18, ""7"": 19, ""8"": 19, ""9"": 18}","{""0"": 1.0, ""1"": 1.0, ""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 0.9909382696837045, ""6"": 0.9900597428384417, ""7"": 1.0, ""8"": 1.0, ""9"": 0.9958443303000932}",176.9615269939968,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,amazon-computers,9,9,,20260428,class_balanced_random_20_train_30_val_per_class,fixed_dim64_energy095,src_v16c_ablation,200,300,13252,4000,64,0.95,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",1.0,0.83,0.8300000000000001,6903,0.7783730757621491,"{""0"": 17, ""1"": 16, ""2"": 17, ""3"": 17, ""4"": 17, ""5"": 16, ""6"": 16, ""7"": 17, ""8"": 16, ""9"": 14}","{""0"": 0.9526716750835076, ""1"": 0.9501252727525826, ""2"": 0.9580208628952661, ""3"": 0.9667176977652315, ""4"": 0.9615159610509755, ""5"": 0.9597424282437681, ""6"": 0.9517215892344436, ""7"": 0.9598464290323099, ""8"": 0.9502840314454506, ""9"": 0.9527895026394756}",96.03616597600922,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,amazon-computers,9,9,,20260428,class_balanced_random_20_train_30_val_per_class,raw_only,src_v16c_ablation,200,300,13252,4000,64,0.95,"(0.05, 0.5, 5.0)",0.5,raw_only,"[0.05, 0.5, 5.0]",1.0,0.7066666666666667,0.7066666666666667,767,0.6471476003622095,"{""0"": 17, ""1"": 17, ""2"": 17, ""3"": 16, ""4"": 17, ""5"": 15, ""6"": 13, ""7"": 17, ""8"": 17, ""9"": 14}","{""0"": 0.9562043217277483, ""1"": 0.9614591370758411, ""2"": 0.9622219046233257, ""3"": 0.9586831488710428, ""4"": 0.9594951009362493, ""5"": 0.9523212499905598, ""6"": 0.9524859806851511, ""7"": 0.964553115149214, ""8"": 0.9720321882032619, ""9"": 0.952230435321077}",106.83758295000007,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,amazon-computers,9,9,,20260428,class_balanced_random_20_train_30_val_per_class,row_lowpass_only,src_v16c_ablation,200,300,13252,4000,64,0.95,"(0.05, 0.5, 5.0)",0.4,row_lowpass_only,"[0.05, 0.5, 5.0]",1.0,0.8333333333333334,0.8333333333333333,3068,0.7735436160579535,"{""0"": 17, ""1"": 17, ""2"": 17, ""3"": 16, ""4"": 17, ""5"": 16, ""6"": 14, ""7"": 17, ""8"": 16, ""9"": 14}","{""0"": 0.9501926373533043, ""1"": 0.9693714398792221, ""2"": 0.9634964137551544, ""3"": 0.9579571781627675, ""4"": 0.9538002670185536, ""5"": 0.9651078946251066, ""6"": 0.9580368266207963, ""7"": 0.9604867585686829, ""8"": 0.9546641610914156, ""9"": 0.9641687533263921}",271.6025234270055,ablation_grid_selected_by_val_only_test_once_after_selection_no_full

