experiment,dataset,repeat,split,split_id,split_seed,split_policy,ablation,method,train_size,val_size,test_size,top_k,dim,energy,alphas,w,feature_variant,alphas_json,train_acc,val_acc,val_bal_acc,num_features_after_variant,test_acc,pca_dims_json,retained_variance_json,time_sec,selection_rule
E05,amazon-photo,3,3,,20260422,class_balanced_random_20_train_30_val_per_class,no_p3,src_v16c_ablation,160,240,7250,4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,no_p3,"[0.01, 0.1, 1.0]",1.0,0.8916666666666667,0.8916666666666666,5960,0.888551724137931,"{""0"": 17, ""1"": 15, ""2"": 17, ""3"": 17, ""4"": 17, ""5"": 17, ""6"": 17, ""7"": 17}","{""0"": 0.9625354170230158, ""1"": 0.9553944677869283, ""2"": 0.9611871370852998, ""3"": 0.9644611977798124, ""4"": 0.958685467418618, ""5"": 0.9557845853315604, ""6"": 0.958880877452827, ""7"": 0.9638274043868573}",382.06720019000204,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,amazon-photo,3,3,,20260422,class_balanced_random_20_train_30_val_per_class,no_sym,src_v16c_ablation,160,240,7250,4000,64,0.95,"(0.01, 0.1, 1.0)",0.6,no_sym,"[0.01, 0.1, 1.0]",1.0,0.8791666666666667,0.8791666666666667,4470,0.8777931034482759,"{""0"": 17, ""1"": 16, ""2"": 17, ""3"": 17, ""4"": 17, ""5"": 17, ""6"": 17, ""7"": 17}","{""0"": 0.9604615035033123, ""1"": 0.9672770366474386, ""2"": 0.9623183796822541, ""3"": 0.9600135162485119, ""4"": 0.9610819150765506, ""5"": 0.9552319493243943, ""6"": 0.9582367546072548, ""7"": 0.9627909511692222}",338.38380624300044,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,amazon-photo,3,3,,20260422,class_balanced_random_20_train_30_val_per_class,no_highpass,src_v16c_ablation,160,240,7250,6000,64,0.99,"(0.05, 0.5, 5.0)",0.5,no_highpass,"[0.05, 0.5, 5.0]",1.0,0.9166666666666666,0.9166666666666667,4470,0.8982068965517241,"{""0"": 19, ""1"": 17, ""2"": 19, ""3"": 18, ""4"": 19, ""5"": 19, ""6"": 19, ""7"": 18}","{""0"": 1.0, ""1"": 0.9936926376096459, ""2"": 1.0, ""3"": 0.9968690344716835, ""4"": 1.0, ""5"": 1.0, ""6"": 1.0, ""7"": 0.9940457879281978}",328.31802567900013,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,amazon-photo,3,3,,20260422,class_balanced_random_20_train_30_val_per_class,pca_only,src_v16c_ablation,160,240,7250,4000,64,0.95,"(0.01, 0.1, 1.0)",1.0,full,"[0.01, 0.1, 1.0]",1.0,0.8833333333333333,0.8833333333333333,6705,0.8851034482758621,"{""0"": 16, ""1"": 14, ""2"": 16, ""3"": 16, ""4"": 17, ""5"": 17, ""6"": 16, ""7"": 17}","{""0"": 0.9617903212735459, ""1"": 0.959537736524799, ""2"": 0.9508864586004807, ""3"": 0.9552028897233094, ""4"": 0.9615768235858057, ""5"": 0.9625692988472712, ""6"": 0.9560518733868902, ""7"": 0.9664422083124544}",124.78904177700315,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,amazon-photo,3,3,,20260422,class_balanced_random_20_train_30_val_per_class,ridge_only,src_v16c_ablation,160,240,7250,4000,64,0.95,"(0.01, 0.1, 1.0)",0.0,full,"[0.01, 0.1, 1.0]",1.0,0.8833333333333333,0.8833333333333333,6705,0.9023448275862069,"{""0"": 16, ""1"": 14, ""2"": 16, ""3"": 16, ""4"": 17, ""5"": 17, ""6"": 16, ""7"": 17}","{""0"": 0.9617903212735459, ""1"": 0.959537736524799, ""2"": 0.9508864586004807, ""3"": 0.9552028897233094, ""4"": 0.9615768235858057, ""5"": 0.9625692988472712, ""6"": 0.9560518733868902, ""7"": 0.9664422083124544}",129.44974822699442,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,amazon-photo,3,3,,20260422,class_balanced_random_20_train_30_val_per_class,single_alpha,src_v16c_ablation,160,240,7250,4000,64,0.95,"(1.0,)",0.6,full,[1.0],1.0,0.8916666666666667,0.8916666666666667,6705,0.895448275862069,"{""0"": 16, ""1"": 14, ""2"": 16, ""3"": 16, ""4"": 17, ""5"": 17, ""6"": 16, ""7"": 17}","{""0"": 0.9617903212735459, ""1"": 0.959537736524799, ""2"": 0.9508864586004807, ""3"": 0.9552028897233094, ""4"": 0.9615768235858057, ""5"": 0.9625692988472712, ""6"": 0.9560518733868902, ""7"": 0.9664422083124544}",221.12543265899876,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,amazon-photo,3,3,,20260422,class_balanced_random_20_train_30_val_per_class,fixed_dim64_energy095,src_v16c_ablation,160,240,7250,4000,64,0.95,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",1.0,0.8916666666666667,0.8916666666666667,6705,0.899448275862069,"{""0"": 16, ""1"": 14, ""2"": 16, ""3"": 16, ""4"": 17, ""5"": 17, ""6"": 16, ""7"": 17}","{""0"": 0.9617903212735459, ""1"": 0.959537736524799, ""2"": 0.9508864586004807, ""3"": 0.9552028897233094, ""4"": 0.9615768235858057, ""5"": 0.9625692988472712, ""6"": 0.9560518733868902, ""7"": 0.9664422083124544}",118.97451317699597,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,amazon-photo,3,3,,20260422,class_balanced_random_20_train_30_val_per_class,raw_only,src_v16c_ablation,160,240,7250,4000,64,0.95,"(0.05, 0.5, 5.0)",0.4,raw_only,"[0.05, 0.5, 5.0]",0.9875,0.7625,0.7625,745,0.7615172413793103,"{""0"": 18, ""1"": 13, ""2"": 17, ""3"": 16, ""4"": 17, ""5"": 16, ""6"": 17, ""7"": 16}","{""0"": 0.9780280114253805, ""1"": 0.9559818708692986, ""2"": 0.9572142541957839, ""3"": 0.957969691876283, ""4"": 0.960011135135108, ""5"": 0.95622960001922, ""6"": 0.9570145533974249, ""7"": 0.9624157258878542}",102.3348128370053,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,amazon-photo,3,3,,20260422,class_balanced_random_20_train_30_val_per_class,row_lowpass_only,src_v16c_ablation,160,240,7250,4000,64,0.95,"(0.05, 0.5, 5.0)",0.5,row_lowpass_only,"[0.05, 0.5, 5.0]",1.0,0.9083333333333333,0.9083333333333334,2980,0.8953103448275862,"{""0"": 17, ""1"": 13, ""2"": 17, ""3"": 16, ""4"": 17, ""5"": 16, ""6"": 17, ""7"": 16}","{""0"": 0.955835489138004, ""1"": 0.9638566972414659, ""2"": 0.9604660082130883, ""3"": 0.9598792810268785, ""4"": 0.9597403758828418, ""5"": 0.9547203460776367, ""6"": 0.9601353566014192, ""7"": 0.9596920207858726}",264.97931036299997,ablation_grid_selected_by_val_only_test_once_after_selection_no_full

