dataset,repeat,split_id,split_seed,split_policy,split_part,node_idx
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,1632
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,1837
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,5021
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,4119
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,6056
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,2858
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,6809
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,4339
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,5477
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,7082
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,799
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,4753
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,2802
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,7189
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,2467
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,6762
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,4439
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,2851
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,635
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,2578
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,6501
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,952
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,1950
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,2989
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,3303
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,3680
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,7332
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,6564
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,6241
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,7517
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,6122
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,2160
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,764
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,6836
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,6305
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,5060
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,6191
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,7286
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,2379
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,2077
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,5250
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,4901
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,3940
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,4056
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,6046
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,6648
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,6320
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,4254
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,7366
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,337
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,3350
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,7348
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,1616
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,1334
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,6913
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,1243
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,6416
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,3220
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,2504
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,4504
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,7588
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,7466
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,769
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,1069
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,5193
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,3421
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,1688
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,6766
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,3695
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,2081
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,7040
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,6457
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,3937
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,2583
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,1673
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,2651
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,1608
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,5765
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,1001
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,3617
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,5209
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,5305
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,5511
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,2959
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,3591
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,7592
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,3077
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,3532
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,6269
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,4797
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,5346
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,5610
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,6854
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,3854
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,5659
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,6632
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,7072
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,2142
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,3341
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,1820
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,4492
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,6268
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,1824
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,5883
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,1400
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,4008
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,5927
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,5697
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,1449
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,4226
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,6988
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,6482
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,2654
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,342
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,5267
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,6667
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,7404
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,3128
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,815
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,187
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,6215
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,2309
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,1798
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,3502
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,3659
amazon-photo,3,,20260422,class_balanced_random_20_train_30_val_per_class,train,7381
