experiment,dataset,repeat,split,split_id,split_seed,split_policy,ablation,method,train_size,val_size,test_size,top_k,dim,energy,alphas,w,feature_variant,alphas_json,train_acc,val_acc,val_bal_acc,num_features_after_variant,test_acc,pca_dims_json,retained_variance_json,time_sec,selection_rule
E05,chameleon,3,3,3,3,fixed_geom_gcn_split_id_3,no_p3,src_v16c_ablation,1092,729,456,6000,96,0.99,"(0.05, 0.5, 5.0)",0.5,no_p3,"[0.05, 0.5, 5.0]",0.9734432234432234,0.7462277091906722,0.747821231218705,18600,0.7039473684210527,"{""0"": 96, ""1"": 94, ""2"": 96, ""3"": 96, ""4"": 96}","{""0"": 0.9831495214356856, ""1"": 0.9904126451926856, ""2"": 0.9670488133952628, ""3"": 0.964262457123595, ""4"": 0.977875810651725}",277.565019429996,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,chameleon,3,3,3,3,fixed_geom_gcn_split_id_3,no_sym,src_v16c_ablation,1092,729,456,6000,96,0.99,"(0.05, 0.5, 5.0)",0.6,no_sym,"[0.05, 0.5, 5.0]",0.9761904761904762,0.7434842249657064,0.7450460636290812,13950,0.7105263157894737,"{""0"": 96, ""1"": 95, ""2"": 96, ""3"": 96, ""4"": 96}","{""0"": 0.986729257887808, ""1"": 0.9902003186391215, ""2"": 0.96881357923393, ""3"": 0.9583831518160741, ""4"": 0.9734382253056563}",276.0101291239989,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,chameleon,3,3,3,3,fixed_geom_gcn_split_id_3,no_highpass,src_v16c_ablation,1092,729,456,4000,64,0.99,"(0.01, 0.1, 1.0)",0.5,no_highpass,"[0.01, 0.1, 1.0]",0.9597069597069597,0.7407407407407407,0.7427069451886086,13950,0.7039473684210527,"{""0"": 64, ""1"": 64, ""2"": 64, ""3"": 64, ""4"": 64}","{""0"": 0.9726688005717523, ""1"": 0.9834755352218134, ""2"": 0.9569950259120652, ""3"": 0.9721583799352289, ""4"": 0.9632319721896628}",269.5975166339995,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,chameleon,3,3,3,3,fixed_geom_gcn_split_id_3,pca_only,src_v16c_ablation,1092,729,456,4000,96,0.99,"(0.01, 0.1, 1.0)",1.0,full,"[0.01, 0.1, 1.0]",0.967948717948718,0.7133058984910837,0.7133546191208373,20925,0.6798245614035088,"{""0"": 91, ""1"": 79, ""2"": 96, ""3"": 96, ""4"": 96}","{""0"": 0.9901787056155638, ""1"": 0.9901591972352017, ""2"": 0.9861993413972656, ""3"": 0.9817494558159365, ""4"": 0.9895171460332711}",93.39682001600158,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,chameleon,3,3,3,3,fixed_geom_gcn_split_id_3,ridge_only,src_v16c_ablation,1092,729,456,4000,64,0.95,"(0.01, 0.1, 1.0)",0.0,full,"[0.01, 0.1, 1.0]",0.9688644688644689,0.747599451303155,0.7482122789105554,20925,0.7127192982456141,"{""0"": 51, ""1"": 46, ""2"": 64, ""3"": 64, ""4"": 64}","{""0"": 0.951535854251883, ""1"": 0.9500390289039291, ""2"": 0.9508190029436749, ""3"": 0.9486924748272201, ""4"": 0.9504004981384405}",92.90943897699617,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,chameleon,3,3,3,3,fixed_geom_gcn_split_id_3,single_alpha,src_v16c_ablation,1092,729,456,6000,64,0.99,"(1.0,)",0.5,full,[1.0],0.9102564102564102,0.720164609053498,0.7210062695943001,20925,0.6842105263157895,"{""0"": 64, ""1"": 64, ""2"": 64, ""3"": 64, ""4"": 64}","{""0"": 0.957382346630664, ""1"": 0.9662769034811759, ""2"": 0.9351182960500769, ""3"": 0.9392830603263523, ""4"": 0.9411843626803975}",127.632018667995,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,chameleon,3,3,3,3,fixed_geom_gcn_split_id_3,fixed_dim64_energy095,src_v16c_ablation,1092,729,456,4000,64,0.95,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",0.9633699633699634,0.7503429355281207,0.7511335652216407,20925,0.7105263157894737,"{""0"": 51, ""1"": 46, ""2"": 64, ""3"": 64, ""4"": 64}","{""0"": 0.951535854251883, ""1"": 0.9500390289039291, ""2"": 0.9508190029436749, ""3"": 0.9486924748272201, ""4"": 0.9504004981384405}",68.69174711399683,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,chameleon,3,3,3,3,fixed_geom_gcn_split_id_3,raw_only,src_v16c_ablation,1092,729,456,4000,96,0.95,"(0.05, 0.5, 5.0)",0.6,raw_only,"[0.05, 0.5, 5.0]",0.9432234432234432,0.4279835390946502,0.42553876007821134,2325,0.48464912280701755,"{""0"": 96, ""1"": 96, ""2"": 96, ""3"": 96, ""4"": 96}","{""0"": 0.8659165827036579, ""1"": 0.8263285614794496, ""2"": 0.6577225215121797, ""3"": 0.5713105481770959, ""4"": 0.691343393069491}",181.6614411479968,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,chameleon,3,3,3,3,fixed_geom_gcn_split_id_3,row_lowpass_only,src_v16c_ablation,1092,729,456,4000,64,0.95,"(0.01, 0.1, 1.0)",0.6,row_lowpass_only,"[0.01, 0.1, 1.0]",0.9514652014652014,0.7283950617283951,0.7295179638973291,9300,0.6951754385964912,"{""0"": 48, ""1"": 46, ""2"": 60, ""3"": 54, ""4"": 58}","{""0"": 0.9520733748348068, ""1"": 0.9505077830798989, ""2"": 0.9515673329875957, ""3"": 0.9500960073951548, ""4"": 0.9518819664253247}",280.21183764799935,ablation_grid_selected_by_val_only_test_once_after_selection_no_full

