dataset,ablation,n,train_mean,train_std,val_mean,val_std,test_mean,test_std,train_size,val_size,test_size,split_policy,train_mean_%,train_std_%,val_mean_%,val_std_%,test_mean_%,test_std_%
chameleon,fixed_dim64_energy095,1,0.9459706959706959,,0.7283950617283951,,0.7368421052631579,,1092,729,456,fixed_geom_gcn_split_id_5,94.59706959706959,,72.8395061728395,,73.68421052631578,
chameleon,no_highpass,1,0.9468864468864469,,0.7229080932784636,,0.7258771929824561,,1092,729,456,fixed_geom_gcn_split_id_5,94.68864468864469,,72.29080932784636,,72.58771929824562,
chameleon,no_p3,1,0.9459706959706959,,0.7256515775034293,,0.7390350877192983,,1092,729,456,fixed_geom_gcn_split_id_5,94.59706959706959,,72.56515775034293,,73.90350877192982,
chameleon,no_sym,1,0.9661172161172161,,0.7311385459533608,,0.743421052631579,,1092,729,456,fixed_geom_gcn_split_id_5,96.6117216117216,,73.11385459533608,,74.3421052631579,
chameleon,pca_only,1,0.9532967032967034,,0.7174211248285323,,0.7236842105263158,,1092,729,456,fixed_geom_gcn_split_id_5,95.32967032967034,,71.74211248285323,,72.36842105263158,
chameleon,raw_only,1,0.9395604395604396,,0.4458161865569273,,0.43859649122807015,,1092,729,456,fixed_geom_gcn_split_id_5,93.95604395604396,,44.58161865569273,,43.859649122807014,
chameleon,ridge_only,1,0.9404761904761905,,0.720164609053498,,0.7324561403508771,,1092,729,456,fixed_geom_gcn_split_id_5,94.04761904761905,,72.0164609053498,,73.24561403508771,
chameleon,row_lowpass_only,1,0.9487179487179487,,0.7215363511659808,,0.7302631578947368,,1092,729,456,fixed_geom_gcn_split_id_5,94.87179487179486,,72.15363511659808,,73.02631578947368,
chameleon,single_alpha,1,0.9212454212454212,,0.7174211248285323,,0.7280701754385965,,1092,729,456,fixed_geom_gcn_split_id_5,92.12454212454212,,71.74211248285323,,72.80701754385966,

