experiment,dataset,repeat,split,split_id,split_seed,split_policy,ablation,method,train_size,val_size,test_size,top_k,dim,energy,alphas,w,feature_variant,alphas_json,train_acc,val_acc,val_bal_acc,num_features_after_variant,test_acc,pca_dims_json,retained_variance_json,time_sec,selection_rule
E05,chameleon,7,7,7,7,fixed_geom_gcn_split_id_7,no_p3,src_v16c_ablation,1092,729,456,6000,96,0.95,"(0.01, 0.1, 1.0)",0.6,no_p3,"[0.01, 0.1, 1.0]",0.9935897435897436,0.6762688614540466,0.677524484706858,18600,0.6973684210526315,"{""0"": 67, ""1"": 65, ""2"": 83, ""3"": 89, ""4"": 81}","{""0"": 0.9511828088388189, ""1"": 0.951156334259717, ""2"": 0.9509332018793898, ""3"": 0.9500823887491621, ""4"": 0.9508661185083724}",413.91650757399475,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,chameleon,7,7,7,7,fixed_geom_gcn_split_id_7,no_sym,src_v16c_ablation,1092,729,456,6000,64,0.95,"(0.01, 0.1, 1.0)",0.4,no_sym,"[0.01, 0.1, 1.0]",0.9917582417582418,0.6721536351165981,0.6743679115349165,13950,0.7302631578947368,"{""0"": 59, ""1"": 62, ""2"": 64, ""3"": 64, ""4"": 64}","{""0"": 0.951414284327419, ""1"": 0.9503586756936684, ""2"": 0.9239253806386767, ""3"": 0.891652668322639, ""4"": 0.9134064572881296}",421.3815051080019,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,chameleon,7,7,7,7,fixed_geom_gcn_split_id_7,no_highpass,src_v16c_ablation,1092,729,456,6000,96,0.99,"(0.01, 0.1, 1.0)",0.6,no_highpass,"[0.01, 0.1, 1.0]",0.9835164835164835,0.6694101508916324,0.6706409586218935,13950,0.7083333333333334,"{""0"": 87, ""1"": 75, ""2"": 96, ""3"": 86, ""4"": 88}","{""0"": 0.9901778925459296, ""1"": 0.9903957318206859, ""2"": 0.987373074782458, ""3"": 0.9903569422500804, ""4"": 0.9901117528247536}",403.1200125699979,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,chameleon,7,7,7,7,fixed_geom_gcn_split_id_7,pca_only,src_v16c_ablation,1092,729,456,6000,96,0.95,"(0.01, 0.1, 1.0)",1.0,full,"[0.01, 0.1, 1.0]",0.9496336996336996,0.6598079561042524,0.6591264594209315,20925,0.6995614035087719,"{""0"": 58, ""1"": 58, ""2"": 72, ""3"": 70, ""4"": 72}","{""0"": 0.9501572342618458, ""1"": 0.9519433806096809, ""2"": 0.9510245867045595, ""3"": 0.9506721494340257, ""4"": 0.9515052546909935}",152.00855731599586,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,chameleon,7,7,7,7,fixed_geom_gcn_split_id_7,ridge_only,src_v16c_ablation,1092,729,456,4000,64,0.95,"(0.01, 0.1, 1.0)",0.0,full,"[0.01, 0.1, 1.0]",0.9633699633699634,0.6570644718792867,0.6591645551826091,20925,0.706140350877193,"{""0"": 47, ""1"": 49, ""2"": 61, ""3"": 61, ""4"": 64}","{""0"": 0.9508382525257206, ""1"": 0.950980639689614, ""2"": 0.951428640867318, ""3"": 0.9506574117465839, ""4"": 0.9462928458099736}",156.82010316800006,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,chameleon,7,7,7,7,fixed_geom_gcn_split_id_7,single_alpha,src_v16c_ablation,1092,729,456,6000,96,0.99,"(1.0,)",0.6,full,[1.0],0.9441391941391941,0.6680384087791496,0.6694335903606295,20925,0.6951754385964912,"{""0"": 96, ""1"": 87, ""2"": 96, ""3"": 96, ""4"": 96}","{""0"": 0.9897706592786389, ""1"": 0.9901399051384441, ""2"": 0.9788127760421961, ""3"": 0.9794616466040102, ""4"": 0.9817890098257246}",129.29770306600403,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,chameleon,7,7,7,7,fixed_geom_gcn_split_id_7,fixed_dim64_energy095,src_v16c_ablation,1092,729,456,4000,64,0.95,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",0.9578754578754579,0.6666666666666666,0.6675220127642201,20925,0.706140350877193,"{""0"": 47, ""1"": 49, ""2"": 61, ""3"": 61, ""4"": 64}","{""0"": 0.9508382525257206, ""1"": 0.950980639689614, ""2"": 0.951428640867318, ""3"": 0.9506574117465839, ""4"": 0.9462928458099736}",67.45637295600318,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,chameleon,7,7,7,7,fixed_geom_gcn_split_id_7,raw_only,src_v16c_ablation,1092,729,456,4000,64,0.95,"(0.05, 0.5, 5.0)",0.4,raw_only,"[0.05, 0.5, 5.0]",0.9267399267399268,0.4403292181069959,0.436502507780253,2325,0.4407894736842105,"{""0"": 64, ""1"": 64, ""2"": 64, ""3"": 64, ""4"": 64}","{""0"": 0.6805490283178987, ""1"": 0.6511753769486068, ""2"": 0.5079675965470151, ""3"": 0.43382573897995585, ""4"": 0.5170344300006129}",142.36496270700445,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,chameleon,7,7,7,7,fixed_geom_gcn_split_id_7,row_lowpass_only,src_v16c_ablation,1092,729,456,6000,96,0.95,"(0.01, 0.1, 1.0)",0.4,row_lowpass_only,"[0.01, 0.1, 1.0]",0.989010989010989,0.6735253772290809,0.675237789815144,9300,0.6995614035087719,"{""0"": 54, ""1"": 56, ""2"": 76, ""3"": 96, ""4"": 83}","{""0"": 0.9514188719608879, ""1"": 0.950354338271318, ""2"": 0.9502294249331668, ""3"": 0.9425962157813864, ""4"": 0.9506835543810961}",201.43918455600215,ablation_grid_selected_by_val_only_test_once_after_selection_no_full

