dataset,repeat,split_id,split_seed,split_policy,split_part,node_idx
cornell,7,,20260426,random_stratified_matching_fixed_split0_class_counts,train,117
cornell,7,,20260426,random_stratified_matching_fixed_split0_class_counts,train,115
cornell,7,,20260426,random_stratified_matching_fixed_split0_class_counts,train,48
cornell,7,,20260426,random_stratified_matching_fixed_split0_class_counts,train,83
cornell,7,,20260426,random_stratified_matching_fixed_split0_class_counts,train,104
cornell,7,,20260426,random_stratified_matching_fixed_split0_class_counts,train,52
cornell,7,,20260426,random_stratified_matching_fixed_split0_class_counts,train,87
cornell,7,,20260426,random_stratified_matching_fixed_split0_class_counts,train,146
cornell,7,,20260426,random_stratified_matching_fixed_split0_class_counts,train,116
cornell,7,,20260426,random_stratified_matching_fixed_split0_class_counts,train,66
cornell,7,,20260426,random_stratified_matching_fixed_split0_class_counts,train,33
cornell,7,,20260426,random_stratified_matching_fixed_split0_class_counts,train,42
cornell,7,,20260426,random_stratified_matching_fixed_split0_class_counts,train,31
cornell,7,,20260426,random_stratified_matching_fixed_split0_class_counts,train,65
cornell,7,,20260426,random_stratified_matching_fixed_split0_class_counts,train,57
cornell,7,,20260426,random_stratified_matching_fixed_split0_class_counts,train,134
cornell,7,,20260426,random_stratified_matching_fixed_split0_class_counts,train,35
cornell,7,,20260426,random_stratified_matching_fixed_split0_class_counts,train,167
cornell,7,,20260426,random_stratified_matching_fixed_split0_class_counts,train,28
cornell,7,,20260426,random_stratified_matching_fixed_split0_class_counts,train,142
cornell,7,,20260426,random_stratified_matching_fixed_split0_class_counts,train,123
cornell,7,,20260426,random_stratified_matching_fixed_split0_class_counts,train,70
cornell,7,,20260426,random_stratified_matching_fixed_split0_class_counts,train,17
cornell,7,,20260426,random_stratified_matching_fixed_split0_class_counts,train,76
cornell,7,,20260426,random_stratified_matching_fixed_split0_class_counts,train,38
cornell,7,,20260426,random_stratified_matching_fixed_split0_class_counts,train,137
cornell,7,,20260426,random_stratified_matching_fixed_split0_class_counts,train,80
cornell,7,,20260426,random_stratified_matching_fixed_split0_class_counts,train,96
cornell,7,,20260426,random_stratified_matching_fixed_split0_class_counts,train,77
cornell,7,,20260426,random_stratified_matching_fixed_split0_class_counts,train,32
cornell,7,,20260426,random_stratified_matching_fixed_split0_class_counts,train,72
cornell,7,,20260426,random_stratified_matching_fixed_split0_class_counts,train,60
cornell,7,,20260426,random_stratified_matching_fixed_split0_class_counts,train,181
cornell,7,,20260426,random_stratified_matching_fixed_split0_class_counts,train,162
cornell,7,,20260426,random_stratified_matching_fixed_split0_class_counts,train,82
cornell,7,,20260426,random_stratified_matching_fixed_split0_class_counts,train,111
cornell,7,,20260426,random_stratified_matching_fixed_split0_class_counts,train,114
cornell,7,,20260426,random_stratified_matching_fixed_split0_class_counts,train,182
cornell,7,,20260426,random_stratified_matching_fixed_split0_class_counts,train,8
cornell,7,,20260426,random_stratified_matching_fixed_split0_class_counts,train,53
cornell,7,,20260426,random_stratified_matching_fixed_split0_class_counts,train,153
cornell,7,,20260426,random_stratified_matching_fixed_split0_class_counts,train,95
cornell,7,,20260426,random_stratified_matching_fixed_split0_class_counts,train,37
cornell,7,,20260426,random_stratified_matching_fixed_split0_class_counts,train,36
cornell,7,,20260426,random_stratified_matching_fixed_split0_class_counts,train,121
cornell,7,,20260426,random_stratified_matching_fixed_split0_class_counts,train,180
