top_k,dim,energy,alphas,w,feature_variant,alphas_json,train_acc,val_acc,val_bal_acc,objective,num_selected_features,candidate_note,dataset,repeat,split,split_id,split_seed,split_policy,ablation
4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,no_p3,"[0.01, 0.1, 1.0]",1.0,0.8620689655172413,0.7514592933947774,0.8620689655172413,4000,test_not_evaluated_for_candidates,texas,1,1,,20260420,random_stratified_matching_fixed_split0_class_counts,no_p3
4000,64,0.95,"(0.01, 0.1, 1.0)",0.5,no_p3,"[0.01, 0.1, 1.0]",1.0,0.8620689655172413,0.7514592933947774,0.8620689655172413,4000,test_not_evaluated_for_candidates,texas,1,1,,20260420,random_stratified_matching_fixed_split0_class_counts,no_p3
4000,64,0.95,"(0.01, 0.1, 1.0)",0.6,no_p3,"[0.01, 0.1, 1.0]",1.0,0.8620689655172413,0.7514592933947774,0.8620689655172413,4000,test_not_evaluated_for_candidates,texas,1,1,,20260420,random_stratified_matching_fixed_split0_class_counts,no_p3
4000,64,0.95,"(0.05, 0.5, 5.0)",0.4,no_p3,"[0.05, 0.5, 5.0]",1.0,0.8448275862068966,0.7014592933947773,0.8448275862068966,4000,test_not_evaluated_for_candidates,texas,1,1,,20260420,random_stratified_matching_fixed_split0_class_counts,no_p3
4000,64,0.95,"(0.05, 0.5, 5.0)",0.5,no_p3,"[0.05, 0.5, 5.0]",1.0,0.8448275862068966,0.7014592933947773,0.8448275862068966,4000,test_not_evaluated_for_candidates,texas,1,1,,20260420,random_stratified_matching_fixed_split0_class_counts,no_p3
4000,64,0.95,"(0.05, 0.5, 5.0)",0.6,no_p3,"[0.05, 0.5, 5.0]",1.0,0.8448275862068966,0.7014592933947773,0.8448275862068966,4000,test_not_evaluated_for_candidates,texas,1,1,,20260420,random_stratified_matching_fixed_split0_class_counts,no_p3
4000,64,0.99,"(0.01, 0.1, 1.0)",0.4,no_p3,"[0.01, 0.1, 1.0]",1.0,0.8620689655172413,0.7514592933947774,0.8620689655172413,4000,test_not_evaluated_for_candidates,texas,1,1,,20260420,random_stratified_matching_fixed_split0_class_counts,no_p3
4000,64,0.99,"(0.01, 0.1, 1.0)",0.5,no_p3,"[0.01, 0.1, 1.0]",1.0,0.8620689655172413,0.7514592933947774,0.8620689655172413,4000,test_not_evaluated_for_candidates,texas,1,1,,20260420,random_stratified_matching_fixed_split0_class_counts,no_p3
4000,64,0.99,"(0.01, 0.1, 1.0)",0.6,no_p3,"[0.01, 0.1, 1.0]",1.0,0.8620689655172413,0.7514592933947774,0.8620689655172413,4000,test_not_evaluated_for_candidates,texas,1,1,,20260420,random_stratified_matching_fixed_split0_class_counts,no_p3
4000,64,0.99,"(0.05, 0.5, 5.0)",0.4,no_p3,"[0.05, 0.5, 5.0]",1.0,0.8448275862068966,0.7014592933947773,0.8448275862068966,4000,test_not_evaluated_for_candidates,texas,1,1,,20260420,random_stratified_matching_fixed_split0_class_counts,no_p3
4000,64,0.99,"(0.05, 0.5, 5.0)",0.5,no_p3,"[0.05, 0.5, 5.0]",1.0,0.8448275862068966,0.7014592933947773,0.8448275862068966,4000,test_not_evaluated_for_candidates,texas,1,1,,20260420,random_stratified_matching_fixed_split0_class_counts,no_p3
4000,64,0.99,"(0.05, 0.5, 5.0)",0.6,no_p3,"[0.05, 0.5, 5.0]",1.0,0.8275862068965517,0.6847926267281106,0.8275862068965517,4000,test_not_evaluated_for_candidates,texas,1,1,,20260420,random_stratified_matching_fixed_split0_class_counts,no_p3
4000,96,0.95,"(0.01, 0.1, 1.0)",0.4,no_p3,"[0.01, 0.1, 1.0]",1.0,0.8620689655172413,0.7514592933947774,0.8620689655172413,4000,test_not_evaluated_for_candidates,texas,1,1,,20260420,random_stratified_matching_fixed_split0_class_counts,no_p3
4000,96,0.95,"(0.01, 0.1, 1.0)",0.5,no_p3,"[0.01, 0.1, 1.0]",1.0,0.8620689655172413,0.7514592933947774,0.8620689655172413,4000,test_not_evaluated_for_candidates,texas,1,1,,20260420,random_stratified_matching_fixed_split0_class_counts,no_p3
4000,96,0.95,"(0.01, 0.1, 1.0)",0.6,no_p3,"[0.01, 0.1, 1.0]",1.0,0.8620689655172413,0.7514592933947774,0.8620689655172413,4000,test_not_evaluated_for_candidates,texas,1,1,,20260420,random_stratified_matching_fixed_split0_class_counts,no_p3
4000,96,0.95,"(0.05, 0.5, 5.0)",0.4,no_p3,"[0.05, 0.5, 5.0]",1.0,0.8448275862068966,0.7014592933947773,0.8448275862068966,4000,test_not_evaluated_for_candidates,texas,1,1,,20260420,random_stratified_matching_fixed_split0_class_counts,no_p3
4000,96,0.95,"(0.05, 0.5, 5.0)",0.5,no_p3,"[0.05, 0.5, 5.0]",1.0,0.8448275862068966,0.7014592933947773,0.8448275862068966,4000,test_not_evaluated_for_candidates,texas,1,1,,20260420,random_stratified_matching_fixed_split0_class_counts,no_p3
4000,96,0.95,"(0.05, 0.5, 5.0)",0.6,no_p3,"[0.05, 0.5, 5.0]",1.0,0.8448275862068966,0.7014592933947773,0.8448275862068966,4000,test_not_evaluated_for_candidates,texas,1,1,,20260420,random_stratified_matching_fixed_split0_class_counts,no_p3
4000,96,0.99,"(0.01, 0.1, 1.0)",0.4,no_p3,"[0.01, 0.1, 1.0]",1.0,0.8620689655172413,0.7514592933947774,0.8620689655172413,4000,test_not_evaluated_for_candidates,texas,1,1,,20260420,random_stratified_matching_fixed_split0_class_counts,no_p3
4000,96,0.99,"(0.01, 0.1, 1.0)",0.5,no_p3,"[0.01, 0.1, 1.0]",1.0,0.8620689655172413,0.7514592933947774,0.8620689655172413,4000,test_not_evaluated_for_candidates,texas,1,1,,20260420,random_stratified_matching_fixed_split0_class_counts,no_p3
4000,96,0.99,"(0.01, 0.1, 1.0)",0.6,no_p3,"[0.01, 0.1, 1.0]",1.0,0.8620689655172413,0.7514592933947774,0.8620689655172413,4000,test_not_evaluated_for_candidates,texas,1,1,,20260420,random_stratified_matching_fixed_split0_class_counts,no_p3
4000,96,0.99,"(0.05, 0.5, 5.0)",0.4,no_p3,"[0.05, 0.5, 5.0]",1.0,0.8448275862068966,0.7014592933947773,0.8448275862068966,4000,test_not_evaluated_for_candidates,texas,1,1,,20260420,random_stratified_matching_fixed_split0_class_counts,no_p3
4000,96,0.99,"(0.05, 0.5, 5.0)",0.5,no_p3,"[0.05, 0.5, 5.0]",1.0,0.8448275862068966,0.7014592933947773,0.8448275862068966,4000,test_not_evaluated_for_candidates,texas,1,1,,20260420,random_stratified_matching_fixed_split0_class_counts,no_p3
4000,96,0.99,"(0.05, 0.5, 5.0)",0.6,no_p3,"[0.05, 0.5, 5.0]",1.0,0.8275862068965517,0.6847926267281106,0.8275862068965517,4000,test_not_evaluated_for_candidates,texas,1,1,,20260420,random_stratified_matching_fixed_split0_class_counts,no_p3
6000,64,0.95,"(0.01, 0.1, 1.0)",0.4,no_p3,"[0.01, 0.1, 1.0]",1.0,0.8793103448275862,0.8014592933947773,0.8793103448275862,6000,test_not_evaluated_for_candidates,texas,1,1,,20260420,random_stratified_matching_fixed_split0_class_counts,no_p3
6000,64,0.95,"(0.01, 0.1, 1.0)",0.5,no_p3,"[0.01, 0.1, 1.0]",1.0,0.8620689655172413,0.7514592933947774,0.8620689655172413,6000,test_not_evaluated_for_candidates,texas,1,1,,20260420,random_stratified_matching_fixed_split0_class_counts,no_p3
