dataset,ablation,n,train_mean,train_std,val_mean,val_std,test_mean,test_std,train_size,val_size,test_size,split_policy,train_mean_%,train_std_%,val_mean_%,val_std_%,test_mean_%,test_std_%
texas,fixed_dim64_energy095,1,1.0,,0.8275862068965517,,0.7894736842105263,,87,58,38,random_stratified_matching_fixed_split0_class_counts,100.0,,82.75862068965517,,78.94736842105263,
texas,no_highpass,1,1.0,,0.8103448275862069,,0.7631578947368421,,87,58,38,random_stratified_matching_fixed_split0_class_counts,100.0,,81.03448275862068,,76.31578947368422,
texas,no_p3,1,1.0,,0.8275862068965517,,0.7894736842105263,,87,58,38,random_stratified_matching_fixed_split0_class_counts,100.0,,82.75862068965517,,78.94736842105263,
texas,no_sym,1,1.0,,0.8448275862068966,,0.7894736842105263,,87,58,38,random_stratified_matching_fixed_split0_class_counts,100.0,,84.48275862068965,,78.94736842105263,
texas,pca_only,1,1.0,,0.7413793103448276,,0.6842105263157895,,87,58,38,random_stratified_matching_fixed_split0_class_counts,100.0,,74.13793103448276,,68.42105263157895,
texas,raw_only,1,1.0,,0.8103448275862069,,0.8157894736842105,,87,58,38,random_stratified_matching_fixed_split0_class_counts,100.0,,81.03448275862068,,81.57894736842105,
texas,ridge_only,1,1.0,,0.8448275862068966,,0.7894736842105263,,87,58,38,random_stratified_matching_fixed_split0_class_counts,100.0,,84.48275862068965,,78.94736842105263,
texas,row_lowpass_only,1,1.0,,0.8275862068965517,,0.7631578947368421,,87,58,38,random_stratified_matching_fixed_split0_class_counts,100.0,,82.75862068965517,,76.31578947368422,
texas,single_alpha,1,1.0,,0.8275862068965517,,0.7631578947368421,,87,58,38,random_stratified_matching_fixed_split0_class_counts,100.0,,82.75862068965517,,76.31578947368422,

