experiment,dataset,repeat,split,split_id,split_seed,split_policy,ablation,method,train_size,val_size,test_size,top_k,dim,energy,alphas,w,feature_variant,alphas_json,train_acc,val_acc,val_bal_acc,num_features_after_variant,test_acc,pca_dims_json,retained_variance_json,time_sec,selection_rule
E05,texas,6,6,,20260425,random_stratified_matching_fixed_split0_class_counts,no_p3,src_v16c_ablation,87,58,38,4000,64,0.99,"(0.01, 0.1, 1.0)",0.6,no_p3,"[0.01, 0.1, 1.0]",1.0,0.8448275862068966,0.7681259600614438,13624,0.868421052631579,"{""0"": 13, ""2"": 6, ""3"": 41, ""4"": 19}","{""0"": 1.0, ""2"": 1.0, ""3"": 0.9914882029981321, ""4"": 1.0}",19.10476597899833,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,texas,6,6,,20260425,random_stratified_matching_fixed_split0_class_counts,no_sym,src_v16c_ablation,87,58,38,4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,no_sym,"[0.01, 0.1, 1.0]",1.0,0.8275862068965517,0.7410138248847926,10218,0.868421052631579,"{""0"": 12, ""2"": 6, ""3"": 32, ""4"": 16}","{""0"": 0.9821197613012477, ""2"": 1.0, ""3"": 0.9526322866927289, ""4"": 0.9597076284049522}",12.723912965004274,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,texas,6,6,,20260425,random_stratified_matching_fixed_split0_class_counts,no_highpass,src_v16c_ablation,87,58,38,4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,no_highpass,"[0.01, 0.1, 1.0]",1.0,0.8103448275862069,0.6824116743471582,10218,0.8157894736842105,"{""0"": 12, ""2"": 6, ""3"": 29, ""4"": 16}","{""0"": 0.9842474606219306, ""2"": 1.0, ""3"": 0.9558226783606766, ""4"": 0.9609929797069423}",13.424868721995153,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,texas,6,6,,20260425,random_stratified_matching_fixed_split0_class_counts,pca_only,src_v16c_ablation,87,58,38,4000,64,0.99,"(0.01, 0.1, 1.0)",1.0,full,"[0.01, 0.1, 1.0]",1.0,0.7758620689655172,0.6023809523809524,15327,0.7631578947368421,"{""0"": 13, ""2"": 6, ""3"": 40, ""4"": 18}","{""0"": 1.0, ""2"": 1.0, ""3"": 0.9913199304582943, ""4"": 0.990301714571197}",3.8166301129967906,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,texas,6,6,,20260425,random_stratified_matching_fixed_split0_class_counts,ridge_only,src_v16c_ablation,87,58,38,4000,64,0.95,"(0.01, 0.1, 1.0)",0.0,full,"[0.01, 0.1, 1.0]",1.0,0.8620689655172413,0.7847926267281107,15327,0.8947368421052632,"{""0"": 12, ""2"": 6, ""3"": 31, ""4"": 16}","{""0"": 0.9831354646812317, ""2"": 1.0, ""3"": 0.9512500403288195, ""4"": 0.9671553640420913}",4.785671215999173,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,texas,6,6,,20260425,random_stratified_matching_fixed_split0_class_counts,single_alpha,src_v16c_ablation,87,58,38,4000,64,0.95,"(1.0,)",0.4,full,[1.0],0.9885057471264368,0.8275862068965517,0.7600614439324116,15327,0.8421052631578947,"{""0"": 12, ""2"": 6, ""3"": 31, ""4"": 16}","{""0"": 0.9831354646812317, ""2"": 1.0, ""3"": 0.9512500403288195, ""4"": 0.9671553640420913}",6.987914580000506,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,texas,6,6,,20260425,random_stratified_matching_fixed_split0_class_counts,fixed_dim64_energy095,src_v16c_ablation,87,58,38,4000,64,0.95,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",1.0,0.8620689655172413,0.7761904761904761,15327,0.8947368421052632,"{""0"": 12, ""2"": 6, ""3"": 31, ""4"": 16}","{""0"": 0.9831354646812317, ""2"": 1.0, ""3"": 0.9512500403288195, ""4"": 0.9671553640420913}",4.0075457409984665,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,texas,6,6,,20260425,random_stratified_matching_fixed_split0_class_counts,raw_only,src_v16c_ablation,87,58,38,4000,64,0.95,"(0.05, 0.5, 5.0)",0.4,raw_only,"[0.05, 0.5, 5.0]",1.0,0.8620689655172413,0.6857142857142857,1703,0.8421052631578947,"{""0"": 12, ""2"": 6, ""3"": 39, ""4"": 18}","{""0"": 0.9739533678248526, ""2"": 1.0, ""3"": 0.9509425294065288, ""4"": 0.9689715389126871}",5.113907698003459,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,texas,6,6,,20260425,random_stratified_matching_fixed_split0_class_counts,row_lowpass_only,src_v16c_ablation,87,58,38,6000,64,0.95,"(0.01, 0.1, 1.0)",0.4,row_lowpass_only,"[0.01, 0.1, 1.0]",1.0,0.8620689655172413,0.7990783410138249,6812,0.8421052631578947,"{""0"": 12, ""2"": 6, ""3"": 36, ""4"": 17}","{""0"": 0.9797798040145405, ""2"": 1.0, ""3"": 0.9533184025872355, ""4"": 0.960187988551054}",12.813734519004356,ablation_grid_selected_by_val_only_test_once_after_selection_no_full

