experiment,dataset,repeat,split,split_id,split_seed,split_policy,ablation,method,train_size,val_size,test_size,top_k,dim,energy,alphas,w,feature_variant,alphas_json,train_acc,val_acc,val_bal_acc,num_features_after_variant,test_acc,pca_dims_json,retained_variance_json,time_sec,selection_rule
E05,texas,7,7,,20260426,random_stratified_matching_fixed_split0_class_counts,no_p3,src_v16c_ablation,87,58,38,4000,64,0.99,"(0.01, 0.1, 1.0)",0.4,no_p3,"[0.01, 0.1, 1.0]",1.0,0.8793103448275862,0.8071428571428572,13624,0.7894736842105263,"{""0"": 13, ""2"": 6, ""3"": 41, ""4"": 19}","{""0"": 1.0, ""2"": 1.0, ""3"": 0.9927580457665107, ""4"": 1.0}",16.87228718100232,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,texas,7,7,,20260426,random_stratified_matching_fixed_split0_class_counts,no_sym,src_v16c_ablation,87,58,38,6000,64,0.95,"(0.01, 0.1, 1.0)",0.4,no_sym,"[0.01, 0.1, 1.0]",1.0,0.8793103448275862,0.7738095238095237,10218,0.8157894736842105,"{""0"": 12, ""2"": 6, ""3"": 34, ""4"": 17}","{""0"": 0.9674708648211201, ""2"": 1.0, ""3"": 0.9536985882479334, ""4"": 0.9685713417512763}",14.928945204999764,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,texas,7,7,,20260426,random_stratified_matching_fixed_split0_class_counts,no_highpass,src_v16c_ablation,87,58,38,4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,no_highpass,"[0.01, 0.1, 1.0]",1.0,0.8448275862068966,0.7595238095238095,10218,0.7894736842105263,"{""0"": 12, ""2"": 6, ""3"": 30, ""4"": 16}","{""0"": 0.9785434352277715, ""2"": 1.0, ""3"": 0.9526884710724031, ""4"": 0.9615888029721775}",12.167411205999088,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,texas,7,7,,20260426,random_stratified_matching_fixed_split0_class_counts,pca_only,src_v16c_ablation,87,58,38,6000,64,0.95,"(0.01, 0.1, 1.0)",1.0,full,"[0.01, 0.1, 1.0]",1.0,0.7241379310344828,0.5943164362519202,15327,0.7368421052631579,"{""0"": 12, ""2"": 6, ""3"": 34, ""4"": 16}","{""0"": 0.9688003565056651, ""2"": 1.0, ""3"": 0.9545267074568881, ""4"": 0.9560180173977257}",5.200806617001945,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,texas,7,7,,20260426,random_stratified_matching_fixed_split0_class_counts,ridge_only,src_v16c_ablation,87,58,38,4000,64,0.95,"(0.01, 0.1, 1.0)",0.0,full,"[0.01, 0.1, 1.0]",1.0,0.896551724137931,0.8238095238095238,15327,0.8421052631578947,"{""0"": 12, ""2"": 6, ""3"": 31, ""4"": 15}","{""0"": 0.9742859113537038, ""2"": 1.0, ""3"": 0.9504465591932281, ""4"": 0.9503002092953735}",5.4172265750021324,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,texas,7,7,,20260426,random_stratified_matching_fixed_split0_class_counts,single_alpha,src_v16c_ablation,87,58,38,4000,64,0.95,"(1.0,)",0.4,full,[1.0],1.0,0.8448275862068966,0.7404761904761905,15327,0.8157894736842105,"{""0"": 12, ""2"": 6, ""3"": 31, ""4"": 15}","{""0"": 0.9742859113537038, ""2"": 1.0, ""3"": 0.9504465591932281, ""4"": 0.9503002092953735}",7.57929718199739,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,texas,7,7,,20260426,random_stratified_matching_fixed_split0_class_counts,fixed_dim64_energy095,src_v16c_ablation,87,58,38,4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.8620689655172413,0.7904761904761904,15327,0.7894736842105263,"{""0"": 12, ""2"": 6, ""3"": 31, ""4"": 15}","{""0"": 0.9742859113537038, ""2"": 1.0, ""3"": 0.9504465591932281, ""4"": 0.9503002092953735}",3.9239691360053257,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,texas,7,7,,20260426,random_stratified_matching_fixed_split0_class_counts,raw_only,src_v16c_ablation,87,58,38,4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,raw_only,"[0.01, 0.1, 1.0]",1.0,0.8793103448275862,0.769047619047619,1703,0.8157894736842105,"{""0"": 12, ""2"": 6, ""3"": 39, ""4"": 18}","{""0"": 0.9595951950538976, ""2"": 1.0, ""3"": 0.9528376312748769, ""4"": 0.97122255667922}",5.3911473770058365,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,texas,7,7,,20260426,random_stratified_matching_fixed_split0_class_counts,row_lowpass_only,src_v16c_ablation,87,58,38,6000,64,0.95,"(0.01, 0.1, 1.0)",0.4,row_lowpass_only,"[0.01, 0.1, 1.0]",1.0,0.896551724137931,0.8095238095238095,6812,0.7631578947368421,"{""0"": 12, ""2"": 6, ""3"": 36, ""4"": 17}","{""0"": 0.9729373792926564, ""2"": 1.0, ""3"": 0.9509048658178539, ""4"": 0.9594139099173352}",13.585424465003598,ablation_grid_selected_by_val_only_test_once_after_selection_no_full

