experiment,dataset,repeat,split,split_id,split_seed,split_policy,ablation,method,train_size,val_size,test_size,top_k,dim,energy,alphas,w,feature_variant,alphas_json,train_acc,val_acc,val_bal_acc,num_features_after_variant,test_acc,pca_dims_json,retained_variance_json,time_sec,selection_rule
E05,wisconsin,3,3,,20260422,random_stratified_matching_fixed_split0_class_counts,no_p3,src_v16c_ablation,120,80,51,4000,64,0.95,"(0.01, 0.1, 1.0)",0.6,no_p3,"[0.01, 0.1, 1.0]",1.0,0.85,0.66595818815331,13624,0.8823529411764706,"{""0"": 3, ""1"": 29, ""2"": 35, ""3"": 15, ""4"": 9}","{""0"": 1.0, ""1"": 0.9560863427166557, ""2"": 0.9506037351399987, ""3"": 0.9779892518511368, ""4"": 0.956097359985922}",27.288129151995236,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,wisconsin,3,3,,20260422,random_stratified_matching_fixed_split0_class_counts,no_sym,src_v16c_ablation,120,80,51,6000,64,0.95,"(0.01, 0.1, 1.0)",0.6,no_sym,"[0.01, 0.1, 1.0]",1.0,0.8375,0.6610801393728224,10218,0.8431372549019608,"{""0"": 3, ""1"": 29, ""2"": 36, ""3"": 15, ""4"": 9}","{""0"": 1.0, ""1"": 0.9540336110469089, ""2"": 0.9539373023390043, ""3"": 0.9740033084873567, ""4"": 0.9539205262413377}",20.609207718996913,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,wisconsin,3,3,,20260422,random_stratified_matching_fixed_split0_class_counts,no_highpass,src_v16c_ablation,120,80,51,4000,64,0.95,"(0.01, 0.1, 1.0)",0.5,no_highpass,"[0.01, 0.1, 1.0]",1.0,0.825,0.6088153310104529,10218,0.8235294117647058,"{""0"": 3, ""1"": 28, ""2"": 34, ""3"": 14, ""4"": 9}","{""0"": 1.0, ""1"": 0.9581437415049348, ""2"": 0.9536420294272632, ""3"": 0.9550169520960176, ""4"": 0.9650722373236423}",20.588122370005294,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,wisconsin,3,3,,20260422,random_stratified_matching_fixed_split0_class_counts,pca_only,src_v16c_ablation,120,80,51,4000,64,0.95,"(0.01, 0.1, 1.0)",1.0,full,"[0.01, 0.1, 1.0]",1.0,0.7875,0.5653658536585365,15327,0.7843137254901961,"{""0"": 3, ""1"": 28, ""2"": 35, ""3"": 15, ""4"": 9}","{""0"": 1.0, ""1"": 0.9511036292150779, ""2"": 0.9551385198517849, ""3"": 0.9797246663180327, ""4"": 0.9582444208933907}",6.78005119899899,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,wisconsin,3,3,,20260422,random_stratified_matching_fixed_split0_class_counts,ridge_only,src_v16c_ablation,120,80,51,4000,64,0.95,"(0.01, 0.1, 1.0)",0.0,full,"[0.01, 0.1, 1.0]",1.0,0.825,0.6325087108013937,15327,0.8431372549019608,"{""0"": 3, ""1"": 28, ""2"": 35, ""3"": 15, ""4"": 9}","{""0"": 1.0, ""1"": 0.9511036292150779, ""2"": 0.9551385198517849, ""3"": 0.9797246663180327, ""4"": 0.9582444208933907}",6.506741718003468,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,wisconsin,3,3,,20260422,random_stratified_matching_fixed_split0_class_counts,single_alpha,src_v16c_ablation,120,80,51,4000,64,0.95,"(1.0,)",0.4,full,[1.0],1.0,0.85,0.6422648083623692,15327,0.8431372549019608,"{""0"": 3, ""1"": 28, ""2"": 35, ""3"": 15, ""4"": 9}","{""0"": 1.0, ""1"": 0.9511036292150779, ""2"": 0.9551385198517849, ""3"": 0.9797246663180327, ""4"": 0.9582444208933907}",12.08166741799505,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,wisconsin,3,3,,20260422,random_stratified_matching_fixed_split0_class_counts,fixed_dim64_energy095,src_v16c_ablation,120,80,51,4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.85,0.66595818815331,15327,0.8823529411764706,"{""0"": 3, ""1"": 28, ""2"": 35, ""3"": 15, ""4"": 9}","{""0"": 1.0, ""1"": 0.9511036292150779, ""2"": 0.9551385198517849, ""3"": 0.9797246663180327, ""4"": 0.9582444208933907}",6.093541417001688,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,wisconsin,3,3,,20260422,random_stratified_matching_fixed_split0_class_counts,raw_only,src_v16c_ablation,120,80,51,4000,64,0.95,"(0.05, 0.5, 5.0)",0.4,raw_only,"[0.05, 0.5, 5.0]",1.0,0.8625,0.6522648083623693,1703,0.8627450980392157,"{""0"": 3, ""1"": 31, ""2"": 43, ""3"": 15, ""4"": 10}","{""0"": 1.0, ""1"": 0.9541593253537339, ""2"": 0.9588409081312383, ""3"": 0.9662431145939757, ""4"": 1.0}",7.49422782700276,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,wisconsin,3,3,,20260422,random_stratified_matching_fixed_split0_class_counts,row_lowpass_only,src_v16c_ablation,120,80,51,4000,64,0.95,"(0.01, 0.1, 1.0)",0.5,row_lowpass_only,"[0.01, 0.1, 1.0]",1.0,0.8125,0.5802439024390244,6812,0.8823529411764706,"{""0"": 3, ""1"": 29, ""2"": 37, ""3"": 14, ""4"": 9}","{""0"": 1.0, ""1"": 0.9561133307015681, ""2"": 0.950987112483129, ""3"": 0.9549924630910398, ""4"": 0.9573929169625423}",19.305904933004058,ablation_grid_selected_by_val_only_test_once_after_selection_no_full

