experiment,dataset,repeat,split,split_id,split_seed,split_policy,ablation,method,train_size,val_size,test_size,top_k,dim,energy,alphas,w,feature_variant,alphas_json,train_acc,val_acc,val_bal_acc,num_features_after_variant,test_acc,pca_dims_json,retained_variance_json,time_sec,selection_rule
E05,wisconsin,7,7,,20260426,random_stratified_matching_fixed_split0_class_counts,no_p3,src_v16c_ablation,120,80,51,4000,64,0.95,"(0.05, 0.5, 5.0)",0.6,no_p3,"[0.05, 0.5, 5.0]",1.0,0.825,0.6325087108013937,13624,0.8627450980392157,"{""0"": 3, ""1"": 29, ""2"": 37, ""3"": 15, ""4"": 10}","{""0"": 1.0, ""1"": 0.9560695894840967, ""2"": 0.9528773980886899, ""3"": 0.968675747988945, ""4"": 1.0}",23.70010522499797,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,wisconsin,7,7,,20260426,random_stratified_matching_fixed_split0_class_counts,no_sym,src_v16c_ablation,120,80,51,4000,64,0.95,"(0.05, 0.5, 5.0)",0.5,no_sym,"[0.05, 0.5, 5.0]",1.0,0.825,0.6325087108013937,10218,0.8235294117647058,"{""0"": 3, ""1"": 29, ""2"": 36, ""3"": 15, ""4"": 10}","{""0"": 1.0, ""1"": 0.9587786288531367, ""2"": 0.9502914441672962, ""3"": 0.9734769631000628, ""4"": 1.0}",19.00283559899981,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,wisconsin,7,7,,20260426,random_stratified_matching_fixed_split0_class_counts,no_highpass,src_v16c_ablation,120,80,51,4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,no_highpass,"[0.01, 0.1, 1.0]",1.0,0.8375,0.6847735191637631,10218,0.7647058823529411,"{""0"": 3, ""1"": 28, ""2"": 35, ""3"": 14, ""4"": 9}","{""0"": 1.0, ""1"": 0.9565330490029486, ""2"": 0.9516267749506813, ""3"": 0.9502126766140407, ""4"": 0.9550503796210229}",20.51653074799833,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,wisconsin,7,7,,20260426,random_stratified_matching_fixed_split0_class_counts,pca_only,src_v16c_ablation,120,80,51,4000,64,0.95,"(0.01, 0.1, 1.0)",1.0,full,"[0.01, 0.1, 1.0]",1.0,0.7625,0.5267944250871079,15327,0.8235294117647058,"{""0"": 3, ""1"": 28, ""2"": 36, ""3"": 15, ""4"": 9}","{""0"": 1.0, ""1"": 0.9504346140053505, ""2"": 0.9510844443333015, ""3"": 0.9705045609469064, ""4"": 0.9505437444994809}",6.122113115998218,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,wisconsin,7,7,,20260426,random_stratified_matching_fixed_split0_class_counts,ridge_only,src_v16c_ablation,120,80,51,4000,64,0.95,"(0.01, 0.1, 1.0)",0.0,full,"[0.01, 0.1, 1.0]",1.0,0.8375,0.6847735191637631,15327,0.7843137254901961,"{""0"": 3, ""1"": 28, ""2"": 36, ""3"": 15, ""4"": 9}","{""0"": 1.0, ""1"": 0.9504346140053505, ""2"": 0.9510844443333015, ""3"": 0.9705045609469064, ""4"": 0.9505437444994809}",7.178339214005973,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,wisconsin,7,7,,20260426,random_stratified_matching_fixed_split0_class_counts,single_alpha,src_v16c_ablation,120,80,51,4000,64,0.99,"(1.0,)",0.4,full,[1.0],1.0,0.825,0.6325087108013937,15327,0.8431372549019608,"{""0"": 3, ""1"": 34, ""2"": 45, ""3"": 16, ""4"": 10}","{""0"": 1.0, ""1"": 0.9948800501097226, ""2"": 0.9914771532470057, ""3"": 1.0, ""4"": 1.0}",10.806602012999065,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,wisconsin,7,7,,20260426,random_stratified_matching_fixed_split0_class_counts,fixed_dim64_energy095,src_v16c_ablation,120,80,51,4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.8375,0.6847735191637631,15327,0.7843137254901961,"{""0"": 3, ""1"": 28, ""2"": 36, ""3"": 15, ""4"": 9}","{""0"": 1.0, ""1"": 0.9504346140053505, ""2"": 0.9510844443333015, ""3"": 0.9705045609469064, ""4"": 0.9505437444994809}",5.611927498997829,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,wisconsin,7,7,,20260426,random_stratified_matching_fixed_split0_class_counts,raw_only,src_v16c_ablation,120,80,51,4000,64,0.95,"(0.01, 0.1, 1.0)",0.5,raw_only,"[0.01, 0.1, 1.0]",1.0,0.8625,0.6708362369337978,1703,0.8627450980392157,"{""0"": 3, ""1"": 30, ""2"": 43, ""3"": 15, ""4"": 10}","{""0"": 1.0, ""1"": 0.9613993136448012, ""2"": 0.9576471512718688, ""3"": 0.9665728704190202, ""4"": 1.0}",6.700549747998593,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,wisconsin,7,7,,20260426,random_stratified_matching_fixed_split0_class_counts,row_lowpass_only,src_v16c_ablation,120,80,51,4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,row_lowpass_only,"[0.01, 0.1, 1.0]",1.0,0.825,0.674773519163763,6812,0.7647058823529411,"{""0"": 3, ""1"": 28, ""2"": 39, ""3"": 14, ""4"": 10}","{""0"": 1.0, ""1"": 0.9533254773781272, ""2"": 0.9557263077057492, ""3"": 0.9502826361756829, ""4"": 1.0}",17.788687489999575,ablation_grid_selected_by_val_only_test_once_after_selection_no_full

