dataset,ablation,n,train_mean,train_std,val_mean,val_std,test_mean,test_std,train_size,val_size,test_size,split_policy,train_mean_%,train_std_%,val_mean_%,val_std_%,test_mean_%,test_std_%
wisconsin,fixed_dim64_energy095,1,1.0,,0.85,,0.8431372549019608,,120,80,51,random_stratified_matching_fixed_split0_class_counts,100.0,,85.0,,84.31372549019608,
wisconsin,no_highpass,1,1.0,,0.8125,,0.7647058823529411,,120,80,51,random_stratified_matching_fixed_split0_class_counts,100.0,,81.25,,76.47058823529412,
wisconsin,no_p3,1,1.0,,0.85,,0.8431372549019608,,120,80,51,random_stratified_matching_fixed_split0_class_counts,100.0,,85.0,,84.31372549019608,
wisconsin,no_sym,1,1.0,,0.8375,,0.8235294117647058,,120,80,51,random_stratified_matching_fixed_split0_class_counts,100.0,,83.75,,82.35294117647058,
wisconsin,pca_only,1,1.0,,0.775,,0.7058823529411765,,120,80,51,random_stratified_matching_fixed_split0_class_counts,100.0,,77.5,,70.58823529411765,
wisconsin,raw_only,1,1.0,,0.8375,,0.8431372549019608,,120,80,51,random_stratified_matching_fixed_split0_class_counts,100.0,,83.75,,84.31372549019608,
wisconsin,ridge_only,1,1.0,,0.85,,0.8235294117647058,,120,80,51,random_stratified_matching_fixed_split0_class_counts,100.0,,85.0,,82.35294117647058,
wisconsin,row_lowpass_only,1,1.0,,0.8375,,0.803921568627451,,120,80,51,random_stratified_matching_fixed_split0_class_counts,100.0,,83.75,,80.3921568627451,
wisconsin,single_alpha,1,1.0,,0.85,,0.8431372549019608,,120,80,51,random_stratified_matching_fixed_split0_class_counts,100.0,,85.0,,84.31372549019608,

