dataset,repeat,split_id,split_seed,split_policy,split_part,node_idx
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,131
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,151
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,138
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,183
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,214
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,116
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,89
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,206
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,243
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,98
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,7
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,127
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,35
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,78
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,167
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,217
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,224
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,208
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,87
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,152
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,6
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,204
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,26
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,200
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,150
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,82
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,249
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,130
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,66
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,222
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,0
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,181
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,245
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,215
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,110
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,149
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,242
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,24
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,128
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,34
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,84
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,148
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,49
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,239
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,177
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,169
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,123
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,190
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,155
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,15
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,12
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,40
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,182
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,68
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,94
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,236
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,43
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,225
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,80
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,31
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,96
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,142
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,90
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,16
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,14
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,17
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,238
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,11
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,45
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,109
wisconsin,9,,20260428,random_stratified_matching_fixed_split0_class_counts,train,86
