dataset,method,n,time_mean,time_std,params_mean,val_mean,test_mean,requires_epoch_training
amazon-computers,appnp,10,208.4961,24.045924346041595,49802.0,0.7150000095367431,0.6756187796592712,True
amazon-computers,correct_smooth,10,75.3398,17.252009601460607,49802.0,0.8473333358764649,0.763537585735321,True
amazon-computers,gat,10,216.70149999999998,78.05743649568424,199710.0,0.7476666629314422,0.6972985208034516,True
amazon-computers,gcnii,10,404.2063,177.56389586415239,82570.0,0.33233333081007005,0.2730304859578609,True
amazon-computers,graphsage,10,142.98,35.68225135834341,99530.0,0.8550000011920929,0.7745849609375,True
amazon-computers,linkx,10,22.463,4.013136373904525,942602.0,0.662666666507721,0.48942801356315613,True
amazon-computers,mlp_prop,10,120.94369999999999,20.023868291227956,49802.0,0.7189999878406524,0.6739662051200866,True
amazon-computers,sign,10,28.7365,6.111211250189642,197066.0,0.8366666674613953,0.7481210410594941,True
amazon-photo,appnp,10,96.94269999999999,15.936335568268019,48264.0,0.8370833456516266,0.8300689578056335,True
amazon-photo,correct_smooth,10,45.950599999999994,17.63857902565976,48264.0,0.899999988079071,0.8624413788318634,True
amazon-photo,gat,10,120.6087,47.0973931881821,193560.0,0.8666666746139526,0.8463310301303864,True
amazon-photo,gcnii,10,261.7013,62.88450427225031,81032.0,0.6129166692495346,0.5747724145650863,True
amazon-photo,graphsage,10,59.9011,13.050149334607461,96456.0,0.9099999964237213,0.87586207985878,True
amazon-photo,linkx,10,12.0389,2.724012622339821,550536.0,0.7350000023841858,0.6420965492725372,True
amazon-photo,mlp_prop,10,55.83820000000001,10.260772710776818,48264.0,0.8462499916553498,0.8358620762825012,True
amazon-photo,sign,10,13.523500000000002,3.6377184623210064,191304.0,0.8841666638851166,0.8423586249351501,True
chameleon,appnp,10,52.0924,6.360586629129948,149189.0,0.4602194756269455,0.4554824560880661,True
chameleon,correct_smooth,10,8.3361,3.323745659810797,149189.0,0.4894375890493393,0.48179824352264405,True
chameleon,gat,10,57.3941,17.979978398516256,597263.0,0.5898491144180298,0.5846491098403931,True
chameleon,gcnii,10,60.372299999999996,18.36223772401755,181957.0,0.41440328657627107,0.4074561446905136,True
chameleon,graphsage,10,28.119600000000002,5.497417781710489,298309.0,0.6039780497550964,0.6028508841991425,True
chameleon,linkx,10,4.5922,0.8106691063559779,307589.0,0.7255143880844116,0.7124999940395356,True
chameleon,mlp_prop,10,16.9095,2.9915323182461373,149189.0,0.4685871034860611,0.46184211075305937,True
chameleon,sign,10,11.020999999999999,2.5766788270519427,595589.0,0.5694101572036743,0.5686403512954712,True
cornell,appnp,10,0.9188000000000001,0.06358511356179737,109381.0,0.47118644416332245,0.4270270258188248,True
cornell,correct_smooth,10,1.4677,0.3350064841826863,109381.0,0.6084745824337006,0.5594594538211822,True
cornell,gat,10,1.7628,0.35296861679821406,438031.0,0.5101694911718369,0.4432432413101196,True
cornell,gcnii,10,1.6573999999999998,0.059449698625532746,142149.0,0.47118644416332245,0.4270270258188248,True
cornell,graphsage,10,0.9846999999999999,0.26671168370025006,218693.0,0.7474576294422149,0.7027026951313019,True
cornell,linkx,10,0.40170000000000006,0.04855706837205979,133765.0,0.6457627236843109,0.6243243217468262,True
cornell,mlp_prop,10,0.3991,0.016010066277883487,109381.0,0.47118644416332245,0.4270270258188248,True
cornell,sign,10,0.6915,0.11938290404315759,436357.0,0.7203389942646027,0.6783783733844757,True
squirrel,appnp,10,36.9659,20.525448791682976,134085.0,0.20492788702249523,0.20249759703874587,True
squirrel,correct_smooth,10,41.5452,8.236756667523936,134085.0,0.36370192468166346,0.3529298782348632,True
squirrel,gat,10,150.6513,45.28211295141211,536847.0,0.3203124970197678,0.30989433228969576,True
squirrel,gcnii,10,186.2424,74.32406770832117,166853.0,0.2987379759550094,0.29654178619384763,True
squirrel,graphsage,10,252.2837,69.05597988757623,268101.0,0.3935096234083176,0.38655139505863184,True
squirrel,linkx,10,24.4588,7.300427290386653,479621.0,0.6314903736114502,0.6221902012825012,True
squirrel,mlp_prop,10,15.752,0.6819662748259623,134085.0,0.20204327106475825,0.19836695343255994,True
squirrel,sign,10,21.075200000000002,5.140774883225291,535173.0,0.3786658644676208,0.3666666656732559,True
texas,appnp,10,0.8920999999999999,0.0190580983078352,109381.0,0.554237288236618,0.5891891896724701,True
texas,correct_smooth,10,1.4091,0.5523687274919816,109381.0,0.6186440706253051,0.591891884803772,True
texas,gat,10,1.7256,0.6709873653389044,438031.0,0.5813559293746948,0.5783783853054046,True
texas,gcnii,10,1.7198,0.25261688163875523,142149.0,0.554237288236618,0.5891891896724701,True
texas,graphsage,10,0.8028000000000001,0.17569405226131013,218693.0,0.8220339000225068,0.783783781528473,True
texas,linkx,10,0.38370000000000004,0.17968988718221057,133765.0,0.6542372882366181,0.5945945918560028,True
texas,mlp_prop,10,0.4077,0.01610417475204626,109381.0,0.554237288236618,0.5891891896724701,True
texas,sign,10,0.8863,0.2888317657199237,436357.0,0.7864406764507293,0.7243243217468261,True
wisconsin,appnp,10,2.0251,1.4883273572108464,109381.0,0.5037500023841858,0.5196078568696976,True
wisconsin,correct_smooth,10,1.8471,0.3787166780354706,109381.0,0.6787500023841858,0.6705882549285889,True
wisconsin,gat,10,2.8762,0.9023581205806138,438031.0,0.6050000011920929,0.6039215892553329,True
wisconsin,gcnii,10,2.1820999999999997,0.5105066002402798,142149.0,0.47249999940395354,0.48823530972003937,True
wisconsin,graphsage,10,1.3018,0.3634335641565808,218693.0,0.8212499976158142,0.8196078538894653,True
wisconsin,linkx,10,0.4082,0.03187754347150637,138117.0,0.6650000035762786,0.6568627655506134,True
wisconsin,mlp_prop,10,0.7795,0.44512226784708636,109381.0,0.5199999958276749,0.5372549206018448,True
wisconsin,sign,10,0.9267,0.22106160528986787,436357.0,0.7887500047683715,0.7745098173618317,True

