top_k,dim,energy,alphas,w,feature_variant,alphas_json,train_acc,val_acc,test_acc_shadow_not_for_selection,val_bal_acc,objective,num_selected_features,dataset,train_per_class,repeat,method
4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.37333333333333335,0.2973609802073516,0.37333333333333335,0.37333333333333335,4000,chameleon,1,0,src_v16c
4000,64,0.95,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",1.0,0.36666666666666664,0.2992459943449576,0.3666666666666667,0.36666666666666664,4000,chameleon,1,0,src_v16c
4000,64,0.95,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",1.0,0.36666666666666664,0.2983034872761546,0.3666666666666667,0.36666666666666664,4000,chameleon,1,0,src_v16c
4000,64,0.95,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",1.0,0.37333333333333335,0.29688972667295005,0.37333333333333335,0.37333333333333335,4000,chameleon,1,0,src_v16c
4000,64,0.95,"(0.05, 0.5, 5.0)",0.5,full,"[0.05, 0.5, 5.0]",1.0,0.36666666666666664,0.2987747408105561,0.3666666666666667,0.36666666666666664,4000,chameleon,1,0,src_v16c
4000,64,0.95,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",1.0,0.36666666666666664,0.2973609802073516,0.3666666666666667,0.36666666666666664,4000,chameleon,1,0,src_v16c
4000,64,0.99,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.37333333333333335,0.2973609802073516,0.37333333333333335,0.37333333333333335,4000,chameleon,1,0,src_v16c
4000,64,0.99,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",1.0,0.36666666666666664,0.2992459943449576,0.3666666666666667,0.36666666666666664,4000,chameleon,1,0,src_v16c
4000,64,0.99,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",1.0,0.36666666666666664,0.2983034872761546,0.3666666666666667,0.36666666666666664,4000,chameleon,1,0,src_v16c
4000,64,0.99,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",1.0,0.37333333333333335,0.29688972667295005,0.37333333333333335,0.37333333333333335,4000,chameleon,1,0,src_v16c
4000,64,0.99,"(0.05, 0.5, 5.0)",0.5,full,"[0.05, 0.5, 5.0]",1.0,0.36666666666666664,0.2987747408105561,0.3666666666666667,0.36666666666666664,4000,chameleon,1,0,src_v16c
4000,64,0.99,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",1.0,0.36666666666666664,0.2973609802073516,0.3666666666666667,0.36666666666666664,4000,chameleon,1,0,src_v16c
4000,96,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.37333333333333335,0.2973609802073516,0.37333333333333335,0.37333333333333335,4000,chameleon,1,0,src_v16c
4000,96,0.95,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",1.0,0.36666666666666664,0.2992459943449576,0.3666666666666667,0.36666666666666664,4000,chameleon,1,0,src_v16c
4000,96,0.95,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",1.0,0.36666666666666664,0.2983034872761546,0.3666666666666667,0.36666666666666664,4000,chameleon,1,0,src_v16c
4000,96,0.95,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",1.0,0.37333333333333335,0.29688972667295005,0.37333333333333335,0.37333333333333335,4000,chameleon,1,0,src_v16c
4000,96,0.95,"(0.05, 0.5, 5.0)",0.5,full,"[0.05, 0.5, 5.0]",1.0,0.36666666666666664,0.2987747408105561,0.3666666666666667,0.36666666666666664,4000,chameleon,1,0,src_v16c
4000,96,0.95,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",1.0,0.36666666666666664,0.2973609802073516,0.3666666666666667,0.36666666666666664,4000,chameleon,1,0,src_v16c
4000,96,0.99,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.37333333333333335,0.2973609802073516,0.37333333333333335,0.37333333333333335,4000,chameleon,1,0,src_v16c
4000,96,0.99,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",1.0,0.36666666666666664,0.2992459943449576,0.3666666666666667,0.36666666666666664,4000,chameleon,1,0,src_v16c
4000,96,0.99,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",1.0,0.36666666666666664,0.2983034872761546,0.3666666666666667,0.36666666666666664,4000,chameleon,1,0,src_v16c
4000,96,0.99,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",1.0,0.37333333333333335,0.29688972667295005,0.37333333333333335,0.37333333333333335,4000,chameleon,1,0,src_v16c
4000,96,0.99,"(0.05, 0.5, 5.0)",0.5,full,"[0.05, 0.5, 5.0]",1.0,0.36666666666666664,0.2987747408105561,0.3666666666666667,0.36666666666666664,4000,chameleon,1,0,src_v16c
4000,96,0.99,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",1.0,0.36666666666666664,0.2973609802073516,0.3666666666666667,0.36666666666666664,4000,chameleon,1,0,src_v16c
6000,64,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.38,0.2992459943449576,0.38,0.38,6000,chameleon,1,0,src_v16c
6000,64,0.95,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",1.0,0.38,0.2997172478793591,0.38,0.38,6000,chameleon,1,0,src_v16c
6000,64,0.95,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",1.0,0.38,0.29688972667295005,0.38,0.38,6000,chameleon,1,0,src_v16c
6000,64,0.95,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",1.0,0.38,0.2992459943449576,0.38,0.38,6000,chameleon,1,0,src_v16c
6000,64,0.95,"(0.05, 0.5, 5.0)",0.5,full,"[0.05, 0.5, 5.0]",1.0,0.38,0.2992459943449576,0.38,0.38,6000,chameleon,1,0,src_v16c
6000,64,0.95,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",1.0,0.38,0.29688972667295005,0.38,0.38,6000,chameleon,1,0,src_v16c
6000,64,0.99,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.38,0.2992459943449576,0.38,0.38,6000,chameleon,1,0,src_v16c
6000,64,0.99,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",1.0,0.38,0.2997172478793591,0.38,0.38,6000,chameleon,1,0,src_v16c
6000,64,0.99,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",1.0,0.38,0.29688972667295005,0.38,0.38,6000,chameleon,1,0,src_v16c
6000,64,0.99,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",1.0,0.38,0.2992459943449576,0.38,0.38,6000,chameleon,1,0,src_v16c
6000,64,0.99,"(0.05, 0.5, 5.0)",0.5,full,"[0.05, 0.5, 5.0]",1.0,0.38,0.2992459943449576,0.38,0.38,6000,chameleon,1,0,src_v16c
6000,64,0.99,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",1.0,0.38,0.29688972667295005,0.38,0.38,6000,chameleon,1,0,src_v16c
6000,96,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.38,0.2992459943449576,0.38,0.38,6000,chameleon,1,0,src_v16c
6000,96,0.95,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",1.0,0.38,0.2997172478793591,0.38,0.38,6000,chameleon,1,0,src_v16c
6000,96,0.95,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",1.0,0.38,0.29688972667295005,0.38,0.38,6000,chameleon,1,0,src_v16c
6000,96,0.95,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",1.0,0.38,0.2992459943449576,0.38,0.38,6000,chameleon,1,0,src_v16c
6000,96,0.95,"(0.05, 0.5, 5.0)",0.5,full,"[0.05, 0.5, 5.0]",1.0,0.38,0.2992459943449576,0.38,0.38,6000,chameleon,1,0,src_v16c
6000,96,0.95,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",1.0,0.38,0.29688972667295005,0.38,0.38,6000,chameleon,1,0,src_v16c
6000,96,0.99,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.38,0.2992459943449576,0.38,0.38,6000,chameleon,1,0,src_v16c
6000,96,0.99,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",1.0,0.38,0.2997172478793591,0.38,0.38,6000,chameleon,1,0,src_v16c
6000,96,0.99,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",1.0,0.38,0.29688972667295005,0.38,0.38,6000,chameleon,1,0,src_v16c
6000,96,0.99,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",1.0,0.38,0.2992459943449576,0.38,0.38,6000,chameleon,1,0,src_v16c
6000,96,0.99,"(0.05, 0.5, 5.0)",0.5,full,"[0.05, 0.5, 5.0]",1.0,0.38,0.2992459943449576,0.38,0.38,6000,chameleon,1,0,src_v16c
6000,96,0.99,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",1.0,0.38,0.29688972667295005,0.38,0.38,6000,chameleon,1,0,src_v16c
4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.31333333333333335,0.3105560791705938,0.31333333333333335,0.31333333333333335,4000,chameleon,1,1,src_v16c
4000,64,0.95,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",1.0,0.30666666666666664,0.31291234684260133,0.30666666666666664,0.30666666666666664,4000,chameleon,1,1,src_v16c
4000,64,0.95,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",1.0,0.30666666666666664,0.3105560791705938,0.30666666666666664,0.30666666666666664,4000,chameleon,1,1,src_v16c
4000,64,0.95,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",1.0,0.31333333333333335,0.3105560791705938,0.31333333333333335,0.31333333333333335,4000,chameleon,1,1,src_v16c
4000,64,0.95,"(0.05, 0.5, 5.0)",0.5,full,"[0.05, 0.5, 5.0]",1.0,0.30666666666666664,0.31291234684260133,0.30666666666666664,0.30666666666666664,4000,chameleon,1,1,src_v16c
4000,64,0.95,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",1.0,0.30666666666666664,0.3105560791705938,0.30666666666666664,0.30666666666666664,4000,chameleon,1,1,src_v16c
4000,64,0.99,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.31333333333333335,0.3105560791705938,0.31333333333333335,0.31333333333333335,4000,chameleon,1,1,src_v16c
4000,64,0.99,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",1.0,0.30666666666666664,0.31291234684260133,0.30666666666666664,0.30666666666666664,4000,chameleon,1,1,src_v16c
4000,64,0.99,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",1.0,0.30666666666666664,0.3105560791705938,0.30666666666666664,0.30666666666666664,4000,chameleon,1,1,src_v16c
4000,64,0.99,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",1.0,0.31333333333333335,0.3105560791705938,0.31333333333333335,0.31333333333333335,4000,chameleon,1,1,src_v16c
4000,64,0.99,"(0.05, 0.5, 5.0)",0.5,full,"[0.05, 0.5, 5.0]",1.0,0.30666666666666664,0.31291234684260133,0.30666666666666664,0.30666666666666664,4000,chameleon,1,1,src_v16c
4000,64,0.99,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",1.0,0.30666666666666664,0.3105560791705938,0.30666666666666664,0.30666666666666664,4000,chameleon,1,1,src_v16c
4000,96,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.31333333333333335,0.3105560791705938,0.31333333333333335,0.31333333333333335,4000,chameleon,1,1,src_v16c
4000,96,0.95,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",1.0,0.30666666666666664,0.31291234684260133,0.30666666666666664,0.30666666666666664,4000,chameleon,1,1,src_v16c
4000,96,0.95,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",1.0,0.30666666666666664,0.3105560791705938,0.30666666666666664,0.30666666666666664,4000,chameleon,1,1,src_v16c
4000,96,0.95,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",1.0,0.31333333333333335,0.3105560791705938,0.31333333333333335,0.31333333333333335,4000,chameleon,1,1,src_v16c
4000,96,0.95,"(0.05, 0.5, 5.0)",0.5,full,"[0.05, 0.5, 5.0]",1.0,0.30666666666666664,0.31291234684260133,0.30666666666666664,0.30666666666666664,4000,chameleon,1,1,src_v16c
4000,96,0.95,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",1.0,0.30666666666666664,0.3105560791705938,0.30666666666666664,0.30666666666666664,4000,chameleon,1,1,src_v16c
4000,96,0.99,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.31333333333333335,0.3105560791705938,0.31333333333333335,0.31333333333333335,4000,chameleon,1,1,src_v16c
4000,96,0.99,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",1.0,0.30666666666666664,0.31291234684260133,0.30666666666666664,0.30666666666666664,4000,chameleon,1,1,src_v16c
4000,96,0.99,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",1.0,0.30666666666666664,0.3105560791705938,0.30666666666666664,0.30666666666666664,4000,chameleon,1,1,src_v16c
4000,96,0.99,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",1.0,0.31333333333333335,0.3105560791705938,0.31333333333333335,0.31333333333333335,4000,chameleon,1,1,src_v16c
4000,96,0.99,"(0.05, 0.5, 5.0)",0.5,full,"[0.05, 0.5, 5.0]",1.0,0.30666666666666664,0.31291234684260133,0.30666666666666664,0.30666666666666664,4000,chameleon,1,1,src_v16c
4000,96,0.99,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",1.0,0.30666666666666664,0.3105560791705938,0.30666666666666664,0.30666666666666664,4000,chameleon,1,1,src_v16c
