experiment,dataset,target_id,split_id,repeat,top_k,dim,energy,alphas,w,feature_variant,alphas_json,train_acc,val_acc,test_acc_shadow_not_for_selection,val_bal_acc,objective,num_selected_features
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.9,"(0.01, 0.1, 1.0)",0.2,full,"[0.01, 0.1, 1.0]",0.9633699633699634,0.7050754458161865,0.6820175438596491,0.7025424165873604,0.7050754458161865,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.9,"(0.01, 0.1, 1.0)",0.3,full,"[0.01, 0.1, 1.0]",0.9615384615384616,0.7064471879286695,0.6776315789473685,0.7039410179859619,0.7064471879286695,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.9,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",0.9587912087912088,0.700960219478738,0.6842105263157895,0.6985356125805564,0.700960219478738,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.9,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",0.956043956043956,0.6982167352537723,0.6798245614035088,0.696013415676337,0.6982167352537723,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.9,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",0.9478021978021978,0.691358024691358,0.6798245614035088,0.6879535701164915,0.691358024691358,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.9,"(0.01, 0.1, 1.0)",0.7,full,"[0.01, 0.1, 1.0]",0.9423076923076924,0.6858710562414266,0.6864035087719298,0.682500914663836,0.6858710562414266,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.9,"(0.01, 0.1, 1.0)",0.8,full,"[0.01, 0.1, 1.0]",0.935897435897436,0.6872427983539094,0.6995614035087719,0.6831428971878409,0.6872427983539094,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.9,"(0.05, 0.5, 5.0)",0.2,full,"[0.05, 0.5, 5.0]",0.9166666666666666,0.7091906721536351,0.6820175438596491,0.7071253336702774,0.7091906721536351,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.9,"(0.05, 0.5, 5.0)",0.3,full,"[0.05, 0.5, 5.0]",0.9148351648351648,0.7064471879286695,0.6820175438596491,0.7044226309675747,0.7064471879286695,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.9,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",0.9157509157509156,0.6995884773662552,0.6842105263157895,0.6967498982948421,0.6995884773662552,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.9,"(0.05, 0.5, 5.0)",0.5,full,"[0.05, 0.5, 5.0]",0.9157509157509156,0.6886145404663924,0.6864035087719298,0.6852036173665388,0.6886145404663924,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.9,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",0.913003663003663,0.6872427983539094,0.6929824561403509,0.6834355099804539,0.6872427983539094,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.9,"(0.05, 0.5, 5.0)",0.7,full,"[0.05, 0.5, 5.0]",0.913919413919414,0.6831275720164609,0.6885964912280702,0.6796092117721331,0.6831275720164609,4000
