dataset,split,class_a,class_b,O_ab,Conf_ab,Conf_ba,ConfPair_ab
amazon-computers,0,0,1,0.06256983117847985,0.0051813471502590676,0.0004780114722753346,0.005659358622534402
amazon-computers,0,0,2,0.07448077150058344,0.0025906735751295338,0.004398826979472141,0.0069895005546016745
amazon-computers,0,0,3,0.05638620355246789,0.010362694300518135,0.012195121951219513,0.022557816251737646
amazon-computers,0,0,4,0.0740408061425125,0.04145077720207254,0.005873140172278779,0.04732391737435132
amazon-computers,0,0,5,0.05686980064687695,0.0,0.0,0.0
amazon-computers,0,0,6,0.07129538492759283,0.0051813471502590676,0.0,0.0051813471502590676
amazon-computers,0,0,7,0.07197005415751465,0.0025906735751295338,0.005208333333333333,0.007799006908462866
amazon-computers,0,0,8,0.06766091038053751,0.007772020725388601,0.0023741690408357074,0.010146189766224308
amazon-computers,0,0,9,0.053661576246082636,0.0,0.0,0.0
amazon-computers,0,1,0,0.06256983117847983,0.0004780114722753346,0.0051813471502590676,0.005659358622534402
amazon-computers,0,1,2,0.060530559166513606,0.0019120458891013384,0.001466275659824047,0.0033783215489253853
amazon-computers,0,1,3,0.07011828207115528,0.02581261950286807,0.0020325203252032522,0.02784513982807132
amazon-computers,0,1,4,0.076943199245425,0.0731357552581262,0.05736100234925607,0.13049675760738227
amazon-computers,0,1,5,0.05833940600588832,0.0,0.0,0.0
amazon-computers,0,1,6,0.07477669411416597,0.05066921606118547,0.004576659038901602,0.05524587510008707
amazon-computers,0,1,7,0.06496909573985224,0.008126195028680689,0.0013020833333333333,0.009428278362014023
amazon-computers,0,1,8,0.08043923181678808,0.03489483747609943,0.02801519468186135,0.06291003215796077
amazon-computers,0,1,9,0.06658331810799778,0.0,0.0,0.0
amazon-computers,0,2,0,0.07448077150058342,0.004398826979472141,0.0025906735751295338,0.0069895005546016745
amazon-computers,0,2,1,0.0605305591665136,0.001466275659824047,0.0019120458891013384,0.0033783215489253853
amazon-computers,0,2,3,0.06588109364703076,0.0007331378299120235,0.016260162601626018,0.01699330043153804
amazon-computers,0,2,4,0.07816799245951418,0.0,0.0074393108848864525,0.0074393108848864525
amazon-computers,0,2,5,0.07781497560614216,0.0,0.0,0.0
amazon-computers,0,2,6,0.0787255692460212,0.0,0.0,0.0
amazon-computers,0,2,7,0.08443312475261062,0.03372434017595308,0.07161458333333333,0.1053389235092864
amazon-computers,0,2,8,0.06879047681444912,0.0,0.002849002849002849,0.002849002849002849
amazon-computers,0,2,9,0.06879482519551283,0.0,0.0,0.0
amazon-computers,0,3,0,0.056386203552467894,0.012195121951219513,0.010362694300518135,0.022557816251737646
amazon-computers,0,3,1,0.07011828207115528,0.0020325203252032522,0.02581261950286807,0.02784513982807132
amazon-computers,0,3,2,0.06588109364703076,0.016260162601626018,0.0007331378299120235,0.01699330043153804
amazon-computers,0,3,4,0.07347664180738717,0.024390243902439025,0.05794831636648395,0.08233856026892297
amazon-computers,0,3,5,0.07410071444924538,0.0,0.03488372093023256,0.03488372093023256
amazon-computers,0,3,6,0.0628891707103245,0.0020325203252032522,0.009153318077803204,0.011185838403006456
amazon-computers,0,3,7,0.06050008411516127,0.01016260162601626,0.014322916666666666,0.024485518292682924
amazon-computers,0,3,8,0.07692151676380357,0.006097560975609756,0.03181386514719848,0.037911426122808234
amazon-computers,0,3,9,0.06902540266238179,0.0020325203252032522,0.03319502074688797,0.035227541072091216
amazon-computers,0,4,0,0.07404080614251252,0.005873140172278779,0.04145077720207254,0.04732391737435132
amazon-computers,0,4,1,0.076943199245425,0.05736100234925607,0.0731357552581262,0.13049675760738227
