dataset,split_id,node_index,original_node_id,split,true_label,pred_final,pred_pca,pred_ridge,final_correct,pca_correct,ridge_correct,M_pca,M_ridge,HHI_i,T_i,SymRatio_i,SignalEntropy_i,Purity_i,degree,mechanism_type,P_X,P_PrX,P_Pr2X,P_Pr3X,P_XminusPrX,P_PrXminusPr2X,P_PsX,P_Ps2X,P_XminusPsX
squirrel,0,0,0,train,1,1,4,1,1,0,1,-0.0004802011560466335,0.9964611843570867,0.464267432364099,0.3310862168993161,0.36683672511168397,1.8706884492259663,0.2414612755180278,154.0,low-pass-node,0.0,0.23603850610750643,0.06920124290884665,0.1369677509569954,0.047947503786940134,0.2414612755180278,0.17412846687477856,0.06659938847323317,0.02765586458120788
squirrel,0,1,1,train,3,3,3,3,1,1,1,1.5628081670812126,2.441507247160309,0.4953970716572118,0.7353645041465771,0.33002457818714576,1.9724595841579466,0.20807550574538639,6.0,low-pass-node,0.0,0.13724980654417399,0.10245097584184316,0.20807550574538639,0.1049015539996389,0.19918796191259594,0.1281948317067951,0.09274758894468357,0.02719177418169228
squirrel,0,2,2,val,0,1,2,1,0,0,0,-0.2351394620849705,-3.110070698142527,0.6882062293046345,1.4786907192196717,0.2903211825977708,1.9483569033808945,0.25593108951583005,13.0,two-hop-node,0.0,0.06692146203463994,0.10284402083609737,0.25593108951583005,0.15496074804460086,0.1943435182006301,0.06880083671321706,0.09784728271499717,0.058351040557923915
squirrel,0,3,3,val,0,1,0,1,0,1,0,0.018881129489550785,-1.4694272219613869,0.5137090132024492,0.3007273039553695,0.36281402522979833,1.8822033160844533,0.23437640143518593,150.0,low-pass-node,0.0,0.22362928078244992,0.0640919604827567,0.12703758773315993,0.08464060451871858,0.23437640143518593,0.18659610834486107,0.05927401480384261,0.020354041147048727
squirrel,0,4,4,val,4,4,4,4,1,1,1,0.2827068905881136,2.475587754876864,0.6580825081487024,0.5422487382635144,0.32602268414280305,2.0855432918510606,0.21126548887340332,5.0,low-pass-node,0.060954882482430306,0.11597102805900479,0.08073687151232369,0.21126548887340332,0.10871050723658499,0.19148281013717103,0.11426325521408769,0.044107378098057516,0.07250777693969099
squirrel,0,5,5,val,0,1,1,1,0,0,0,-0.1364833341932592,-1.8520794664349776,0.5730649410905372,1.2155691436823053,0.2345017985667542,1.907462706780997,0.24582337203576102,14.0,two-hop-node,0.0,0.10475181706271862,0.1109779711378802,0.24582337203576102,0.12442905169870355,0.2240611592274373,0.07122025394854213,0.10292824853449543,0.015808124971880205
squirrel,0,6,6,train,2,2,2,2,1,1,1,0.3432267026380733,1.5652394966284335,0.7019624935535288,1.215117203563525,0.2696746159099398,1.938658145859574,0.2306202375886098,12.0,two-hop-node,0.0,0.07139550420198128,0.10674619098541666,0.2306202375886098,0.16566834604123096,0.21317308519852277,0.08974124047514784,0.08905383959920132,0.033601554606247454
squirrel,0,7,7,test,0,4,1,4,0,0,0,-0.08829519153682475,-0.5514801226910488,0.5396744575392628,0.4785307605544452,0.30672925609170204,1.886549992093226,0.2631718916547075,117.0,low-pass-node,0.0,0.16500153898542644,0.08011722991733357,0.18469082043090976,0.07228798417237194,0.2631718916547075,0.14936265055932108,0.07031570479707477,0.015052178402362181
squirrel,0,8,8,test,0,0,0,0,1,1,1,0.8090094048674754,2.810277605381848,0.5345069082169563,1.40432926570934,0.45842941571158846,2.041097108808933,0.21146486775657056,1.0,two-hop-node,0.0,0.0953363107175455,0.13466614729537404,0.21146486775657056,0.10957385394797203,0.13462792968915027,0.08775436444284339,0.12245344611224657,0.10412307864212697
squirrel,0,9,9,test,2,2,2,2,1,1,1,0.8073431662546635,1.8207417926122111,0.6516769694336583,0.7121346326461981,0.26505126377631305,2.071212476254045,0.20890375124966667,21.0,low-pass-node,0.05860552666011208,0.12692743815557123,0.08703576111888557,0.1928061584827129,0.1284820878711289,0.20890375124966667,0.09335703001140928,0.06983643769758233,0.03404580766948916
