dataset,split,block,block_label,I_name,selected_count,top_k_effective,I_b
squirrel,0,raw,X,I_X,81,6000,0.0135
squirrel,0,row_1hop,P_r X,I_PrX,777,6000,0.1295
squirrel,0,row_2hop,P_r^2 X,I_Pr2X,1249,6000,0.20816666666666667
squirrel,0,row_3hop,P_r^3 X,I_Pr3X,687,6000,0.1145
squirrel,0,highpass_row_1,X-P_r X,I_XminusPrX,440,6000,0.07333333333333333
squirrel,0,highpass_row_2,P_r X-P_r^2 X,I_PrXminusPr2X,667,6000,0.11116666666666666
squirrel,0,sym_1hop,P_s X,I_PsX,735,6000,0.1225
squirrel,0,sym_2hop,P_s^2 X,I_Ps2X,1149,6000,0.1915
squirrel,0,highpass_sym_1,X-P_s X,I_XminusPsX,215,6000,0.035833333333333335

