dataset,split,block,block_label,P_b_correct,P_b_wrong,Delta_wrong_minus_correct
squirrel,0,raw,X,0.021884628082120484,0.02038340550523887,-0.0015012225768816154
squirrel,0,row_1hop,P_r X,0.14903005306744974,0.14706629049600545,-0.0019637625714442886
squirrel,0,row_2hop,P_r^2 X,0.08768770832770031,0.0823423224439526,-0.005345385883747708
squirrel,0,row_3hop,P_r^3 X,0.1879049479648912,0.19026009981781328,0.002355151852922066
squirrel,0,highpass_row_1,X-P_r X,0.10771591638727578,0.11222053779906639,0.004504621411790616
squirrel,0,highpass_row_2,P_r X-P_r^2 X,0.1890526258686703,0.18896613329724274,-8.64925714275655e-05
squirrel,0,sym_1hop,P_s X,0.12381846654907237,0.12081261059729588,-0.0030058559517764927
squirrel,0,sym_2hop,P_s^2 X,0.07680007469204314,0.07154927884135093,-0.005250795850692214
squirrel,0,highpass_sym_1,X-P_s X,0.05610557799305431,0.06639932012332708,0.010293742130272773

