dataset,split,class_a,class_b,O_ab,Conf_ab,Conf_ba,ConfPair_ab
texas,0,0,2,0.12571188504505068,0.0,0.25,0.25
texas,0,0,3,0.21212416351730953,0.0,0.0,0.0
texas,0,0,4,0.15657819454504002,0.0,0.0,0.0
texas,0,2,0,0.1257118850450507,0.25,0.0,0.25
texas,0,2,3,0.20794259671783574,0.25,0.0,0.25
texas,0,2,4,0.16046463693022597,0.0,0.0,0.0
texas,0,3,0,0.21212416351730953,0.0,0.0,0.0
texas,0,3,2,0.20794259671783574,0.0,0.25,0.25
texas,0,3,4,0.26076190872662086,0.041666666666666664,0.2,0.24166666666666667
texas,0,4,0,0.15657819454504004,0.0,0.0,0.0
texas,0,4,2,0.16046463693022595,0.0,0.0,0.0
texas,0,4,3,0.2607619087266209,0.2,0.041666666666666664,0.24166666666666667

