dataset,split,block,block_label,P_b_correct,P_b_wrong,Delta_wrong_minus_correct
texas,0,raw,X,0.10001986871417039,0.09382998842825582,-0.006189880285914565
texas,0,row_1hop,P_r X,0.08653230850941468,0.10941465359451726,0.022882345085102576
texas,0,row_2hop,P_r^2 X,0.13129711979481046,0.11716631838002105,-0.01413080141478941
texas,0,row_3hop,P_r^3 X,0.1017524562308939,0.1153039094689624,0.0135514532380685
texas,0,highpass_row_1,X-P_r X,0.10747231888350789,0.10073527896804897,-0.006737039915458917
texas,0,highpass_row_2,P_r X-P_r^2 X,0.15170258415303944,0.13961269580175623,-0.012089888351283218
texas,0,sym_1hop,P_s X,0.05400204746938823,0.07802869384386149,0.024026646374473264
texas,0,sym_2hop,P_s^2 X,0.1266096418767112,0.11218701940701292,-0.014422622469698276
texas,0,highpass_sym_1,X-P_s X,0.14061165433953557,0.133721442081614,-0.00689021225792158

