dataset,split,block,block_label,I_name,selected_count,top_k_effective,I_b
wisconsin,0,raw,X,I_X,402,4000,0.1005
wisconsin,0,row_1hop,P_r X,I_PrX,343,4000,0.08575
wisconsin,0,row_2hop,P_r^2 X,I_Pr2X,570,4000,0.1425
wisconsin,0,row_3hop,P_r^3 X,I_Pr3X,435,4000,0.10875
wisconsin,0,highpass_row_1,X-P_r X,I_XminusPrX,469,4000,0.11725
wisconsin,0,highpass_row_2,P_r X-P_r^2 X,I_PrXminusPr2X,480,4000,0.12
wisconsin,0,sym_1hop,P_s X,I_PsX,281,4000,0.07025
wisconsin,0,sym_2hop,P_s^2 X,I_Ps2X,593,4000,0.14825
wisconsin,0,highpass_sym_1,X-P_s X,I_XminusPsX,427,4000,0.10675

