dataset,split,class_a,class_b,O_ab,Conf_ab,Conf_ba,ConfPair_ab
amazon-computers,0,0,1,0.0625698311784798,0.005181347150259,0.0004780114722753,0.0056593586225344
amazon-computers,0,0,2,0.0744807715005834,0.0025906735751295,0.0043988269794721,0.0069895005546016
amazon-computers,0,0,3,0.0563862035524678,0.0103626943005181,0.0121951219512195,0.0225578162517376
amazon-computers,0,0,4,0.0740408061425125,0.0414507772020725,0.0058731401722787,0.0473239173743513
amazon-computers,0,0,5,0.0568698006468769,0.0,0.0,0.0
amazon-computers,0,0,6,0.0712953849275928,0.005181347150259,0.0,0.005181347150259
amazon-computers,0,0,7,0.0719700541575146,0.0025906735751295,0.0052083333333333,0.0077990069084628
amazon-computers,0,0,8,0.0676609103805375,0.0077720207253886,0.0023741690408357,0.0101461897662243
amazon-computers,0,0,9,0.0536615762460826,0.0,0.0,0.0
amazon-computers,0,1,0,0.0625698311784798,0.0004780114722753,0.005181347150259,0.0056593586225344
amazon-computers,0,1,2,0.0605305591665136,0.0019120458891013,0.001466275659824,0.0033783215489253
amazon-computers,0,1,3,0.0701182820711552,0.025812619502868,0.0020325203252032,0.0278451398280713
amazon-computers,0,1,4,0.076943199245425,0.0731357552581262,0.057361002349256,0.1304967576073822
amazon-computers,0,1,5,0.0583394060058883,0.0,0.0,0.0
amazon-computers,0,1,6,0.0747766941141659,0.0506692160611854,0.0045766590389016,0.055245875100087
amazon-computers,0,1,7,0.0649690957398522,0.0081261950286806,0.0013020833333333,0.009428278362014
amazon-computers,0,1,8,0.080439231816788,0.0348948374760994,0.0280151946818613,0.0629100321579607
amazon-computers,0,1,9,0.0665833181079977,0.0,0.0,0.0
amazon-computers,0,2,0,0.0744807715005834,0.0043988269794721,0.0025906735751295,0.0069895005546016
amazon-computers,0,2,1,0.0605305591665136,0.001466275659824,0.0019120458891013,0.0033783215489253
amazon-computers,0,2,3,0.0658810936470307,0.000733137829912,0.016260162601626,0.016993300431538
amazon-computers,0,2,4,0.0781679924595141,0.0,0.0074393108848864,0.0074393108848864
amazon-computers,0,2,5,0.0778149756061421,0.0,0.0,0.0
amazon-computers,0,2,6,0.0787255692460212,0.0,0.0,0.0
amazon-computers,0,2,7,0.0844331247526106,0.033724340175953,0.0716145833333333,0.1053389235092864
amazon-computers,0,2,8,0.0687904768144491,0.0,0.0028490028490028,0.0028490028490028
amazon-computers,0,2,9,0.0687948251955128,0.0,0.0,0.0
amazon-computers,0,3,0,0.0563862035524678,0.0121951219512195,0.0103626943005181,0.0225578162517376
amazon-computers,0,3,1,0.0701182820711552,0.0020325203252032,0.025812619502868,0.0278451398280713
amazon-computers,0,3,2,0.0658810936470307,0.016260162601626,0.000733137829912,0.016993300431538
amazon-computers,0,3,4,0.0734766418073871,0.024390243902439,0.0579483163664839,0.0823385602689229
amazon-computers,0,3,5,0.0741007144492453,0.0,0.0348837209302325,0.0348837209302325
amazon-computers,0,3,6,0.0628891707103245,0.0020325203252032,0.0091533180778032,0.0111858384030064
amazon-computers,0,3,7,0.0605000841151612,0.0101626016260162,0.0143229166666666,0.0244855182926829
amazon-computers,0,3,8,0.0769215167638035,0.0060975609756097,0.0318138651471984,0.0379114261228082
amazon-computers,0,3,9,0.0690254026623817,0.0020325203252032,0.0331950207468879,0.0352275410720912
amazon-computers,0,4,0,0.0740408061425125,0.0058731401722787,0.0414507772020725,0.0473239173743513
amazon-computers,0,4,1,0.076943199245425,0.057361002349256,0.0731357552581262,0.1304967576073822
amazon-computers,0,4,2,0.0781679924595141,0.0074393108848864,0.0,0.0074393108848864
amazon-computers,0,4,3,0.0734766418073871,0.0579483163664839,0.024390243902439,0.0823385602689229
amazon-computers,0,4,5,0.0761516134506985,0.0072435395458104,0.0,0.0072435395458104
amazon-computers,0,4,6,0.0910817486648331,0.0111589663273296,0.0,0.0111589663273296
amazon-computers,0,4,7,0.0692642923908559,0.0050900548159749,0.0,0.0050900548159749
amazon-computers,0,4,8,0.103217264641841,0.0601018010963195,0.0446343779677113,0.1047361790640308
amazon-computers,0,4,9,0.0672595044064909,0.0058731401722787,0.0,0.0058731401722787
amazon-computers,0,5,0,0.0568698006468769,0.0,0.0,0.0
amazon-computers,0,5,1,0.0583394060058883,0.0,0.0,0.0
amazon-computers,0,5,2,0.0778149756061421,0.0,0.0,0.0
amazon-computers,0,5,3,0.0741007144492453,0.0348837209302325,0.0,0.0348837209302325
amazon-computers,0,5,4,0.0761516134506985,0.0,0.0072435395458104,0.0072435395458104
amazon-computers,0,5,6,0.0838901124861379,0.0,0.0022883295194508,0.0022883295194508
amazon-computers,0,5,7,0.0773862009265236,0.0,0.0,0.0
amazon-computers,0,5,8,0.0694772403106178,0.0,0.0028490028490028,0.0028490028490028
amazon-computers,0,5,9,0.0762760435424889,0.003875968992248,0.0,0.003875968992248
amazon-computers,0,6,0,0.0712953849275928,0.0,0.005181347150259,0.005181347150259
amazon-computers,0,6,1,0.0747766941141659,0.0045766590389016,0.0506692160611854,0.055245875100087
amazon-computers,0,6,2,0.0787255692460212,0.0,0.0,0.0
amazon-computers,0,6,3,0.0628891707103245,0.0091533180778032,0.0020325203252032,0.0111858384030064
amazon-computers,0,6,4,0.0910817486648331,0.0,0.0111589663273296,0.0111589663273296
amazon-computers,0,6,5,0.0838901124861379,0.0022883295194508,0.0,0.0022883295194508
amazon-computers,0,6,7,0.0828143960090595,0.0,0.0065104166666666,0.0065104166666666
amazon-computers,0,6,8,0.0962725123483072,0.0892448512585812,0.4306742640075973,0.5199191152661786
amazon-computers,0,6,9,0.0799091126906714,0.0022883295194508,0.0248962655601659,0.0271845950796167
amazon-computers,0,7,0,0.0719700541575146,0.0052083333333333,0.0025906735751295,0.0077990069084628
amazon-computers,0,7,1,0.0649690957398522,0.0013020833333333,0.0081261950286806,0.009428278362014
amazon-computers,0,7,2,0.0844331247526106,0.0716145833333333,0.033724340175953,0.1053389235092864
