dataset,split,mechanism_type,n_test,test_acc,mean_HHI_i,mean_entropy,mean_purity
amazon-computers,0,high-pass-node,48,0.0416666666666666,585281672932.7559,1.072688214884822,0.4209781633095422
amazon-computers,0,low-pass-node,5,0.0,0.1679524571346597,1.9799019304262016,0.2850190506249435
amazon-computers,0,raw-node,14,0.0,439362752933.7612,0.9481769203300972,0.5606372467035621
amazon-computers,0,sym-sensitive-node,210,0.0523809523809523,590928770589.5137,1.0687508525328118,0.4199437302235063
amazon-computers,0,two-hop-node,12975,0.7917533718689788,0.1228476706640311,1.942798499274684,0.2383464591777138
cornell,0,low-pass-node,16,0.75,0.5651371993236649,2.170097427574751,0.1478018341358792
cornell,0,two-hop-node,21,0.8571428571428571,0.7131200929938464,2.169083364471154,0.1435336236078438
squirrel,0,high-pass-node,15,0.6666666666666666,1.1930474564839313,1.968952222355567,0.2253378069085599
squirrel,0,low-pass-node,890,0.5921348314606741,0.5741285833692314,2.020769721435672,0.2099637166170092
squirrel,0,two-hop-node,136,0.6544117647058824,0.6359524625069622,1.9695396489058596,0.251279773152088
texas,0,low-pass-node,3,0.6666666666666666,0.8056148760220235,2.143561898703985,0.1605576863492682
texas,0,two-hop-node,35,0.8857142857142857,0.7952911253523792,2.1406091462755854,0.1671707964013694
wisconsin,0,two-hop-node,51,0.9019607843137256,0.6032700649462562,2.161890739794262,0.1591318615562358

