dataset,split,class_a,class_b,O_ab,Conf_ab,Conf_ba,ConfPair_ab
wisconsin,0,0,1,0.16241856263550372,0.0,0.0,0.0
wisconsin,0,0,2,0.35341541495265066,1.0,0.0,1.0
wisconsin,0,0,3,0.10733942238944871,0.0,0.0,0.0
wisconsin,0,0,4,0.14618787316064927,0.0,0.0,0.0
wisconsin,0,1,0,0.1624185626355037,0.0,0.0,0.0
wisconsin,0,1,2,0.20466558499816245,0.0,0.037037037037037035,0.037037037037037035
wisconsin,0,1,3,0.17148574759525412,0.08333333333333333,0.0,0.08333333333333333
wisconsin,0,1,4,0.13698613966741088,0.0,0.0,0.0
wisconsin,0,2,0,0.35341541495265066,0.0,1.0,1.0
wisconsin,0,2,1,0.20466558499816245,0.037037037037037035,0.0,0.037037037037037035
wisconsin,0,2,3,0.21290297296402258,0.0,0.125,0.125
wisconsin,0,2,4,0.22017031609360596,0.0,0.3333333333333333,0.3333333333333333
wisconsin,0,3,0,0.10733942238944873,0.0,0.0,0.0
wisconsin,0,3,1,0.17148574759525415,0.0,0.08333333333333333,0.08333333333333333
wisconsin,0,3,2,0.21290297296402264,0.125,0.0,0.125
wisconsin,0,3,4,0.09967721019821169,0.0,0.0,0.0
wisconsin,0,4,0,0.1461878731606492,0.0,0.0,0.0
wisconsin,0,4,1,0.13698613966741088,0.0,0.0,0.0
wisconsin,0,4,2,0.22017031609360593,0.3333333333333333,0.0,0.3333333333333333
wisconsin,0,4,3,0.09967721019821171,0.0,0.0,0.0

