experiment,dataset,split,method,split_policy,train_size,val_size,test_size,num_nodes,num_features,num_classes,top_k,dim,energy,alphas,w,feature_variant,alphas_json,train_acc,val_acc,test_acc,val_bal_acc,num_features_after_variant,time_sec,python_peak_memory_mb,rss_before_mb,rss_after_mb,epoch_trainable_params,stored_coefficients_proxy,requires_epoch_training,selection_rule
E09,chameleon,0,src_v16c,fixed_geom_gcn_split,1092,729,456,2277,2325,5,6000,96,0.95,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",0.9789377289377289,0.7379972565157751,0.7214912280701754,0.7373744195373408,20925,61.99476410000352,727.0383939743042,144.8046875,197.39453125,0,2038380,False,grid_selected_by_val_only_no_test
E09,chameleon,1,src_v16c,fixed_geom_gcn_split,1092,729,456,2277,2325,5,6000,96,0.99,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",0.9789377289377289,0.6899862825788752,0.7390350877192983,0.689328988577745,20925,62.200027199985925,727.0279989242554,197.40625,206.33203125,0,2824380,False,grid_selected_by_val_only_no_test
E09,squirrel,0,src_v16c,fixed_geom_gcn_split,2496,1664,1041,5201,2089,5,4000,96,0.95,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",0.9643429487179487,0.6129807692307693,0.6243996157540826,0.6140936578854674,18801,161.7073490000039,1492.0698709487915,246.9765625,271.75390625,0,1957440,False,grid_selected_by_val_only_no_test
E09,squirrel,1,src_v16c,fixed_geom_gcn_split,2496,1664,1041,5201,2089,5,6000,96,0.95,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",0.9803685897435898,0.5967548076923077,0.6292026897214217,0.5998251456944549,18801,161.11861609999323,1492.0697164535522,271.11328125,273.04296875,0,2917440,False,grid_selected_by_val_only_no_test
E09,cornell,0,src_v16c,fixed_geom_gcn_split,87,59,37,183,1703,5,4000,64,0.95,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",1.0,0.8135593220338984,0.7297297297297297,0.5997172182656054,15327,4.523657999990974,51.2389497756958,186.92578125,177.09765625,0,277305,False,grid_selected_by_val_only_no_test
E09,cornell,1,src_v16c,fixed_geom_gcn_split,87,59,37,183,1703,5,6000,64,0.99,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",1.0,0.7627118644067796,0.7027027027027027,0.5633333333333332,15327,4.469016700022621,51.23745346069336,176.96875,177.7421875,0,481305,False,grid_selected_by_val_only_no_test
E09,texas,0,src_v16c,fixed_geom_gcn_split,87,59,37,183,1703,5,4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.864406779661017,0.8378378378378378,0.7738095238095237,15327,4.1090191999974195,51.18681049346924,179.83203125,188.36328125,0,273044,False,grid_selected_by_val_only_no_test
E09,texas,1,src_v16c,fixed_geom_gcn_split,87,59,37,183,1703,5,6000,64,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.8135593220338984,0.8378378378378378,0.7063492063492063,15327,4.06214589998126,51.141075134277344,188.36328125,177.11328125,0,403044,False,grid_selected_by_val_only_no_test
E09,wisconsin,0,src_v16c,fixed_geom_gcn_split,120,80,51,251,1703,5,4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.825,0.7843137254901961,0.6036933797909407,15327,6.021288399992045,69.86515140533447,180.9296875,186.421875,0,373800,False,grid_selected_by_val_only_no_test
E09,wisconsin,1,src_v16c,fixed_geom_gcn_split,120,80,51,251,1703,5,4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.775,0.8627450980392157,0.6106719367588933,15327,5.925002100004349,69.81898880004883,186.421875,178.30078125,0,365800,False,grid_selected_by_val_only_no_test
E09,amazon-photo,0,src_v16c,class_balanced_random_20_train_30_val_per_class,160,240,7250,7650,745,8,4000,64,0.95,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",1.0,0.8958333333333334,0.8806896551724138,0.8958333333333333,6705,136.68638349999674,1451.2704315185547,228.4453125,219.96484375,0,539840,False,grid_selected_by_val_only_no_test
E09,amazon-photo,1,src_v16c,class_balanced_random_20_train_30_val_per_class,160,240,7250,7650,745,8,4000,64,0.95,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",1.0,0.9666666666666667,0.9009655172413793,0.9666666666666667,6705,136.0460511999845,1451.270191192627,216.76171875,217.79296875,0,519840,False,grid_selected_by_val_only_no_test
E09,amazon-computers,0,src_v16c,class_balanced_random_20_train_30_val_per_class,200,300,13252,13752,767,10,4000,64,0.99,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.85,0.8036522789012979,0.85,6903,293.8116539999901,2626.0411310195923,261.015625,277.98828125,0,762000,False,grid_selected_by_val_only_no_test
E09,amazon-computers,1,src_v16c,class_balanced_random_20_train_30_val_per_class,200,300,13252,13752,767,10,4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.9,0.8025203742831271,0.9000000000000001,6903,291.91970260001835,2625.949273109436,278.10546875,281.0859375,0,658000,False,grid_selected_by_val_only_no_test
