dataset,true_label,pred_label,count
amazon-computers,0,1,10
amazon-computers,0,2,10
amazon-computers,0,3,5
amazon-computers,0,4,26
amazon-computers,0,6,13
amazon-computers,0,7,7
amazon-computers,0,8,6
amazon-computers,0,9,7
amazon-computers,1,0,2
amazon-computers,1,2,8
amazon-computers,1,3,20
amazon-computers,1,4,605
amazon-computers,1,5,4
amazon-computers,1,6,190
amazon-computers,1,7,23
amazon-computers,1,8,185
amazon-computers,1,9,61
amazon-computers,2,0,6
amazon-computers,2,1,8
amazon-computers,2,3,2
amazon-computers,2,4,4
amazon-computers,2,6,8
amazon-computers,2,7,102
amazon-computers,2,8,6
amazon-computers,2,9,2
amazon-computers,3,0,5
amazon-computers,3,1,3
amazon-computers,3,2,15
amazon-computers,3,4,49
amazon-computers,3,5,23
amazon-computers,3,6,2
amazon-computers,3,7,2
amazon-computers,3,8,16
amazon-computers,3,9,12
amazon-computers,4,0,25
amazon-computers,4,1,227
amazon-computers,4,2,69
amazon-computers,4,3,239
amazon-computers,4,5,80
amazon-computers,4,6,146
amazon-computers,4,7,51
amazon-computers,4,8,512
amazon-computers,4,9,251
amazon-computers,5,1,1
amazon-computers,5,3,7
amazon-computers,5,8,1
amazon-computers,5,9,7
amazon-computers,6,1,1
amazon-computers,6,3,2
amazon-computers,6,4,4
amazon-computers,6,8,160
amazon-computers,6,9,5
amazon-computers,7,0,4
amazon-computers,7,2,68
amazon-computers,7,3,7
amazon-computers,7,5,1
amazon-computers,7,6,16
amazon-computers,7,8,15
amazon-computers,7,9,14
amazon-computers,8,0,5
amazon-computers,8,1,71
amazon-computers,8,2,4
amazon-computers,8,3,53
amazon-computers,8,4,251
amazon-computers,8,5,13
amazon-computers,8,6,1763
amazon-computers,8,7,32
amazon-computers,8,9,79
amazon-computers,9,1,1
amazon-computers,9,3,4
amazon-computers,9,4,4
amazon-computers,9,5,1
amazon-computers,9,6,10
amazon-computers,9,8,3
amazon-photo,0,1,10
amazon-photo,0,2,5
amazon-photo,0,3,9
amazon-photo,0,5,2
amazon-photo,0,6,3
amazon-photo,0,7,4
amazon-photo,1,0,26
amazon-photo,1,2,51
amazon-photo,1,3,231
amazon-photo,1,4,12
amazon-photo,1,5,30
amazon-photo,1,6,9
amazon-photo,1,7,44
amazon-photo,2,0,2
amazon-photo,2,1,8
amazon-photo,2,3,4
amazon-photo,2,4,17
amazon-photo,2,5,6
amazon-photo,2,6,7
amazon-photo,2,7,6
amazon-photo,3,0,6
amazon-photo,3,1,56
amazon-photo,3,2,15
amazon-photo,3,4,16
amazon-photo,3,5,3
amazon-photo,3,6,10
amazon-photo,3,7,16
amazon-photo,4,1,21
amazon-photo,4,2,15
amazon-photo,4,3,12
amazon-photo,4,5,6
amazon-photo,4,6,38
amazon-photo,4,7,2
amazon-photo,5,1,10
amazon-photo,5,2,15
amazon-photo,5,4,4
amazon-photo,5,6,1
amazon-photo,5,7,3
amazon-photo,6,0,57
amazon-photo,6,1,30
amazon-photo,6,2,47
amazon-photo,6,3,21
amazon-photo,6,4,122
amazon-photo,6,5,23
amazon-photo,6,7,372
amazon-photo,7,0,5
amazon-photo,7,1,17
amazon-photo,7,3,27
amazon-photo,7,4,6
amazon-photo,7,6,44
chameleon,0,1,19
chameleon,0,2,10
chameleon,0,3,6
chameleon,0,4,3
chameleon,1,0,23
chameleon,1,2,24
chameleon,1,3,12
chameleon,1,4,2
chameleon,2,0,8
chameleon,2,1,6
chameleon,2,3,22
chameleon,2,4,11
chameleon,3,0,12
chameleon,3,1,7
chameleon,3,2,28
chameleon,3,4,14
chameleon,4,0,6
chameleon,4,1,3
chameleon,4,2,16
chameleon,4,3,14
cornell,0,3,4
cornell,0,4,1
cornell,1,2,4
cornell,1,3,4
cornell,1,4,1
cornell,2,3,3
cornell,3,4,1
cornell,4,1,1
cornell,4,3,2
squirrel,0,1,73
squirrel,0,2,57
squirrel,0,3,26
squirrel,0,4,10
squirrel,1,0,84
squirrel,1,2,55
squirrel,1,3,35
squirrel,1,4,34
squirrel,2,0,50
squirrel,2,1,49
squirrel,2,3,55
squirrel,2,4,35
squirrel,3,0,20
squirrel,3,1,34
squirrel,3,2,32
squirrel,3,4,36
squirrel,4,0,13
squirrel,4,1,13
squirrel,4,2,19
squirrel,4,3,47
texas,0,2,1
texas,0,3,2
texas,2,3,4
texas,4,3,5
wisconsin,0,2,3
wisconsin,1,2,1
wisconsin,1,4,1
wisconsin,2,1,1
wisconsin,2,3,3
wisconsin,3,2,7
wisconsin,4,3,2
