dataset,split,block,block_dim,fisher_sum,fisher_mean,selected_count,selected_ratio
chameleon,0,raw,2325,14.9435587090153,0.006427337079146366,1,0.00043010752688172043
chameleon,0,row_1hop,2325,69.79572521077205,0.03001966675732131,789,0.3393548387096774
chameleon,0,row_2hop,2325,109.56649314381642,0.04712537339518986,1306,0.5617204301075269
chameleon,0,row_3hop,2325,115.54273507429744,0.04969580003195589,1346,0.5789247311827957
chameleon,0,highpass_row_1,2325,28.997913617631923,0.012472220910809429,128,0.055053763440860215
chameleon,0,highpass_row_2,2325,52.28074513533913,0.02248634199369425,443,0.19053763440860216
chameleon,0,sym_1hop,2325,63.509357191289354,0.02731585255539327,712,0.3062365591397849
chameleon,0,sym_2hop,2325,96.643945519782,0.04156728839560516,1179,0.5070967741935484
chameleon,0,highpass_sym_1,2325,22.126451858910208,0.009516753487703315,96,0.04129032258064516
chameleon,1,raw,2325,14.585921337188418,0.006273514553629427,0,0.0
chameleon,1,row_1hop,2325,69.62227486985714,0.029945064460153607,787,0.338494623655914
chameleon,1,row_2hop,2325,104.91553175299066,0.04512495989375943,1290,0.5548387096774193
chameleon,1,row_3hop,2325,114.95875873516982,0.04944462741297627,1390,0.5978494623655914
chameleon,1,highpass_row_1,2325,28.12339060988439,0.012096081982745973,133,0.05720430107526882
chameleon,1,highpass_row_2,2325,44.68206153134938,0.019218090981225542,375,0.16129032258064516
chameleon,1,sym_1hop,2325,64.51076905015293,0.02774656733339911,714,0.30709677419354836
chameleon,1,sym_2hop,2325,94.89081279259153,0.04081325281401786,1204,0.5178494623655914
chameleon,1,highpass_sym_1,2325,22.35483313741425,0.009614981994586774,107,0.046021505376344085
squirrel,0,raw,2089,4.897522256789493,0.0023444338232596904,10,0.004786979415988511
squirrel,0,row_1hop,2089,16.448783777140857,0.007873998935921904,612,0.2929631402584969
squirrel,0,row_2hop,2089,18.14882165480125,0.008687803568598013,883,0.4226902824317855
squirrel,0,row_3hop,2089,16.058522330809573,0.007687181584877728,424,0.20296792723791288
squirrel,0,highpass_row_1,2089,9.007397033150658,0.004311822418932819,189,0.09047391096218287
