dataset,split,class_label,pca_dim,retained_variance
chameleon,0,0,61,0.9505779776326646
chameleon,0,1,55,0.9506836189396641
chameleon,0,2,74,0.9505428053991675
chameleon,0,3,75,0.9501890814110335
chameleon,0,4,72,0.950338993338954
chameleon,1,0,96,0.9888574301517862
chameleon,1,1,84,0.9902253919089193
chameleon,1,2,96,0.9753643692264893
chameleon,1,3,96,0.9764666570484951
chameleon,1,4,96,0.9783599824986325
squirrel,0,0,96,0.6904719411714199
squirrel,0,1,96,0.6809891597393393
squirrel,0,2,96,0.700108425464728
squirrel,0,3,96,0.713429898457409
squirrel,0,4,96,0.7574161859697661
squirrel,1,0,96,0.6517944626125985
squirrel,1,1,96,0.6523317684805926
squirrel,1,2,96,0.6799638250740186
squirrel,1,3,96,0.6827711248500056
squirrel,1,4,96,0.7337777086414056
cornell,0,0,14,0.9566045637619104
cornell,0,1,7,0.9656007126329685
cornell,0,2,14,0.9696955004427726
cornell,0,3,27,0.9568503328314811
cornell,0,4,7,1.0
cornell,1,0,18,1.0
cornell,1,1,5,1.0
cornell,1,2,15,1.0
cornell,1,3,33,0.9937763260543907
cornell,1,4,9,1.0
texas,0,0,12,0.9583566098311211
texas,0,2,6,1.0
texas,0,3,34,0.9554617282859831
texas,0,4,16,0.9532811169325806
texas,1,0,15,0.9636663877815903
texas,1,2,6,1.0
texas,1,3,34,0.953513755140026
texas,1,4,12,0.9524735391990706
wisconsin,0,0,3,1.0
wisconsin,0,1,29,0.9577371597579478
wisconsin,0,2,37,0.954926630106135
wisconsin,0,3,15,0.9806277362457041
wisconsin,0,4,9,0.9644913112926063
wisconsin,1,0,0,0.0
wisconsin,1,1,27,0.9536189485368828
wisconsin,1,2,40,0.9534727841660636
wisconsin,1,3,14,0.9537843031687325
wisconsin,1,4,10,0.9536702941127599
amazon-photo,0,0,16,0.9611478909796325
amazon-photo,0,1,15,0.9606251420526821
amazon-photo,0,2,16,0.9551405892538274
amazon-photo,0,3,17,0.9655607798571314
amazon-photo,0,4,17,0.9613779550511442
amazon-photo,0,5,16,0.9633073297147166
amazon-photo,0,6,16,0.9620950577886578
amazon-photo,0,7,17,0.9637359384592256
amazon-photo,1,0,16,0.955575468080721
amazon-photo,1,1,16,0.9528585581533721
amazon-photo,1,2,16,0.9550780314375406
amazon-photo,1,3,15,0.9520950815977526
amazon-photo,1,4,17,0.9711666976281058
amazon-photo,1,5,16,0.9501076645030667
amazon-photo,1,6,16,0.9613357574151994
amazon-photo,1,7,16,0.9539317917619345
amazon-computers,0,0,17,0.9560534690676056
amazon-computers,0,1,16,0.9557692625453803
amazon-computers,0,2,17,0.9518886440067544
amazon-computers,0,3,15,0.9549359897304599
amazon-computers,0,4,16,0.9513980766610282
amazon-computers,0,5,15,0.9618423851942367
amazon-computers,0,6,17,0.9569973611263719
amazon-computers,0,7,17,0.9606425793625375
amazon-computers,0,8,17,0.9699743590995014
amazon-computers,0,9,16,0.9594097931175801
amazon-computers,1,0,17,0.9534446010500768
amazon-computers,1,1,16,0.9555905712178115
amazon-computers,1,2,17,0.960043570163411
amazon-computers,1,3,17,0.9590652899733743
amazon-computers,1,4,15,0.9516289272280763
amazon-computers,1,5,16,0.9590448678567238
amazon-computers,1,6,15,0.9505471735971979
amazon-computers,1,7,17,0.9621432838070179
amazon-computers,1,8,16,0.9578196420202603
amazon-computers,1,9,14,0.9544304994179932
