dataset,split,split_policy,top_k,dim,energy,alphas,w,feature_variant,alphas_json,train_acc,val_acc,test_acc,val_bal_acc,num_features_after_variant,pca_dims_json
chameleon,0,fixed_geom_gcn_split,6000,96,0.95,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",0.9789377289377289,0.7379972565157751,0.7214912280701754,0.7373744195373408,20925,"{""0"": 61, ""1"": 55, ""2"": 74, ""3"": 75, ""4"": 72}"
chameleon,1,fixed_geom_gcn_split,6000,96,0.99,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",0.9789377289377289,0.6899862825788752,0.7390350877192983,0.689328988577745,20925,"{""0"": 96, ""1"": 84, ""2"": 96, ""3"": 96, ""4"": 96}"
squirrel,0,fixed_geom_gcn_split,4000,96,0.95,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",0.9643429487179487,0.6129807692307693,0.6243996157540826,0.6140936578854674,18801,"{""0"": 96, ""1"": 96, ""2"": 96, ""3"": 96, ""4"": 96}"
squirrel,1,fixed_geom_gcn_split,6000,96,0.95,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",0.9803685897435898,0.5967548076923077,0.6292026897214217,0.5998251456944549,18801,"{""0"": 96, ""1"": 96, ""2"": 96, ""3"": 96, ""4"": 96}"
cornell,0,fixed_geom_gcn_split,4000,64,0.95,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",1.0,0.8135593220338984,0.7297297297297297,0.5997172182656054,15327,"{""0"": 14, ""1"": 7, ""2"": 14, ""3"": 27, ""4"": 7}"
cornell,1,fixed_geom_gcn_split,6000,64,0.99,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",1.0,0.7627118644067796,0.7027027027027027,0.5633333333333332,15327,"{""0"": 18, ""1"": 5, ""2"": 15, ""3"": 33, ""4"": 9}"
texas,0,fixed_geom_gcn_split,4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.864406779661017,0.8378378378378378,0.7738095238095237,15327,"{""0"": 12, ""2"": 6, ""3"": 34, ""4"": 16}"
texas,1,fixed_geom_gcn_split,6000,64,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.8135593220338984,0.8378378378378378,0.7063492063492063,15327,"{""0"": 15, ""2"": 6, ""3"": 34, ""4"": 12}"
wisconsin,0,fixed_geom_gcn_split,4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.825,0.7843137254901961,0.6036933797909407,15327,"{""0"": 3, ""1"": 29, ""2"": 37, ""3"": 15, ""4"": 9}"
wisconsin,1,fixed_geom_gcn_split,4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.775,0.8627450980392157,0.6106719367588933,15327,"{""0"": 0, ""1"": 27, ""2"": 40, ""3"": 14, ""4"": 10}"
amazon-photo,0,class_balanced_random_20_train_30_val_per_class,4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.8916666666666667,0.8852413793103449,0.8916666666666667,6705,"{""0"": 16, ""1"": 15, ""2"": 16, ""3"": 17, ""4"": 17, ""5"": 16, ""6"": 16, ""7"": 17}"
amazon-photo,1,class_balanced_random_20_train_30_val_per_class,4000,64,0.95,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",1.0,0.8625,0.9070344827586206,0.8625,6705,"{""0"": 16, ""1"": 16, ""2"": 16, ""3"": 15, ""4"": 17, ""5"": 16, ""6"": 16, ""7"": 16}"
amazon-computers,0,class_balanced_random_20_train_30_val_per_class,4000,64,0.95,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",1.0,0.87,0.7978418351946875,0.8699999999999999,6903,"{""0"": 17, ""1"": 16, ""2"": 17, ""3"": 15, ""4"": 16, ""5"": 15, ""6"": 17, ""7"": 17, ""8"": 17, ""9"": 16}"
amazon-computers,1,class_balanced_random_20_train_30_val_per_class,4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.8466666666666667,0.775505584062783,0.8466666666666665,6903,"{""0"": 17, ""1"": 16, ""2"": 17, ""3"": 17, ""4"": 15, ""5"": 16, ""6"": 15, ""7"": 17, ""8"": 16, ""9"": 14}"
