dataset,method,train_per_class,n,val_mean,val_std,test_mean,test_std
amazon-computers,ridge_multihop5,1,5,0.2033333333333333,0.04136557881996952,0.2134950156226752,0.07227624512601406
amazon-computers,ridge_multihop5,2,5,0.28600000000000003,0.05524692047727387,0.2882519356759976,0.07288601504036592
amazon-computers,ridge_multihop5,3,5,0.3953333333333333,0.08490517586630916,0.3789152138280435,0.08905148351308464
amazon-computers,ridge_multihop5,5,5,0.5660000000000001,0.047865552447570396,0.47761528130129827,0.029665969601553047
amazon-computers,ridge_multihop5,8,5,0.6813333333333333,0.03123388473365992,0.6012264433143882,0.028539519108503077
amazon-computers,ridge_multihop5,10,5,0.688,0.03723797345005051,0.6261084481725584,0.034690256483673305
amazon-computers,ridge_multihop5,15,5,0.762,0.027948365088339477,0.6948579161028416,0.013797222326792017
amazon-computers,ridge_multihop5,20,5,0.8126666666666666,0.010645812948447539,0.7291427709025052,0.01503049243206135
amazon-computers,ridge_raw,1,5,0.20999999999999996,0.05835713800003865,0.16141943163219757,0.060890484301467214
amazon-computers,ridge_raw,2,5,0.38266666666666665,0.06061719594673152,0.31378796902918404,0.06696925998167143
amazon-computers,ridge_raw,3,5,0.4833333333333334,0.052651896663104394,0.3496200268216361,0.03805562039174806
amazon-computers,ridge_raw,5,5,0.5566666666666666,0.04062019202317979,0.42430980450679,0.06502499857134891
amazon-computers,ridge_raw,8,5,0.64,0.036209268304000654,0.5275949745737362,0.03904427805791038
amazon-computers,ridge_raw,10,5,0.6513333333333333,0.014063348739819313,0.547213900539245,0.0344613967187797
amazon-computers,ridge_raw,15,5,0.72,0.026034165586355542,0.609021199819576,0.025788960251653625
amazon-computers,ridge_raw,20,5,0.7166666666666667,0.012692955176439811,0.6383640205252037,0.02903190574903949
amazon-computers,src_v16c,1,5,0.22466666666666665,0.02911662373589662,0.2037048058324654,0.05155856916945296
amazon-computers,src_v16c,2,5,0.4053333333333334,0.11026735187211531,0.3861822513400833,0.12925861069046138
amazon-computers,src_v16c,3,5,0.4866666666666667,0.08323327326122516,0.4590821040083445,0.09420240739263852
amazon-computers,src_v16c,5,5,0.6786666666666666,0.07776745963304818,0.5933144306819877,0.04232483422199938
amazon-computers,src_v16c,8,5,0.7813333333333333,0.04634412344383888,0.6893658390667066,0.03486106816706997
amazon-computers,src_v16c,10,5,0.8006666666666667,0.00862811940369653,0.7388106650689036,0.03176175051232314
amazon-computers,src_v16c,15,5,0.8453333333333333,0.012156388352540324,0.7770861524582771,0.021613415438969018
amazon-computers,src_v16c,20,5,0.866,0.014605934866804407,0.7961515242982191,0.007862116736194453
amazon-photo,ridge_multihop5,1,5,0.24500000000000002,0.05257270098529168,0.22569575790326937,0.07409544242601028
amazon-photo,ridge_multihop5,2,5,0.3883333333333333,0.032194072953469766,0.37473627265350284,0.035634808708627445
amazon-photo,ridge_multihop5,3,5,0.4666666666666667,0.01976423537605236,0.44592472244787434,0.05133147535944528
amazon-photo,ridge_multihop5,5,5,0.6525000000000001,0.02255394767120728,0.5984531886024425,0.048405268520735484
amazon-photo,ridge_multihop5,8,5,0.7683333333333333,0.0264509504135065,0.6838551592703512,0.03813743999442344
amazon-photo,ridge_multihop5,10,5,0.8066666666666666,0.012004050242406613,0.7538335607094134,0.04985518468192057
amazon-photo,ridge_multihop5,15,5,0.85,0.020198666072568077,0.8063100137174212,0.01777663462259684
amazon-photo,ridge_multihop5,20,5,0.8733333333333333,0.014312970031098065,0.8235586206896551,0.012353647398351932
amazon-photo,ridge_raw,1,5,0.23916666666666667,0.06963446225349439,0.2521210483653067,0.10892222822168085
amazon-photo,ridge_raw,2,5,0.4125,0.04516559039308086,0.3778198539356235,0.08766474221579258
amazon-photo,ridge_raw,3,5,0.5349999999999999,0.04503085362035431,0.5021121039805037,0.04813094335854441
amazon-photo,ridge_raw,5,5,0.625,0.022243913025065176,0.5897421981004071,0.035838057646062675
amazon-photo,ridge_raw,8,5,0.71,0.03456073558887952,0.6646610400217805,0.01755176355433322
amazon-photo,ridge_raw,10,5,0.7525000000000001,0.042959121395939964,0.720600272851296,0.014753851978998062
amazon-photo,ridge_raw,15,5,0.7875,0.025000000000000005,0.7280658436213991,0.022530128205152766
amazon-photo,ridge_raw,20,5,0.795,0.02690647381827159,0.7536275862068965,0.022784395018553324
amazon-photo,src_v16c,1,5,0.2633333333333333,0.04191592113319762,0.2504188057281816,0.0637199922545691
amazon-photo,src_v16c,2,5,0.4966666666666667,0.054518090779320405,0.4717338382472275,0.06311564555275608
