experiment,dataset,train_per_class,repeat,seed,method,train_size,val_size,test_size,top_k,dim,energy,alphas,w,feature_variant,alphas_json,train_acc,val_acc,test_acc,val_bal_acc,num_features_after_variant,selection_rule,alpha
E11,chameleon,1,0,12000,src_v16c,5,150,2122,6000,64,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.38,0.2992459943449576,0.38,20925,fewshot_grid_selected_by_val_only_no_test,
E11,chameleon,1,0,12000,ridge_raw,5,150,2122,,,,,,,,,0.2866666666666667,0.295004712535344,,,alpha_selected_by_val_only_no_test,0.01
E11,chameleon,1,0,12000,ridge_multihop5,5,150,2122,,,,,,,,,0.38666666666666666,0.29688972667295005,,,alpha_selected_by_val_only_no_test,100.0
E11,chameleon,1,1,12001,src_v16c,5,150,2122,4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.31333333333333335,0.3105560791705938,0.31333333333333335,20925,fewshot_grid_selected_by_val_only_no_test,
E11,chameleon,1,1,12001,ridge_raw,5,150,2122,,,,,,,,,0.2866666666666667,0.28605089538171535,,,alpha_selected_by_val_only_no_test,0.01
E11,chameleon,1,1,12001,ridge_multihop5,5,150,2122,,,,,,,,,0.32,0.30442978322337416,,,alpha_selected_by_val_only_no_test,0.01
E11,chameleon,1,2,12002,src_v16c,5,150,2122,4000,64,0.95,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",1.0,0.23333333333333334,0.18096135721017909,0.23333333333333334,20925,fewshot_grid_selected_by_val_only_no_test,
E11,chameleon,1,2,12002,ridge_raw,5,150,2122,,,,,,,,,0.34,0.2846371347785108,,,alpha_selected_by_val_only_no_test,0.01
E11,chameleon,1,2,12002,ridge_multihop5,5,150,2122,,,,,,,,,0.22666666666666666,0.18143261074458059,,,alpha_selected_by_val_only_no_test,10.0
E11,chameleon,1,3,12003,src_v16c,5,150,2122,4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.20666666666666667,0.19180018850141375,0.20666666666666664,20925,fewshot_grid_selected_by_val_only_no_test,
E11,chameleon,1,3,12003,ridge_raw,5,150,2122,,,,,,,,,0.26,0.2535344015080113,,,alpha_selected_by_val_only_no_test,0.01
E11,chameleon,1,3,12003,ridge_multihop5,5,150,2122,,,,,,,,,0.2,0.1946277097078228,,,alpha_selected_by_val_only_no_test,0.01
E11,chameleon,1,4,12004,src_v16c,5,150,2122,4000,64,0.95,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",1.0,0.3466666666666667,0.265315739868049,0.3466666666666667,20925,fewshot_grid_selected_by_val_only_no_test,
E11,chameleon,1,4,12004,ridge_raw,5,150,2122,,,,,,,,,0.3,0.26248821866163996,,,alpha_selected_by_val_only_no_test,0.01
E11,chameleon,1,4,12004,ridge_multihop5,5,150,2122,,,,,,,,,0.32666666666666666,0.267200754005655,,,alpha_selected_by_val_only_no_test,0.01
E11,chameleon,2,0,13000,src_v16c,10,150,2117,4000,64,0.95,"(0.05, 0.5, 5.0)",0.5,full,"[0.05, 0.5, 5.0]",1.0,0.25333333333333335,0.23476617855455834,0.2533333333333333,20925,fewshot_grid_selected_by_val_only_no_test,
E11,chameleon,2,0,13000,ridge_raw,10,150,2117,,,,,,,,,0.2866666666666667,0.29381199811053377,,,alpha_selected_by_val_only_no_test,0.01
E11,chameleon,2,0,13000,ridge_multihop5,10,150,2117,,,,,,,,,0.25333333333333335,0.26310817194142655,,,alpha_selected_by_val_only_no_test,100.0
E11,chameleon,2,1,13001,src_v16c,10,150,2117,4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.37333333333333335,0.35899858290033065,0.37333333333333335,20925,fewshot_grid_selected_by_val_only_no_test,
E11,chameleon,2,1,13001,ridge_raw,10,150,2117,,,,,,,,,0.31333333333333335,0.27916863486065185,,,alpha_selected_by_val_only_no_test,0.01
E11,chameleon,2,1,13001,ridge_multihop5,10,150,2117,,,,,,,,,0.34,0.3415210203117619,,,alpha_selected_by_val_only_no_test,1.0
E11,chameleon,2,2,13002,src_v16c,10,150,2117,6000,64,0.95,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",1.0,0.3933333333333333,0.32923948984411905,0.39333333333333337,20925,fewshot_grid_selected_by_val_only_no_test,
E11,chameleon,2,2,13002,ridge_raw,10,150,2117,,,,,,,,,0.3,0.2796410014170997,,,alpha_selected_by_val_only_no_test,0.01
E11,chameleon,2,2,13002,ridge_multihop5,10,150,2117,,,,,,,,,0.37333333333333335,0.3207368918280586,,,alpha_selected_by_val_only_no_test,100.0
E11,chameleon,2,3,13003,src_v16c,10,150,2117,4000,64,0.95,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",1.0,0.2733333333333333,0.2834199338686821,0.2733333333333333,20925,fewshot_grid_selected_by_val_only_no_test,
E11,chameleon,2,3,13003,ridge_raw,10,150,2117,,,,,,,,,0.34,0.3112895606991025,,,alpha_selected_by_val_only_no_test,10.0
E11,chameleon,2,3,13003,ridge_multihop5,10,150,2117,,,,,,,,,0.30666666666666664,0.27822390174775624,,,alpha_selected_by_val_only_no_test,0.01
E11,chameleon,2,4,13004,src_v16c,10,150,2117,6000,64,0.95,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",1.0,0.2733333333333333,0.2593292394898441,0.2733333333333333,20925,fewshot_grid_selected_by_val_only_no_test,
E11,chameleon,2,4,13004,ridge_raw,10,150,2117,,,,,,,,,0.30666666666666664,0.3103448275862069,,,alpha_selected_by_val_only_no_test,0.01
E11,chameleon,2,4,13004,ridge_multihop5,10,150,2117,,,,,,,,,0.28,0.2810581010864431,,,alpha_selected_by_val_only_no_test,0.01
E11,chameleon,3,0,14000,src_v16c,15,150,2112,4000,64,0.95,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",1.0,0.36,0.3380681818181818,0.36,20925,fewshot_grid_selected_by_val_only_no_test,
E11,chameleon,3,0,14000,ridge_raw,15,150,2112,,,,,,,,,0.29333333333333333,0.2916666666666667,,,alpha_selected_by_val_only_no_test,0.01
E11,chameleon,3,0,14000,ridge_multihop5,15,150,2112,,,,,,,,,0.38666666666666666,0.3210227272727273,,,alpha_selected_by_val_only_no_test,1.0
E11,chameleon,3,1,14001,src_v16c,15,150,2112,6000,64,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.25333333333333335,0.2618371212121212,0.2533333333333333,20925,fewshot_grid_selected_by_val_only_no_test,
E11,chameleon,3,1,14001,ridge_raw,15,150,2112,,,,,,,,,0.26666666666666666,0.2755681818181818,,,alpha_selected_by_val_only_no_test,0.01
E11,chameleon,3,1,14001,ridge_multihop5,15,150,2112,,,,,,,,,0.25333333333333335,0.24479166666666666,,,alpha_selected_by_val_only_no_test,1.0
E11,chameleon,3,2,14002,src_v16c,15,150,2112,4000,64,0.95,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",1.0,0.38666666666666666,0.3849431818181818,0.3866666666666667,20925,fewshot_grid_selected_by_val_only_no_test,
E11,chameleon,3,2,14002,ridge_raw,15,150,2112,,,,,,,,,0.24666666666666667,0.3309659090909091,,,alpha_selected_by_val_only_no_test,0.01
E11,chameleon,3,2,14002,ridge_multihop5,15,150,2112,,,,,,,,,0.38,0.39488636363636365,,,alpha_selected_by_val_only_no_test,10.0
E11,chameleon,3,3,14003,src_v16c,15,150,2112,6000,64,0.95,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",1.0,0.32666666666666666,0.27982954545454547,0.32666666666666666,20925,fewshot_grid_selected_by_val_only_no_test,
E11,chameleon,3,3,14003,ridge_raw,15,150,2112,,,,,,,,,0.28,0.2774621212121212,,,alpha_selected_by_val_only_no_test,10.0
E11,chameleon,3,3,14003,ridge_multihop5,15,150,2112,,,,,,,,,0.3333333333333333,0.2869318181818182,,,alpha_selected_by_val_only_no_test,10.0
E11,chameleon,3,4,14004,src_v16c,15,150,2112,4000,64,0.95,"(0.05, 0.5, 5.0)",0.5,full,"[0.05, 0.5, 5.0]",1.0,0.25333333333333335,0.2533143939393939,0.2533333333333333,20925,fewshot_grid_selected_by_val_only_no_test,
E11,chameleon,3,4,14004,ridge_raw,15,150,2112,,,,,,,,,0.31333333333333335,0.28929924242424243,,,alpha_selected_by_val_only_no_test,0.01
E11,chameleon,3,4,14004,ridge_multihop5,15,150,2112,,,,,,,,,0.24666666666666667,0.2481060606060606,,,alpha_selected_by_val_only_no_test,0.01
E11,chameleon,5,0,16000,src_v16c,25,150,2102,6000,64,0.95,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",1.0,0.4,0.3525214081826832,0.39999999999999997,20925,fewshot_grid_selected_by_val_only_no_test,
E11,chameleon,5,0,16000,ridge_raw,25,150,2102,,,,,,,,,0.36666666666666664,0.33824928639391055,,,alpha_selected_by_val_only_no_test,1.0
E11,chameleon,5,0,16000,ridge_multihop5,25,150,2102,,,,,,,,,0.36,0.3587059942911513,,,alpha_selected_by_val_only_no_test,1.0
E11,chameleon,5,1,16001,src_v16c,25,150,2102,4000,64,0.95,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",1.0,0.3333333333333333,0.329686013320647,0.33333333333333337,20925,fewshot_grid_selected_by_val_only_no_test,
E11,chameleon,5,1,16001,ridge_raw,25,150,2102,,,,,,,,,0.32,0.3106565176022835,,,alpha_selected_by_val_only_no_test,10.0
E11,chameleon,5,1,16001,ridge_multihop5,25,150,2102,,,,,,,,,0.37333333333333335,0.3334919124643197,,,alpha_selected_by_val_only_no_test,10.0
E11,chameleon,5,2,16002,src_v16c,25,150,2102,6000,64,0.95,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",1.0,0.4,0.3977164605137964,0.4,20925,fewshot_grid_selected_by_val_only_no_test,
E11,chameleon,5,2,16002,ridge_raw,25,150,2102,,,,,,,,,0.2866666666666667,0.3430066603235014,,,alpha_selected_by_val_only_no_test,10.0
E11,chameleon,5,2,16002,ridge_multihop5,25,150,2102,,,,,,,,,0.36666666666666664,0.38915318744053284,,,alpha_selected_by_val_only_no_test,0.01
E11,chameleon,5,3,16003,src_v16c,25,150,2102,4000,64,0.95,"(0.05, 0.5, 5.0)",0.5,full,"[0.05, 0.5, 5.0]",1.0,0.32666666666666666,0.29686013320647003,0.32666666666666666,20925,fewshot_grid_selected_by_val_only_no_test,
E11,chameleon,5,3,16003,ridge_raw,25,150,2102,,,,,,,,,0.44,0.33158896289248335,,,alpha_selected_by_val_only_no_test,0.01
E11,chameleon,5,3,16003,ridge_multihop5,25,150,2102,,,,,,,,,0.38666666666666666,0.2987630827783064,,,alpha_selected_by_val_only_no_test,10.0
E11,chameleon,5,4,16004,src_v16c,25,150,2102,6000,64,0.99,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.4266666666666667,0.3820171265461465,0.42666666666666664,20925,fewshot_grid_selected_by_val_only_no_test,
E11,chameleon,5,4,16004,ridge_raw,25,150,2102,,,,,,,,,0.2733333333333333,0.3339676498572788,,,alpha_selected_by_val_only_no_test,0.01
E11,chameleon,5,4,16004,ridge_multihop5,25,150,2102,,,,,,,,,0.35333333333333333,0.3715509039010466,,,alpha_selected_by_val_only_no_test,0.01
E11,chameleon,8,0,19000,src_v16c,40,150,2087,6000,64,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.4,0.3847628174413033,0.4,20925,fewshot_grid_selected_by_val_only_no_test,
E11,chameleon,8,0,19000,ridge_raw,40,150,2087,,,,,,,,,0.29333333333333333,0.3430761859127935,,,alpha_selected_by_val_only_no_test,0.01
E11,chameleon,8,0,19000,ridge_multihop5,40,150,2087,,,,,,,,,0.4,0.413512218495448,,,alpha_selected_by_val_only_no_test,1.0
E11,chameleon,8,1,19001,src_v16c,40,150,2087,4000,64,0.95,"(0.05, 0.5, 5.0)",0.5,full,"[0.05, 0.5, 5.0]",1.0,0.35333333333333333,0.3833253473885961,0.35333333333333333,20925,fewshot_grid_selected_by_val_only_no_test,
E11,chameleon,8,1,19001,ridge_raw,40,150,2087,,,,,,,,,0.26666666666666666,0.34403449928126495,,,alpha_selected_by_val_only_no_test,10.0
E11,chameleon,8,1,19001,ridge_multihop5,40,150,2087,,,,,,,,,0.34,0.3124101581217058,,,alpha_selected_by_val_only_no_test,100.0
E11,chameleon,8,2,19002,src_v16c,40,150,2087,4000,64,0.95,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",1.0,0.52,0.4599904168663153,0.52,20925,fewshot_grid_selected_by_val_only_no_test,
E11,chameleon,8,2,19002,ridge_raw,40,150,2087,,,,,,,,,0.4,0.35218016291327264,,,alpha_selected_by_val_only_no_test,10.0
E11,chameleon,8,2,19002,ridge_multihop5,40,150,2087,,,,,,,,,0.44666666666666666,0.4221370388116914,,,alpha_selected_by_val_only_no_test,0.1
E11,chameleon,8,3,19003,src_v16c,40,150,2087,4000,64,0.95,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",1.0,0.42,0.4250119789171059,0.42000000000000004,20925,fewshot_grid_selected_by_val_only_no_test,
E11,chameleon,8,3,19003,ridge_raw,40,150,2087,,,,,,,,,0.26666666666666666,0.34499281264973647,,,alpha_selected_by_val_only_no_test,1.0
E11,chameleon,8,3,19003,ridge_multihop5,40,150,2087,,,,,,,,,0.3933333333333333,0.40249161475802586,,,alpha_selected_by_val_only_no_test,1.0
E11,chameleon,8,4,19004,src_v16c,40,150,2087,4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.44666666666666666,0.39386679444178246,0.44666666666666666,20925,fewshot_grid_selected_by_val_only_no_test,
E11,chameleon,8,4,19004,ridge_raw,40,150,2087,,,,,,,,,0.3333333333333333,0.34595112601820793,,,alpha_selected_by_val_only_no_test,0.01
E11,chameleon,8,4,19004,ridge_multihop5,40,150,2087,,,,,,,,,0.42,0.38907522759942503,,,alpha_selected_by_val_only_no_test,0.01
E11,chameleon,10,0,21000,src_v16c,50,150,2077,4000,64,0.95,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",1.0,0.4666666666666667,0.43331728454501683,0.4666666666666666,20925,fewshot_grid_selected_by_val_only_no_test,
E11,chameleon,10,0,21000,ridge_raw,50,150,2077,,,,,,,,,0.3,0.3442465093885412,,,alpha_selected_by_val_only_no_test,0.1
E11,chameleon,10,0,21000,ridge_multihop5,50,150,2077,,,,,,,,,0.44666666666666666,0.41116995666827155,,,alpha_selected_by_val_only_no_test,1.0
E11,chameleon,10,1,21001,src_v16c,50,150,2077,6000,64,0.95,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",1.0,0.4866666666666667,0.44390948483389503,0.4866666666666667,20925,fewshot_grid_selected_by_val_only_no_test,
E11,chameleon,10,1,21001,ridge_raw,50,150,2077,,,,,,,,,0.34,0.3389504092441021,,,alpha_selected_by_val_only_no_test,10.0
E11,chameleon,10,1,21001,ridge_multihop5,50,150,2077,,,,,,,,,0.44,0.42946557534906116,,,alpha_selected_by_val_only_no_test,10.0
E11,chameleon,10,2,21002,src_v16c,50,150,2077,6000,64,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.49333333333333335,0.44005777563793935,0.4933333333333333,20925,fewshot_grid_selected_by_val_only_no_test,
E11,chameleon,10,2,21002,ridge_raw,50,150,2077,,,,,,,,,0.38666666666666666,0.3591718825228695,,,alpha_selected_by_val_only_no_test,100.0
E11,chameleon,10,2,21002,ridge_multihop5,50,150,2077,,,,,,,,,0.5133333333333333,0.4520943668753009,,,alpha_selected_by_val_only_no_test,0.01
E11,chameleon,10,3,21003,src_v16c,50,150,2077,4000,64,0.95,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",1.0,0.4666666666666667,0.45113143957631197,0.4666666666666666,20925,fewshot_grid_selected_by_val_only_no_test,
E11,chameleon,10,3,21003,ridge_raw,50,150,2077,,,,,,,,,0.32666666666666666,0.34280211844005776,,,alpha_selected_by_val_only_no_test,0.01
E11,chameleon,10,3,21003,ridge_multihop5,50,150,2077,,,,,,,,,0.44,0.4207992296581608,,,alpha_selected_by_val_only_no_test,0.01
E11,chameleon,10,4,21004,src_v16c,50,150,2077,4000,64,0.95,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",1.0,0.5,0.44872412132883965,0.5,20925,fewshot_grid_selected_by_val_only_no_test,
E11,chameleon,10,4,21004,ridge_raw,50,150,2077,,,,,,,,,0.31333333333333335,0.3216177178623014,,,alpha_selected_by_val_only_no_test,0.01
E11,chameleon,10,4,21004,ridge_multihop5,50,150,2077,,,,,,,,,0.47333333333333333,0.46750120365912373,,,alpha_selected_by_val_only_no_test,0.1
E11,chameleon,15,0,26000,src_v16c,75,150,2052,4000,64,0.95,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",1.0,0.5266666666666666,0.48927875243664715,0.5266666666666666,20925,fewshot_grid_selected_by_val_only_no_test,
E11,chameleon,15,0,26000,ridge_raw,75,150,2052,,,,,,,,,0.29333333333333333,0.32992202729044834,,,alpha_selected_by_val_only_no_test,0.1
E11,chameleon,15,0,26000,ridge_multihop5,75,150,2052,,,,,,,,,0.5066666666666667,0.48050682261208577,,,alpha_selected_by_val_only_no_test,0.1
E11,chameleon,15,1,26001,src_v16c,75,150,2052,4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.4533333333333333,0.45077972709551656,0.4533333333333333,20925,fewshot_grid_selected_by_val_only_no_test,
